Date,Vanguard Total International Bond_Open_average,Vanguard Total International Bond_Open_max,Vanguard Total International Bond_Open_min,Vanguard Total International Bond_Open_volatility,Vanguard Total International Bond_Open_change,Vanguard Total International Bond_High_average,Vanguard Total International Bond_High_max,Vanguard Total International Bond_High_min,Vanguard Total International Bond_High_volatility,Vanguard Total International Bond_High_change,Vanguard Total International Bond_Low_average,Vanguard Total International Bond_Low_max,Vanguard Total International Bond_Low_min,Vanguard Total International Bond_Low_volatility,Vanguard Total International Bond_Low_change,Vanguard Total International Bond_Close_average,Vanguard Total International Bond_Close_max,Vanguard Total International Bond_Close_min,Vanguard Total International Bond_Close_volatility,Vanguard Total International Bond_Close_change
2018-01-14,54.24,54.24,54.24,0.0,0.0,54.27,54.27,54.27,0.0,0.0,54.2,54.2,54.2,0.0,0.0,54.24,54.24,54.24,0.0,0.0
2018-01-21,54.11,54.11,54.11,0.0,0.0,54.13,54.13,54.13,0.0,0.0,54.06,54.06,54.06,0.0,0.0,54.09,54.09,54.09,0.0,0.0
2018-01-28,53.99,53.99,53.99,0.0,0.0,54.08,54.08,54.08,0.0,0.0,53.9,53.9,53.9,0.0,0.0,54.06,54.06,54.06,0.0,0.0
2018-02-04,53.97,53.97,53.97,0.0,0.0,54.0,54.0,54.0,0.0,0.0,53.9,53.9,53.9,0.0,0.0,53.94,53.94,53.94,0.0,0.0
2018-02-11,53.98,53.98,53.98,0.0,0.0,54.05,54.05,54.05,0.0,0.0,53.93,53.93,53.93,0.0,0.0,54.03,54.03,54.03,0.0,0.0
2018-02-18,54.1,54.1,54.1,0.0,0.0,54.2,54.2,54.2,0.0,0.0,54.09,54.09,54.09,0.0,0.0,54.11,54.11,54.11,0.0,0.0
2018-02-25,54.21,54.21,54.21,0.0,0.0,54.22,54.22,54.22,0.0,0.0,54.15,54.15,54.15,0.0,0.0,54.17,54.17,54.17,0.0,0.0
2018-03-04,54.23,54.23,54.23,0.0,0.0,54.25,54.25,54.25,0.0,0.0,54.21,54.21,54.21,0.0,0.0,54.24,54.24,54.24,0.0,0.0
2018-03-11,54.37,54.37,54.37,0.0,0.0,54.46,54.46,54.46,0.0,0.0,54.33,54.33,54.33,0.0,0.0,54.43,54.43,54.43,0.0,0.0
2018-03-18,54.54,54.54,54.54,0.0,0.0,54.59,54.59,54.59,0.0,0.0,54.5,54.5,54.5,0.0,0.0,54.57,54.57,54.57,0.0,0.0
