Date,Guggenheim Invest S&P 500 Equal Weight Consumer Di_etf_Open_average,Guggenheim Invest S&P 500 Equal Weight Consumer Di_etf_Open_max,Guggenheim Invest S&P 500 Equal Weight Consumer Di_etf_Open_min,Guggenheim Invest S&P 500 Equal Weight Consumer Di_etf_Open_volatility,Guggenheim Invest S&P 500 Equal Weight Consumer Di_etf_Open_change,Guggenheim Invest S&P 500 Equal Weight Consumer Di_etf_High_average,Guggenheim Invest S&P 500 Equal Weight Consumer Di_etf_High_max,Guggenheim Invest S&P 500 Equal Weight Consumer Di_etf_High_min,Guggenheim Invest S&P 500 Equal Weight Consumer Di_etf_High_volatility,Guggenheim Invest S&P 500 Equal Weight Consumer Di_etf_High_change,Guggenheim Invest S&P 500 Equal Weight Consumer Di_etf_Low_average,Guggenheim Invest S&P 500 Equal Weight Consumer Di_etf_Low_max,Guggenheim Invest S&P 500 Equal Weight Consumer Di_etf_Low_min,Guggenheim Invest S&P 500 Equal Weight Consumer Di_etf_Low_volatility,Guggenheim Invest S&P 500 Equal Weight Consumer Di_etf_Low_change,Guggenheim Invest S&P 500 Equal Weight Consumer Di_etf_Close_average,Guggenheim Invest S&P 500 Equal Weight Consumer Di_etf_Close_max,Guggenheim Invest S&P 500 Equal Weight Consumer Di_etf_Close_min,Guggenheim Invest S&P 500 Equal Weight Consumer Di_etf_Close_volatility,Guggenheim Invest S&P 500 Equal Weight Consumer Di_etf_Close_change
2018-01-14,105.83,105.83,105.83,0.0,0.0,106.29,106.29,106.29,0.0,0.0,105.83,105.83,105.83,0.0,0.0,106.26,106.26,106.26,0.0,0.0
2018-01-21,107.5,107.5,107.5,0.0,0.0,107.98,107.98,107.98,0.0,0.0,107.5,107.5,107.5,0.0,0.0,107.98,107.98,107.98,0.0,0.0
2018-01-28,103.95,103.95,103.95,0.0,0.0,104.25,104.25,104.25,0.0,0.0,102.68,102.68,102.68,0.0,0.0,103.12,103.12,103.12,0.0,0.0
2018-02-04,99.66,99.66,99.66,0.0,0.0,99.71,99.71,99.71,0.0,0.0,95.84,95.84,95.84,0.0,0.0,99.22,99.22,99.22,0.0,0.0
2018-02-11,103.64,103.64,103.64,0.0,0.0,103.75,103.75,103.75,0.0,0.0,102.8,102.8,102.8,0.0,0.0,102.99,102.99,102.99,0.0,0.0
2018-02-18,101.83,101.83,101.83,0.0,0.0,102.11,102.11,102.11,0.0,0.0,101.68,101.68,101.68,0.0,0.0,101.94,101.94,101.94,0.0,0.0
2018-02-25,98.37,98.37,98.37,0.0,0.0,98.62,98.62,98.62,0.0,0.0,98.37,98.37,98.37,0.0,0.0,98.62,98.62,98.62,0.0,0.0
2018-03-04,100.78,100.78,100.78,0.0,0.0,101.62,101.62,101.62,0.0,0.0,100.78,100.78,100.78,0.0,0.0,101.62,101.62,101.62,0.0,0.0
2018-03-11,100.74,100.74,100.74,0.0,0.0,100.74,100.74,100.74,0.0,0.0,100.51,100.51,100.51,0.0,0.0,100.51,100.51,100.51,0.0,0.0
2018-03-18,97.61,97.61,97.61,0.0,0.0,97.61,97.61,97.61,0.0,0.0,96.67,96.67,96.67,0.0,0.0,96.67,96.67,96.67,0.0,0.0
