Date,Natixis Loomis Sayles Short Duration Income_Open_average,Natixis Loomis Sayles Short Duration Income_Open_max,Natixis Loomis Sayles Short Duration Income_Open_min,Natixis Loomis Sayles Short Duration Income_Open_volatility,Natixis Loomis Sayles Short Duration Income_Open_change,Natixis Loomis Sayles Short Duration Income_High_average,Natixis Loomis Sayles Short Duration Income_High_max,Natixis Loomis Sayles Short Duration Income_High_min,Natixis Loomis Sayles Short Duration Income_High_volatility,Natixis Loomis Sayles Short Duration Income_High_change,Natixis Loomis Sayles Short Duration Income_Low_average,Natixis Loomis Sayles Short Duration Income_Low_max,Natixis Loomis Sayles Short Duration Income_Low_min,Natixis Loomis Sayles Short Duration Income_Low_volatility,Natixis Loomis Sayles Short Duration Income_Low_change,Natixis Loomis Sayles Short Duration Income_Close_average,Natixis Loomis Sayles Short Duration Income_Close_max,Natixis Loomis Sayles Short Duration Income_Close_min,Natixis Loomis Sayles Short Duration Income_Close_volatility,Natixis Loomis Sayles Short Duration Income_Close_change
2018-01-14,25.03,25.03,25.03,0.0,0.0,25.03,25.03,25.03,0.0,0.0,25.03,25.03,25.03,0.0,0.0,25.03,25.03,25.03,0.0,0.0
2018-01-21,24.96,24.96,24.96,0.0,0.0,24.96,24.96,24.96,0.0,0.0,24.96,24.96,24.96,0.0,0.0,24.96,24.96,24.96,0.0,0.0
2018-01-28,24.92,24.92,24.92,0.0,0.0,24.92,24.92,24.92,0.0,0.0,24.92,24.92,24.92,0.0,0.0,24.92,24.92,24.92,0.0,0.0
2018-02-04,24.95,24.95,24.95,0.0,0.0,24.95,24.95,24.95,0.0,0.0,24.95,24.95,24.95,0.0,0.0,24.95,24.95,24.95,0.0,0.0
2018-02-11,25.0,25.0,25.0,0.0,0.0,25.0,25.0,25.0,0.0,0.0,25.0,25.0,25.0,0.0,0.0,25.0,25.0,25.0,0.0,0.0
2018-02-18,24.92,24.92,24.92,0.0,0.0,24.92,24.92,24.92,0.0,0.0,24.92,24.92,24.92,0.0,0.0,24.92,24.92,24.92,0.0,0.0
2018-02-25,24.87,24.87,24.87,0.0,0.0,24.87,24.87,24.87,0.0,0.0,24.87,24.87,24.87,0.0,0.0,24.87,24.87,24.87,0.0,0.0
2018-03-04,24.88,24.88,24.88,0.0,0.0,24.88,24.88,24.88,0.0,0.0,24.86,24.86,24.86,0.0,0.0,24.88,24.88,24.88,0.0,0.0
2018-03-11,24.88,24.88,24.88,0.0,0.0,24.88,24.88,24.88,0.0,0.0,24.88,24.88,24.88,0.0,0.0,24.88,24.88,24.88,0.0,0.0
2018-03-18,24.85,24.85,24.85,0.0,0.0,24.86,24.86,24.86,0.0,0.0,24.85,24.85,24.85,0.0,0.0,24.86,24.86,24.86,0.0,0.0
