Date,iShares S&P 500 GrowthEtf_Open_average,iShares S&P 500 GrowthEtf_Open_max,iShares S&P 500 GrowthEtf_Open_min,iShares S&P 500 GrowthEtf_Open_volatility,iShares S&P 500 GrowthEtf_Open_change,iShares S&P 500 GrowthEtf_High_average,iShares S&P 500 GrowthEtf_High_max,iShares S&P 500 GrowthEtf_High_min,iShares S&P 500 GrowthEtf_High_volatility,iShares S&P 500 GrowthEtf_High_change,iShares S&P 500 GrowthEtf_Low_average,iShares S&P 500 GrowthEtf_Low_max,iShares S&P 500 GrowthEtf_Low_min,iShares S&P 500 GrowthEtf_Low_volatility,iShares S&P 500 GrowthEtf_Low_change,iShares S&P 500 GrowthEtf_Close_average,iShares S&P 500 GrowthEtf_Close_max,iShares S&P 500 GrowthEtf_Close_min,iShares S&P 500 GrowthEtf_Close_volatility,iShares S&P 500 GrowthEtf_Close_change
2018-01-14,161.44,161.44,161.44,0.0,0.0,161.64,161.64,161.64,0.0,0.0,160.93,160.93,160.93,0.0,0.0,161.62,161.62,161.62,0.0,0.0
2018-01-21,164.0,164.0,164.0,0.0,0.0,165.57,165.57,165.57,0.0,0.0,163.81,163.81,163.81,0.0,0.0,165.54,165.54,165.54,0.0,0.0
2018-01-28,161.82,161.82,161.82,0.0,0.0,162.19,162.19,162.19,0.0,0.0,159.39,159.39,159.39,0.0,0.0,159.53,159.53,159.53,0.0,0.0
2018-02-04,150.98,150.98,150.98,0.0,0.0,152.93,152.93,152.93,0.0,0.0,146.31,146.31,146.31,0.0,0.0,151.91,151.91,151.91,0.0,0.0
2018-02-11,159.03,159.03,159.03,0.0,0.0,160.75,160.75,160.75,0.0,0.0,159.03,159.03,159.03,0.0,0.0,159.41,159.41,159.41,0.0,0.0
2018-02-18,159.5,159.5,159.5,0.0,0.0,161.3,161.3,161.3,0.0,0.0,159.2,159.2,159.2,0.0,0.0,161.29,161.29,161.29,0.0,0.0
2018-02-25,155.94,155.94,155.94,0.0,0.0,158.74,158.74,158.74,0.0,0.0,155.41,155.41,155.41,0.0,0.0,158.4,158.4,158.4,0.0,0.0
2018-03-04,163.0,163.0,163.0,0.0,0.0,164.9,164.9,164.9,0.0,0.0,162.78,162.78,162.78,0.0,0.0,164.89,164.89,164.89,0.0,0.0
2018-03-11,163.36,163.36,163.36,0.0,0.0,163.77,163.77,163.77,0.0,0.0,162.99,162.99,162.99,0.0,0.0,163.04,163.04,163.04,0.0,0.0
2018-03-18,155.72,155.72,155.72,0.0,0.0,156.28,156.28,156.28,0.0,0.0,152.06,152.06,152.06,0.0,0.0,152.1,152.1,152.1,0.0,0.0
2018-03-25,153.11,153.11,153.11,0.0,0.0,155.99,155.99,155.99,0.0,0.0,152.19,152.19,152.19,0.0,0.0,154.66,154.66,154.66,0.0,0.0
2018-04-01,154.3,154.3,154.3,0.0,0.0,155.38,155.38,155.38,0.0,0.0,151.04,151.04,151.04,0.0,0.0,151.98,151.98,151.98,0.0,0.0
2018-04-08,156.96,156.96,156.96,0.0,0.0,156.98,156.98,156.98,0.0,0.0,154.82,154.82,154.82,0.0,0.0,155.52,155.52,155.52,0.0,0.0
2018-04-15,158.1,158.1,158.1,0.0,0.0,158.1,158.1,158.1,0.0,0.0,155.89,155.89,155.89,0.0,0.0,156.49,156.49,156.49,0.0,0.0
2018-04-22,157.1,157.1,157.1,0.0,0.0,157.15,157.15,157.15,0.0,0.0,155.3,155.3,155.3,0.0,0.0,156.08,156.08,156.08,0.0,0.0
2018-04-29,154.67,154.67,154.67,0.0,0.0,157.99,157.99,157.99,0.0,0.0,154.53,154.53,154.53,0.0,0.0,157.6,157.6,157.6,0.0,0.0
