Date,Direxion Daily 7-10 Year Treasury Bear 3X Shares_Open_average,Direxion Daily 7-10 Year Treasury Bear 3X Shares_Open_max,Direxion Daily 7-10 Year Treasury Bear 3X Shares_Open_min,Direxion Daily 7-10 Year Treasury Bear 3X Shares_Open_volatility,Direxion Daily 7-10 Year Treasury Bear 3X Shares_Open_change,Direxion Daily 7-10 Year Treasury Bear 3X Shares_High_average,Direxion Daily 7-10 Year Treasury Bear 3X Shares_High_max,Direxion Daily 7-10 Year Treasury Bear 3X Shares_High_min,Direxion Daily 7-10 Year Treasury Bear 3X Shares_High_volatility,Direxion Daily 7-10 Year Treasury Bear 3X Shares_High_change,Direxion Daily 7-10 Year Treasury Bear 3X Shares_Low_average,Direxion Daily 7-10 Year Treasury Bear 3X Shares_Low_max,Direxion Daily 7-10 Year Treasury Bear 3X Shares_Low_min,Direxion Daily 7-10 Year Treasury Bear 3X Shares_Low_volatility,Direxion Daily 7-10 Year Treasury Bear 3X Shares_Low_change,Direxion Daily 7-10 Year Treasury Bear 3X Shares_Close_average,Direxion Daily 7-10 Year Treasury Bear 3X Shares_Close_max,Direxion Daily 7-10 Year Treasury Bear 3X Shares_Close_min,Direxion Daily 7-10 Year Treasury Bear 3X Shares_Close_volatility,Direxion Daily 7-10 Year Treasury Bear 3X Shares_Close_change
2018-01-14,14.7,14.7,14.7,0.0,0.0,14.81,14.81,14.81,0.0,0.0,14.69,14.69,14.69,0.0,0.0,14.81,14.81,14.81,0.0,0.0
2018-01-21,14.83,14.83,14.83,0.0,0.0,14.99,14.99,14.99,0.0,0.0,14.83,14.83,14.83,0.0,0.0,14.94,14.94,14.94,0.0,0.0
2018-01-28,15.39,15.39,15.39,0.0,0.0,15.45,15.45,15.45,0.0,0.0,14.91,14.91,14.91,0.0,0.0,15.07,15.07,15.07,0.0,0.0
2018-02-04,15.29,15.29,15.29,0.0,0.0,15.4,15.4,15.4,0.0,0.0,15.29,15.29,15.29,0.0,0.0,15.36,15.36,15.36,0.0,0.0
2018-02-11,15.45,15.45,15.45,0.0,0.0,15.46,15.46,15.46,0.0,0.0,15.37,15.37,15.37,0.0,0.0,15.45,15.45,15.45,0.0,0.0
2018-02-18,15.33,15.33,15.33,0.0,0.0,15.38,15.38,15.38,0.0,0.0,15.21,15.21,15.21,0.0,0.0,15.34,15.34,15.34,0.0,0.0
2018-02-25,15.29,15.29,15.29,0.0,0.0,15.44,15.44,15.44,0.0,0.0,15.29,15.29,15.29,0.0,0.0,15.36,15.36,15.36,0.0,0.0
2018-03-04,15.43,15.43,15.43,0.0,0.0,15.43,15.43,15.43,0.0,0.0,15.29,15.29,15.29,0.0,0.0,15.29,15.29,15.29,0.0,0.0
2018-03-11,15.26,15.26,15.26,0.0,0.0,15.3,15.3,15.3,0.0,0.0,15.16,15.16,15.16,0.0,0.0,15.19,15.19,15.19,0.0,0.0
2018-03-18,15.11,15.11,15.11,0.0,0.0,15.15,15.15,15.15,0.0,0.0,15.1,15.1,15.1,0.0,0.0,15.15,15.15,15.15,0.0,0.0
2018-03-25,14.78,14.78,14.78,0.0,0.0,14.84,14.84,14.84,0.0,0.0,14.69,14.69,14.69,0.0,0.0,14.8,14.8,14.8,0.0,0.0
2018-04-01,14.99,14.99,14.99,0.0,0.0,14.99,14.99,14.99,0.0,0.0,14.91,14.91,14.91,0.0,0.0,14.91,14.91,14.91,0.0,0.0
2018-04-08,15.11,15.11,15.11,0.0,0.0,15.12,15.12,15.12,0.0,0.0,15.04,15.04,15.04,0.0,0.0,15.07,15.07,15.07,0.0,0.0
2018-04-15,15.51,15.51,15.51,0.0,0.0,15.6,15.6,15.6,0.0,0.0,15.48,15.48,15.48,0.0,0.0,15.6,15.6,15.6,0.0,0.0
2018-04-22,15.45,15.45,15.45,0.0,0.0,15.52,15.52,15.52,0.0,0.0,15.4,15.4,15.4,0.0,0.0,15.4,15.4,15.4,0.0,0.0
2018-04-29,15.4,15.4,15.4,0.0,0.0,15.44,15.44,15.44,0.0,0.0,15.35,15.35,15.35,0.0,0.0,15.4,15.4,15.4,0.0,0.0
2018-05-06,15.61,15.61,15.61,0.0,0.0,15.63,15.63,15.63,0.0,0.0,15.57,15.57,15.57,0.0,0.0,15.61,15.61,15.61,0.0,0.0
2018-05-13,15.82,15.82,15.82,0.0,0.0,15.87,15.87,15.87,0.0,0.0,15.79,15.79,15.79,0.0,0.0,15.84,15.84,15.84,0.0,0.0
2018-05-20,15.35,15.35,15.35,0.0,0.0,15.35,15.35,15.35,0.0,0.0,15.28,15.28,15.28,0.0,0.0,15.29,15.29,15.29,0.0,0.0
2018-05-27,15.25,15.25,15.25,0.0,0.0,15.32,15.32,15.32,0.0,0.0,15.19,15.19,15.19,0.0,0.0,15.31,15.31,15.31,0.0,0.0
2018-06-03,15.36,15.36,15.36,0.0,0.0,15.36,15.36,15.36,0.0,0.0,15.31,15.31,15.31,0.0,0.0,15.31,15.31,15.31,0.0,0.0
2018-06-10,15.12,15.12,15.12,0.0,0.0,15.21,15.21,15.21,0.0,0.0,15.11,15.11,15.11,0.0,0.0,15.21,15.21,15.21,0.0,0.0
2018-06-17,15.03,15.03,15.03,0.0,0.0,15.11,15.11,15.11,0.0,0.0,14.96,14.96,14.96,0.0,0.0,15.0,15.0,15.0,0.0,0.0
2018-06-24,14.95,14.95,14.95,0.0,0.0,14.97,14.97,14.97,0.0,0.0,14.9,14.9,14.9,0.0,0.0,14.95,14.95,14.95,0.0,0.0
2018-07-01,14.87,14.87,14.87,0.0,0.0,14.94,14.94,14.94,0.0,0.0,14.86,14.86,14.86,0.0,0.0,14.94,14.94,14.94,0.0,0.0
2018-07-08,14.89,14.89,14.89,0.0,0.0,15.02,15.02,15.02,0.0,0.0,14.86,14.86,14.86,0.0,0.0,14.89,14.89,14.89,0.0,0.0
2018-07-15,15.1,15.1,15.1,0.0,0.0,15.25,15.25,15.25,0.0,0.0,15.1,15.1,15.1,0.0,0.0,15.25,15.25,15.25,0.0,0.0
2018-07-22,15.19,15.19,15.19,0.0,0.0,15.32,15.32,15.32,0.0,0.0,15.19,15.19,15.19,0.0,0.0,15.32,15.32,15.32,0.0,0.0
2018-07-29,15.1,15.1,15.1,0.0,0.0,15.11,15.11,15.11,0.0,0.0,15.05,15.05,15.05,0.0,0.0,15.09,15.09,15.09,0.0,0.0
2018-08-05,14.88,14.88,14.88,0.0,0.0,14.88,14.88,14.88,0.0,0.0,14.85,14.85,14.85,0.0,0.0,14.88,14.88,14.88,0.0,0.0
2018-08-12,14.71,14.71,14.71,0.0,0.0,14.74,14.74,14.74,0.0,0.0,14.62,14.62,14.62,0.0,0.0,14.65,14.65,14.65,0.0,0.0
2018-08-19,14.75,14.75,14.75,0.0,0.0,14.75,14.75,14.75,0.0,0.0,14.68,14.68,14.68,0.0,0.0,14.73,14.73,14.73,0.0,0.0
2018-08-26,14.72,14.72,14.72,0.0,0.0,14.72,14.72,14.72,0.0,0.0,14.72,14.72,14.72,0.0,0.0,14.72,14.72,14.72,0.0,0.0
