Date,PowerShares S&P SmallCap Quality Portfolio_Open_average,PowerShares S&P SmallCap Quality Portfolio_Open_max,PowerShares S&P SmallCap Quality Portfolio_Open_min,PowerShares S&P SmallCap Quality Portfolio_Open_volatility,PowerShares S&P SmallCap Quality Portfolio_Open_change,PowerShares S&P SmallCap Quality Portfolio_High_average,PowerShares S&P SmallCap Quality Portfolio_High_max,PowerShares S&P SmallCap Quality Portfolio_High_min,PowerShares S&P SmallCap Quality Portfolio_High_volatility,PowerShares S&P SmallCap Quality Portfolio_High_change,PowerShares S&P SmallCap Quality Portfolio_Low_average,PowerShares S&P SmallCap Quality Portfolio_Low_max,PowerShares S&P SmallCap Quality Portfolio_Low_min,PowerShares S&P SmallCap Quality Portfolio_Low_volatility,PowerShares S&P SmallCap Quality Portfolio_Low_change,PowerShares S&P SmallCap Quality Portfolio_Close_average,PowerShares S&P SmallCap Quality Portfolio_Close_max,PowerShares S&P SmallCap Quality Portfolio_Close_min,PowerShares S&P SmallCap Quality Portfolio_Close_volatility,PowerShares S&P SmallCap Quality Portfolio_Close_change
2018-01-14,28.13,28.13,28.13,0.0,0.0,28.2,28.2,28.2,0.0,0.0,28.11,28.11,28.11,0.0,0.0,28.2,28.2,28.2,0.0,0.0
2018-01-21,28.2,28.2,28.2,0.0,0.0,28.2,28.2,28.2,0.0,0.0,28.2,28.2,28.2,0.0,0.0,28.2,28.2,28.2,0.0,0.0
2018-01-28,27.0,27.0,27.0,0.0,0.0,27.0,27.0,27.0,0.0,0.0,27.0,27.0,27.0,0.0,0.0,27.0,27.0,27.0,0.0,0.0
2018-02-04,25.93,25.93,25.93,0.0,0.0,25.93,25.93,25.93,0.0,0.0,25.93,25.93,25.93,0.0,0.0,25.93,25.93,25.93,0.0,0.0
2018-02-11,27.11,27.11,27.11,0.0,0.0,27.15,27.15,27.15,0.0,0.0,27.11,27.11,27.11,0.0,0.0,27.15,27.15,27.15,0.0,0.0
2018-02-18,27.27,27.27,27.27,0.0,0.0,27.27,27.27,27.27,0.0,0.0,27.27,27.27,27.27,0.0,0.0,27.27,27.27,27.27,0.0,0.0
2018-02-25,26.37,26.37,26.37,0.0,0.0,26.42,26.42,26.42,0.0,0.0,26.27,26.27,26.27,0.0,0.0,26.27,26.27,26.27,0.0,0.0
2018-03-04,27.79,27.79,27.79,0.0,0.0,27.79,27.79,27.79,0.0,0.0,27.79,27.79,27.79,0.0,0.0,27.79,27.79,27.79,0.0,0.0
2018-03-11,27.62,27.62,27.62,0.0,0.0,27.62,27.62,27.62,0.0,0.0,27.62,27.62,27.62,0.0,0.0,27.62,27.62,27.62,0.0,0.0
2018-03-18,26.54,26.54,26.54,0.0,0.0,26.54,26.54,26.54,0.0,0.0,26.54,26.54,26.54,0.0,0.0,26.54,26.54,26.54,0.0,0.0
2018-03-25,26.67,26.67,26.67,0.0,0.0,26.67,26.67,26.67,0.0,0.0,26.67,26.67,26.67,0.0,0.0,26.67,26.67,26.67,0.0,0.0
2018-04-01,27.99,27.99,27.99,0.0,0.0,27.99,27.99,27.99,0.0,0.0,27.99,27.99,27.99,0.0,0.0,27.99,27.99,27.99,0.0,0.0
2018-04-08,27.99,27.99,27.99,0.0,0.0,27.99,27.99,27.99,0.0,0.0,27.99,27.99,27.99,0.0,0.0,27.99,27.99,27.99,0.0,0.0
2018-04-15,27.15,27.15,27.15,0.0,0.0,27.19,27.19,27.19,0.0,0.0,27.15,27.15,27.15,0.0,0.0,27.19,27.19,27.19,0.0,0.0
2018-04-22,27.32,27.32,27.32,0.0,0.0,27.32,27.32,27.32,0.0,0.0,27.32,27.32,27.32,0.0,0.0,27.32,27.32,27.32,0.0,0.0
2018-04-29,27.32,27.32,27.32,0.0,0.0,27.32,27.32,27.32,0.0,0.0,27.32,27.32,27.32,0.0,0.0,27.32,27.32,27.32,0.0,0.0
2018-05-06,27.99,27.99,27.99,0.0,0.0,27.99,27.99,27.99,0.0,0.0,27.99,27.99,27.99,0.0,0.0,27.99,27.99,27.99,0.0,0.0
2018-05-13,28.61,28.61,28.61,0.0,0.0,28.61,28.61,28.61,0.0,0.0,28.61,28.61,28.61,0.0,0.0,28.61,28.61,28.61,0.0,0.0
2018-05-20,29.99,29.99,29.99,0.0,0.0,29.99,29.99,29.99,0.0,0.0,29.99,29.99,29.99,0.0,0.0,29.99,29.99,29.99,0.0,0.0
2018-05-27,29.01,29.01,29.01,0.0,0.0,29.19,29.19,29.19,0.0,0.0,29.0,29.0,29.0,0.0,0.0,29.17,29.17,29.17,0.0,0.0
2018-06-03,30.31,30.31,30.31,0.0,0.0,30.31,30.31,30.31,0.0,0.0,30.31,30.31,30.31,0.0,0.0,30.31,30.31,30.31,0.0,0.0
2018-06-10,29.89,29.89,29.89,0.0,0.0,29.89,29.89,29.89,0.0,0.0,29.89,29.89,29.89,0.0,0.0,29.89,29.89,29.89,0.0,0.0
2018-06-17,29.28,29.28,29.28,0.0,0.0,29.28,29.28,29.28,0.0,0.0,29.28,29.28,29.28,0.0,0.0,29.28,29.28,29.28,0.0,0.0
2018-06-24,29.16,29.16,29.16,0.0,0.0,29.47,29.47,29.47,0.0,0.0,29.1,29.1,29.1,0.0,0.0,29.47,29.47,29.47,0.0,0.0
2018-07-01,30.08,30.08,30.08,0.0,0.0,30.29,30.29,30.29,0.0,0.0,30.07,30.07,30.07,0.0,0.0,30.21,30.21,30.21,0.0,0.0
2018-07-08,29.85,29.85,29.85,0.0,0.0,29.85,29.85,29.85,0.0,0.0,29.73,29.73,29.73,0.0,0.0,29.73,29.73,29.73,0.0,0.0
2018-07-15,30.44,30.44,30.44,0.0,0.0,30.56,30.56,30.56,0.0,0.0,30.44,30.44,30.44,0.0,0.0,30.48,30.48,30.48,0.0,0.0
2018-07-22,29.83,29.83,29.83,0.0,0.0,29.85,29.85,29.85,0.0,0.0,29.82,29.82,29.82,0.0,0.0,29.82,29.82,29.82,0.0,0.0
2018-07-29,30.47,30.47,30.47,0.0,0.0,30.63,30.63,30.63,0.0,0.0,30.47,30.47,30.47,0.0,0.0,30.55,30.55,30.55,0.0,0.0
2018-08-05,30.52,30.52,30.52,0.0,0.0,30.56,30.56,30.56,0.0,0.0,30.25,30.25,30.25,0.0,0.0,30.42,30.42,30.42,0.0,0.0
2018-08-12,30.83,30.83,30.83,0.0,0.0,30.83,30.83,30.83,0.0,0.0,30.83,30.83,30.83,0.0,0.0,30.83,30.83,30.83,0.0,0.0
2018-08-19,31.51,31.51,31.51,0.0,0.0,31.51,31.51,31.51,0.0,0.0,31.51,31.51,31.51,0.0,0.0,31.51,31.51,31.51,0.0,0.0
2018-08-26,31.63,31.63,31.63,0.0,0.0,31.63,31.63,31.63,0.0,0.0,31.58,31.58,31.58,0.0,0.0,31.58,31.58,31.58,0.0,0.0
2018-09-02,31.23,31.23,31.23,0.0,0.0,31.23,31.23,31.23,0.0,0.0,31.14,31.14,31.14,0.0,0.0,31.21,31.21,31.21,0.0,0.0
2018-09-09,30.9,30.9,30.9,0.0,0.0,30.92,30.92,30.92,0.0,0.0,30.84,30.84,30.84,0.0,0.0,30.84,30.84,30.84,0.0,0.0
2018-09-16,30.26,30.26,30.26,0.0,0.0,30.38,30.38,30.38,0.0,0.0,30.18,30.18,30.18,0.0,0.0,30.37,30.37,30.37,0.0,0.0
2018-09-23,30.87,30.87,30.87,0.0,0.0,30.87,30.87,30.87,0.0,0.0,29.93,29.93,29.93,0.0,0.0,30.03,30.03,30.03,0.0,0.0
2018-09-30,29.13,29.13,29.13,0.0,0.0,29.29,29.29,29.29,0.0,0.0,28.52,28.52,28.52,0.0,0.0,29.18,29.18,29.18,0.0,0.0
2018-10-07,27.85,27.85,27.85,0.0,0.0,28.08,28.08,28.08,0.0,0.0,27.85,27.85,27.85,0.0,0.0,28.05,28.05,28.05,0.0,0.0
2018-10-14,28.0,28.0,28.0,0.0,0.0,28.0,28.0,28.0,0.0,0.0,27.97,27.97,27.97,0.0,0.0,28.0,28.0,28.0,0.0,0.0
2018-10-21,27.89,27.89,27.89,0.0,0.0,27.89,27.89,27.89,0.0,0.0,27.34,27.34,27.34,0.0,0.0,27.64,27.64,27.64,0.0,0.0
2018-10-28,28.87,28.87,28.87,0.0,0.0,28.87,28.87,28.87,0.0,0.0,28.46,28.46,28.46,0.0,0.0,28.71,28.71,28.71,0.0,0.0
2018-11-04,28.3,28.3,28.3,0.0,0.0,28.34,28.34,28.34,0.0,0.0,28.11,28.11,28.11,0.0,0.0,28.21,28.21,28.21,0.0,0.0
2018-11-11,28.2,28.2,28.2,0.0,0.0,28.2,28.2,28.2,0.0,0.0,27.81,27.81,27.81,0.0,0.0,27.81,27.81,27.81,0.0,0.0
2018-11-18,27.91,27.91,27.91,0.0,0.0,27.91,27.91,27.91,0.0,0.0,27.67,27.67,27.67,0.0,0.0,27.8,27.8,27.8,0.0,0.0
