Date,PowerShares DWA NASDAQ Momentum Portfolio_Open_average,PowerShares DWA NASDAQ Momentum Portfolio_Open_max,PowerShares DWA NASDAQ Momentum Portfolio_Open_min,PowerShares DWA NASDAQ Momentum Portfolio_Open_volatility,PowerShares DWA NASDAQ Momentum Portfolio_Open_change,PowerShares DWA NASDAQ Momentum Portfolio_High_average,PowerShares DWA NASDAQ Momentum Portfolio_High_max,PowerShares DWA NASDAQ Momentum Portfolio_High_min,PowerShares DWA NASDAQ Momentum Portfolio_High_volatility,PowerShares DWA NASDAQ Momentum Portfolio_High_change,PowerShares DWA NASDAQ Momentum Portfolio_Low_average,PowerShares DWA NASDAQ Momentum Portfolio_Low_max,PowerShares DWA NASDAQ Momentum Portfolio_Low_min,PowerShares DWA NASDAQ Momentum Portfolio_Low_volatility,PowerShares DWA NASDAQ Momentum Portfolio_Low_change,PowerShares DWA NASDAQ Momentum Portfolio_Close_average,PowerShares DWA NASDAQ Momentum Portfolio_Close_max,PowerShares DWA NASDAQ Momentum Portfolio_Close_min,PowerShares DWA NASDAQ Momentum Portfolio_Close_volatility,PowerShares DWA NASDAQ Momentum Portfolio_Close_change
2018-01-14,110.74,110.74,110.74,0.0,0.0,111.07,111.07,111.07,0.0,0.0,110.74,110.74,110.74,0.0,0.0,111.07,111.07,111.07,0.0,0.0
2018-01-21,110.89,110.89,110.89,0.0,0.0,111.01,111.01,111.01,0.0,0.0,110.57,110.57,110.57,0.0,0.0,110.65,110.65,110.65,0.0,0.0
2018-01-28,105.62,105.62,105.62,0.0,0.0,105.96,105.96,105.96,0.0,0.0,103.26,103.26,103.26,0.0,0.0,104.27,104.27,104.27,0.0,0.0
2018-02-04,101.36,101.36,101.36,0.0,0.0,103.68,103.68,103.68,0.0,0.0,101.36,101.36,101.36,0.0,0.0,103.32,103.32,103.32,0.0,0.0
2018-02-11,108.38,108.38,108.38,0.0,0.0,108.89,108.89,108.89,0.0,0.0,108.24,108.24,108.24,0.0,0.0,108.24,108.24,108.24,0.0,0.0
2018-02-18,109.38,109.38,109.38,0.0,0.0,110.16,110.16,110.16,0.0,0.0,109.38,109.38,109.38,0.0,0.0,109.64,109.64,109.64,0.0,0.0
2018-02-25,107.8,107.8,107.8,0.0,0.0,109.08,109.08,109.08,0.0,0.0,107.8,107.8,107.8,0.0,0.0,109.06,109.06,109.06,0.0,0.0
2018-03-04,113.81,113.81,113.81,0.0,0.0,114.32,114.32,114.32,0.0,0.0,113.74,113.74,113.74,0.0,0.0,114.17,114.17,114.17,0.0,0.0
2018-03-11,111.01,111.01,111.01,0.0,0.0,111.05,111.05,111.05,0.0,0.0,109.97,109.97,109.97,0.0,0.0,109.97,109.97,109.97,0.0,0.0
2018-03-18,107.51,107.51,107.51,0.0,0.0,107.51,107.51,107.51,0.0,0.0,107.51,107.51,107.51,0.0,0.0,107.51,107.51,107.51,0.0,0.0
