Date,Franklin Short Dur US Gov_Open_average,Franklin Short Dur US Gov_Open_max,Franklin Short Dur US Gov_Open_min,Franklin Short Dur US Gov_Open_volatility,Franklin Short Dur US Gov_Open_change,Franklin Short Dur US Gov_High_average,Franklin Short Dur US Gov_High_max,Franklin Short Dur US Gov_High_min,Franklin Short Dur US Gov_High_volatility,Franklin Short Dur US Gov_High_change,Franklin Short Dur US Gov_Low_average,Franklin Short Dur US Gov_Low_max,Franklin Short Dur US Gov_Low_min,Franklin Short Dur US Gov_Low_volatility,Franklin Short Dur US Gov_Low_change,Franklin Short Dur US Gov_Close_average,Franklin Short Dur US Gov_Close_max,Franklin Short Dur US Gov_Close_min,Franklin Short Dur US Gov_Close_volatility,Franklin Short Dur US Gov_Close_change
2018-01-14,95.72,95.72,95.72,0.0,0.0,95.74,95.74,95.74,0.0,0.0,95.63,95.63,95.63,0.0,0.0,95.67,95.67,95.67,0.0,0.0
2018-01-21,95.7,95.7,95.7,0.0,0.0,95.7,95.7,95.7,0.0,0.0,95.51,95.51,95.51,0.0,0.0,95.69,95.69,95.69,0.0,0.0
2018-01-28,95.52,95.52,95.52,0.0,0.0,95.8,95.8,95.8,0.0,0.0,95.45,95.45,95.45,0.0,0.0,95.68,95.68,95.68,0.0,0.0
2018-02-04,95.55,95.55,95.55,0.0,0.0,95.55,95.55,95.55,0.0,0.0,95.19,95.19,95.19,0.0,0.0,95.44,95.44,95.44,0.0,0.0
2018-02-11,95.23,95.23,95.23,0.0,0.0,95.53,95.53,95.53,0.0,0.0,95.23,95.23,95.23,0.0,0.0,95.34,95.34,95.34,0.0,0.0
2018-02-18,95.58,95.58,95.58,0.0,0.0,95.58,95.58,95.58,0.0,0.0,95.37,95.37,95.37,0.0,0.0,95.37,95.37,95.37,0.0,0.0
2018-02-25,95.4,95.4,95.4,0.0,0.0,95.4,95.4,95.4,0.0,0.0,95.17,95.17,95.17,0.0,0.0,95.2,95.2,95.2,0.0,0.0
2018-03-04,95.37,95.37,95.37,0.0,0.0,95.39,95.39,95.39,0.0,0.0,95.2,95.2,95.2,0.0,0.0,95.39,95.39,95.39,0.0,0.0
2018-03-11,95.16,95.16,95.16,0.0,0.0,95.3,95.3,95.3,0.0,0.0,95.16,95.16,95.16,0.0,0.0,95.3,95.3,95.3,0.0,0.0
2018-03-18,95.38,95.38,95.38,0.0,0.0,95.42,95.42,95.42,0.0,0.0,95.24,95.24,95.24,0.0,0.0,95.36,95.36,95.36,0.0,0.0
2018-03-25,95.21,95.21,95.21,0.0,0.0,95.28,95.28,95.28,0.0,0.0,95.09,95.09,95.09,0.0,0.0,95.2,95.2,95.2,0.0,0.0
2018-04-01,95.1,95.1,95.1,0.0,0.0,95.14,95.14,95.14,0.0,0.0,95.1,95.1,95.1,0.0,0.0,95.13,95.13,95.13,0.0,0.0
2018-04-08,95.1,95.1,95.1,0.0,0.0,95.2,95.2,95.2,0.0,0.0,95.1,95.1,95.1,0.0,0.0,95.17,95.17,95.17,0.0,0.0
2018-04-15,95.1,95.1,95.1,0.0,0.0,95.1,95.1,95.1,0.0,0.0,95.02,95.02,95.02,0.0,0.0,95.07,95.07,95.07,0.0,0.0
2018-04-22,95.0,95.0,95.0,0.0,0.0,95.03,95.03,95.03,0.0,0.0,94.96,94.96,94.96,0.0,0.0,95.02,95.02,95.02,0.0,0.0
2018-04-29,95.07,95.07,95.07,0.0,0.0,95.07,95.07,95.07,0.0,0.0,95.02,95.02,95.02,0.0,0.0,95.06,95.06,95.06,0.0,0.0
2018-05-06,95.04,95.04,95.04,0.0,0.0,95.06,95.06,95.06,0.0,0.0,95.01,95.01,95.01,0.0,0.0,95.05,95.05,95.05,0.0,0.0
