Date,PowerShares FTSE RAFI US 1500 Small Mid_Open_average,PowerShares FTSE RAFI US 1500 Small Mid_Open_max,PowerShares FTSE RAFI US 1500 Small Mid_Open_min,PowerShares FTSE RAFI US 1500 Small Mid_Open_volatility,PowerShares FTSE RAFI US 1500 Small Mid_Open_change,PowerShares FTSE RAFI US 1500 Small Mid_High_average,PowerShares FTSE RAFI US 1500 Small Mid_High_max,PowerShares FTSE RAFI US 1500 Small Mid_High_min,PowerShares FTSE RAFI US 1500 Small Mid_High_volatility,PowerShares FTSE RAFI US 1500 Small Mid_High_change,PowerShares FTSE RAFI US 1500 Small Mid_Low_average,PowerShares FTSE RAFI US 1500 Small Mid_Low_max,PowerShares FTSE RAFI US 1500 Small Mid_Low_min,PowerShares FTSE RAFI US 1500 Small Mid_Low_volatility,PowerShares FTSE RAFI US 1500 Small Mid_Low_change,PowerShares FTSE RAFI US 1500 Small Mid_Close_average,PowerShares FTSE RAFI US 1500 Small Mid_Close_max,PowerShares FTSE RAFI US 1500 Small Mid_Close_min,PowerShares FTSE RAFI US 1500 Small Mid_Close_volatility,PowerShares FTSE RAFI US 1500 Small Mid_Close_change
2018-01-14,134.37,134.37,134.37,0.0,0.0,135.49,135.49,135.49,0.0,0.0,133.82,133.82,133.82,0.0,0.0,135.47,135.47,135.47,0.0,0.0
2018-01-21,136.0,136.0,136.0,0.0,0.0,136.03,136.03,136.03,0.0,0.0,135.29,135.29,135.29,0.0,0.0,136.01,136.01,136.01,0.0,0.0
2018-01-28,132.15,132.15,132.15,0.0,0.0,132.25,132.25,132.25,0.0,0.0,130.19,130.19,130.19,0.0,0.0,130.5,130.5,130.5,0.0,0.0
2018-02-04,124.37,124.37,124.37,0.0,0.0,125.49,125.49,125.49,0.0,0.0,121.23,121.23,121.23,0.0,0.0,124.59,124.59,124.59,0.0,0.0
2018-02-11,129.42,129.42,129.42,0.0,0.0,131.07,131.07,131.07,0.0,0.0,129.42,129.42,129.42,0.0,0.0,130.25,130.25,130.25,0.0,0.0
2018-02-18,129.93,129.93,129.93,0.0,0.0,130.7,130.7,130.7,0.0,0.0,129.41,129.41,129.41,0.0,0.0,130.7,130.7,130.7,0.0,0.0
2018-02-25,125.71,125.71,125.71,0.0,0.0,128.92,128.92,128.92,0.0,0.0,125.71,125.71,125.71,0.0,0.0,128.74,128.74,128.74,0.0,0.0
2018-03-04,132.29,132.29,132.29,0.0,0.0,133.65,133.65,133.65,0.0,0.0,132.13,132.13,132.13,0.0,0.0,133.64,133.64,133.64,0.0,0.0
2018-03-11,132.32,132.32,132.32,0.0,0.0,133.42,133.42,133.42,0.0,0.0,132.32,132.32,132.32,0.0,0.0,133.07,133.07,133.07,0.0,0.0
2018-03-18,129.85,129.85,129.85,0.0,0.0,130.11,130.11,130.11,0.0,0.0,126.94,126.94,126.94,0.0,0.0,126.95,126.95,126.95,0.0,0.0
