Date,GPN_Open_average,GPN_Open_max,GPN_Open_volatility,GPN_Open_change,GPN_High_average,GPN_High_max,GPN_High_volatility,GPN_High_change,GPN_Low_average,GPN_Low_max,GPN_Low_volatility,GPN_Low_change,GPN_Close_average,GPN_Close_max,GPN_Close_volatility,GPN_Close_change,GPN_Volume_average,GPN_Volume_max,GPN_Volume_volatility,GPN_Volume_change
2016-01-03,62.33166666666666,63.51,3.239999999999995,-3.239999999999995,63.065,64.08,3.1000000000000014,-2.740000000000002,60.983333333333334,62.78,5.050000000000004,-4.240000000000002,61.656666666666666,63.75,5.229999999999997,-4.059999999999995,2518945,2911308,1040558,224934
2016-01-10,57.61,59.12,3.0,-3.0,58.2925,59.16,2.0,-2.0,56.1525,57.01,1.4399999999999977,-1.4399999999999977,57.345,58.52,2.1200000000000045,-1.4200000000000017,3068379,3665845,1710486,38930
2016-01-17,57.73,58.79,2.6499999999999986,1.1400000000000006,58.762,59.18,0.8200000000000003,0.6899999999999977,56.842,57.78,2.990000000000002,0.5,57.832,58.86,1.5700000000000003,0.3399999999999963,2549351,3481267,1598433,-312434
2016-01-24,57.502,58.48,2.3299999999999983,0.75,58.728,60.03,2.6200000000000045,1.1200000000000045,56.492,58.23,2.6899999999999977,1.1699999999999946,57.926,59.62,3.769999999999996,0.9600000000000009,2300548,2719978,857215,-609860
2016-01-31,57.066,58.77,3.960000000000001,-3.960000000000001,57.434,58.77,3.960000000000001,-3.960000000000001,55.208,56.86,5.57,-4.969999999999999,55.974,57.69,5.149999999999999,-4.009999999999998,1708087,2274644,1218903,310796
2016-02-07,53.315,55.65,4.030000000000001,4.030000000000001,55.24,56.86,2.979999999999997,2.979999999999997,53.004999999999995,54.86,3.240000000000002,3.240000000000002,54.662499999999994,56.8,4.329999999999998,4.329999999999998,2142165,2673116,872327,161485
2016-02-14,58.636,59.64,2.3500000000000014,2.3500000000000014,59.59,61.65,3.4099999999999966,3.4099999999999966,57.89,59.64,3.0,3.0,59.184,61.46,3.450000000000003,3.3599999999999994,1530455,1654691,263178,74880
2016-02-21,61.432,62.54,2.5600000000000023,0.3300000000000054,62.348,62.99,1.2600000000000051,0.4299999999999997,60.784,61.8,2.059999999999995,0.22999999999999687,61.480000000000004,62.38,1.8000000000000043,0.37000000000000455,1153241,1415790,448077,151096
2016-02-28,62.354,62.94,1.6599999999999966,1.6599999999999966,62.99,63.48,0.75,0.2700000000000031,61.21,62.23,2.1199999999999974,-0.6400000000000006,62.336,63.26,2.729999999999997,-2.1799999999999997,1295671,2221987,1352002,1202747
2016-03-06,59.794,60.28,1.240000000000002,-0.21000000000000085,60.264,61.01,1.6299999999999955,-0.13000000000000256,59.1,59.87,1.2999999999999972,-0.060000000000002274,59.424,60.16,1.2299999999999969,0.0,1576359,2560940,1407551,-1010374
2016-03-13,58.89,59.38,1.1799999999999997,0.720000000000006,59.738,60.1,0.8000000000000043,0.5,58.678,59.24,1.1300000000000026,0.8999999999999986,59.256,59.9,1.4299999999999997,1.009999999999998,1548767,1967804,868911,-868911
2016-03-20,59.4825,60.19,1.25,1.25,60.295,60.55,0.5700000000000003,0.5700000000000003,58.957499999999996,59.55,1.009999999999998,1.009999999999998,59.8875,60.17,0.5500000000000043,0.47000000000000597,1466488,1940678,931435,-538575
