Date,iShares MSCI USA Equal Weighted_Open_average,iShares MSCI USA Equal Weighted_Open_max,iShares MSCI USA Equal Weighted_Open_min,iShares MSCI USA Equal Weighted_Open_volatility,iShares MSCI USA Equal Weighted_Open_change,iShares MSCI USA Equal Weighted_High_average,iShares MSCI USA Equal Weighted_High_max,iShares MSCI USA Equal Weighted_High_min,iShares MSCI USA Equal Weighted_High_volatility,iShares MSCI USA Equal Weighted_High_change,iShares MSCI USA Equal Weighted_Low_average,iShares MSCI USA Equal Weighted_Low_max,iShares MSCI USA Equal Weighted_Low_min,iShares MSCI USA Equal Weighted_Low_volatility,iShares MSCI USA Equal Weighted_Low_change,iShares MSCI USA Equal Weighted_Close_average,iShares MSCI USA Equal Weighted_Close_max,iShares MSCI USA Equal Weighted_Close_min,iShares MSCI USA Equal Weighted_Close_volatility,iShares MSCI USA Equal Weighted_Close_change
2018-01-14,58.13,58.13,58.13,0.0,0.0,58.36,58.36,58.36,0.0,0.0,58.06,58.06,58.06,0.0,0.0,58.35,58.35,58.35,0.0,0.0
2018-01-21,58.82,58.82,58.82,0.0,0.0,59.06,59.06,59.06,0.0,0.0,58.64,58.64,58.64,0.0,0.0,58.67,58.67,58.67,0.0,0.0
2018-01-28,56.21,56.21,56.21,0.0,0.0,56.76,56.76,56.76,0.0,0.0,54.82,54.82,54.82,0.0,0.0,54.93,54.93,54.93,0.0,0.0
2018-02-04,54.46,54.46,54.46,0.0,0.0,54.97,54.97,54.97,0.0,0.0,54.12,54.12,54.12,0.0,0.0,54.69,54.69,54.69,0.0,0.0
2018-02-11,56.19,56.19,56.19,0.0,0.0,56.64,56.64,56.64,0.0,0.0,56.18,56.18,56.18,0.0,0.0,56.39,56.39,56.39,0.0,0.0
2018-02-18,56.62,56.62,56.62,0.0,0.0,56.84,56.84,56.84,0.0,0.0,56.37,56.37,56.37,0.0,0.0,56.8,56.8,56.8,0.0,0.0
2018-02-25,55.29,55.29,55.29,0.0,0.0,56.12,56.12,56.12,0.0,0.0,55.25,55.25,55.25,0.0,0.0,56.11,56.11,56.11,0.0,0.0
2018-03-04,57.58,57.58,57.58,0.0,0.0,57.72,57.72,57.72,0.0,0.0,57.3,57.3,57.3,0.0,0.0,57.38,57.38,57.38,0.0,0.0
2018-03-11,56.74,56.74,56.74,0.0,0.0,56.76,56.76,56.76,0.0,0.0,56.08,56.08,56.08,0.0,0.0,56.29,56.29,56.29,0.0,0.0
2018-03-18,54.53,54.53,54.53,0.0,0.0,55.12,55.12,55.12,0.0,0.0,54.28,54.28,54.28,0.0,0.0,55.1,55.1,55.1,0.0,0.0
2018-03-25,55.3,55.3,55.3,0.0,0.0,55.3,55.3,55.3,0.0,0.0,53.41,53.41,53.41,0.0,0.0,53.84,53.84,53.84,0.0,0.0
2018-04-01,54.41,54.41,54.41,0.0,0.0,55.0,55.0,55.0,0.0,0.0,54.41,54.41,54.41,0.0,0.0,54.59,54.59,54.59,0.0,0.0
2018-04-08,55.29,55.29,55.29,0.0,0.0,55.69,55.69,55.69,0.0,0.0,55.29,55.29,55.29,0.0,0.0,55.59,55.59,55.59,0.0,0.0
2018-04-15,55.61,55.61,55.61,0.0,0.0,55.7,55.7,55.7,0.0,0.0,55.53,55.53,55.53,0.0,0.0,55.55,55.55,55.55,0.0,0.0
2018-04-22,55.69,55.69,55.69,0.0,0.0,55.72,55.72,55.72,0.0,0.0,55.18,55.18,55.18,0.0,0.0,55.25,55.25,55.25,0.0,0.0
2018-04-29,55.23,55.23,55.23,0.0,0.0,55.51,55.51,55.51,0.0,0.0,55.23,55.23,55.23,0.0,0.0,55.33,55.33,55.33,0.0,0.0
2018-05-06,56.4,56.4,56.4,0.0,0.0,56.48,56.48,56.48,0.0,0.0,56.17,56.17,56.17,0.0,0.0,56.17,56.17,56.17,0.0,0.0
2018-05-13,56.6,56.6,56.6,0.0,0.0,56.69,56.69,56.69,0.0,0.0,56.5,56.5,56.5,0.0,0.0,56.57,56.57,56.57,0.0,0.0
2018-05-20,56.19,56.19,56.19,0.0,0.0,56.39,56.39,56.39,0.0,0.0,56.19,56.19,56.19,0.0,0.0,56.33,56.33,56.33,0.0,0.0
2018-05-27,56.62,56.62,56.62,0.0,0.0,56.7,56.7,56.7,0.0,0.0,56.55,56.55,56.55,0.0,0.0,56.68,56.68,56.68,0.0,0.0
2018-06-03,57.71,57.71,57.71,0.0,0.0,57.77,57.77,57.77,0.0,0.0,57.64,57.64,57.64,0.0,0.0,57.65,57.65,57.65,0.0,0.0
2018-06-10,57.61,57.61,57.61,0.0,0.0,57.76,57.76,57.76,0.0,0.0,57.61,57.61,57.61,0.0,0.0,57.71,57.71,57.71,0.0,0.0
2018-06-17,56.72,56.72,56.72,0.0,0.0,56.9,56.9,56.9,0.0,0.0,56.57,56.57,56.57,0.0,0.0,56.76,56.76,56.76,0.0,0.0
2018-06-24,56.13,56.13,56.13,0.0,0.0,56.33,56.33,56.33,0.0,0.0,55.94,55.94,55.94,0.0,0.0,56.3,56.3,56.3,0.0,0.0
2018-07-01,57.76,57.76,57.76,0.0,0.0,57.76,57.76,57.76,0.0,0.0,57.5,57.5,57.5,0.0,0.0,57.67,57.67,57.67,0.0,0.0
2018-07-08,57.55,57.55,57.55,0.0,0.0,57.58,57.58,57.58,0.0,0.0,57.46,57.46,57.46,0.0,0.0,57.55,57.55,57.55,0.0,0.0
2018-07-15,57.65,57.65,57.65,0.0,0.0,57.77,57.77,57.77,0.0,0.0,57.57,57.57,57.57,0.0,0.0,57.74,57.74,57.74,0.0,0.0
2018-07-22,57.95,57.95,57.95,0.0,0.0,57.97,57.97,57.97,0.0,0.0,57.52,57.52,57.52,0.0,0.0,57.52,57.52,57.52,0.0,0.0
