Date,ProShares Ultra Yen_Open_average,ProShares Ultra Yen_Open_max,ProShares Ultra Yen_Open_min,ProShares Ultra Yen_Open_volatility,ProShares Ultra Yen_Open_change,ProShares Ultra Yen_High_average,ProShares Ultra Yen_High_max,ProShares Ultra Yen_High_min,ProShares Ultra Yen_High_volatility,ProShares Ultra Yen_High_change,ProShares Ultra Yen_Low_average,ProShares Ultra Yen_Low_max,ProShares Ultra Yen_Low_min,ProShares Ultra Yen_Low_volatility,ProShares Ultra Yen_Low_change,ProShares Ultra Yen_Close_average,ProShares Ultra Yen_Close_max,ProShares Ultra Yen_Close_min,ProShares Ultra Yen_Close_volatility,ProShares Ultra Yen_Close_change
2018-01-14,59.07,59.07,59.07,0.0,0.0,59.07,59.07,59.07,0.0,0.0,58.97,58.97,58.97,0.0,0.0,58.97,58.97,58.97,0.0,0.0
2018-01-21,61.43,61.43,61.43,0.0,0.0,61.43,61.43,61.43,0.0,0.0,61.08,61.08,61.08,0.0,0.0,61.08,61.08,61.08,0.0,0.0
2018-01-28,60.03,60.03,60.03,0.0,0.0,60.26,60.26,60.26,0.0,0.0,60.03,60.03,60.03,0.0,0.0,60.26,60.26,60.26,0.0,0.0
2018-02-04,61.33,61.33,61.33,0.0,0.0,61.55,61.55,61.55,0.0,0.0,61.33,61.33,61.33,0.0,0.0,61.53,61.53,61.53,0.0,0.0
2018-02-11,64.18,64.18,64.18,0.0,0.0,64.22,64.22,64.22,0.0,0.0,64.0,64.0,64.0,0.0,0.0,64.0,64.0,64.0,0.0,0.0
2018-02-18,63.16,63.16,63.16,0.0,0.0,63.25,63.25,63.25,0.0,0.0,63.13,63.13,63.13,0.0,0.0,63.25,63.25,63.25,0.0,0.0
2018-02-25,64.75,64.75,64.75,0.0,0.0,64.75,64.75,64.75,0.0,0.0,64.26,64.26,64.26,0.0,0.0,64.26,64.26,64.26,0.0,0.0
2018-03-04,63.62,63.62,63.62,0.0,0.0,63.74,63.74,63.74,0.0,0.0,63.62,63.62,63.62,0.0,0.0,63.7,63.7,63.7,0.0,0.0
2018-03-11,64.35,64.35,64.35,0.0,0.0,64.35,64.35,64.35,0.0,0.0,64.35,64.35,64.35,0.0,0.0,64.35,64.35,64.35,0.0,0.0
2018-03-18,65.15,65.15,65.15,0.0,0.0,65.28,65.28,65.28,0.0,0.0,64.7,64.7,64.7,0.0,0.0,64.7,64.7,64.7,0.0,0.0
