Date,Direxion Daily Regional Banks Bear 3X Shares_Open_average,Direxion Daily Regional Banks Bear 3X Shares_Open_max,Direxion Daily Regional Banks Bear 3X Shares_Open_min,Direxion Daily Regional Banks Bear 3X Shares_Open_volatility,Direxion Daily Regional Banks Bear 3X Shares_Open_change,Direxion Daily Regional Banks Bear 3X Shares_High_average,Direxion Daily Regional Banks Bear 3X Shares_High_max,Direxion Daily Regional Banks Bear 3X Shares_High_min,Direxion Daily Regional Banks Bear 3X Shares_High_volatility,Direxion Daily Regional Banks Bear 3X Shares_High_change,Direxion Daily Regional Banks Bear 3X Shares_Low_average,Direxion Daily Regional Banks Bear 3X Shares_Low_max,Direxion Daily Regional Banks Bear 3X Shares_Low_min,Direxion Daily Regional Banks Bear 3X Shares_Low_volatility,Direxion Daily Regional Banks Bear 3X Shares_Low_change,Direxion Daily Regional Banks Bear 3X Shares_Close_average,Direxion Daily Regional Banks Bear 3X Shares_Close_max,Direxion Daily Regional Banks Bear 3X Shares_Close_min,Direxion Daily Regional Banks Bear 3X Shares_Close_volatility,Direxion Daily Regional Banks Bear 3X Shares_Close_change
2018-01-14,25.61,25.61,25.61,0.0,0.0,25.66,25.66,25.66,0.0,0.0,25.1,25.1,25.1,0.0,0.0,25.1,25.1,25.1,0.0,0.0
2018-01-21,25.4,25.4,25.4,0.0,0.0,25.4,25.4,25.4,0.0,0.0,25.2,25.2,25.2,0.0,0.0,25.25,25.25,25.25,0.0,0.0
2018-01-28,24.13,24.13,24.13,0.0,0.0,25.02,25.02,25.02,0.0,0.0,24.09,24.09,24.09,0.0,0.0,25.02,25.02,25.02,0.0,0.0
2018-02-04,30.21,30.21,30.21,0.0,0.0,30.5,30.5,30.5,0.0,0.0,27.69,27.69,27.69,0.0,0.0,27.72,27.72,27.72,0.0,0.0
2018-02-11,23.95,23.95,23.95,0.0,0.0,24.05,24.05,24.05,0.0,0.0,23.95,23.95,23.95,0.0,0.0,23.99,23.99,23.99,0.0,0.0
2018-02-18,24.88,24.88,24.88,0.0,0.0,25.16,25.16,25.16,0.0,0.0,24.85,24.85,24.85,0.0,0.0,25.16,25.16,25.16,0.0,0.0
2018-02-25,26.88,26.88,26.88,0.0,0.0,26.88,26.88,26.88,0.0,0.0,25.04,25.04,25.04,0.0,0.0,25.21,25.21,25.21,0.0,0.0
2018-03-04,22.0,22.0,22.0,0.0,0.0,22.0,22.0,22.0,0.0,0.0,22.0,22.0,22.0,0.0,0.0,22.0,22.0,22.0,0.0,0.0
2018-03-11,23.0,23.0,23.0,0.0,0.0,23.0,23.0,23.0,0.0,0.0,22.46,22.46,22.46,0.0,0.0,22.52,22.52,22.52,0.0,0.0
2018-03-18,27.39,27.39,27.39,0.0,0.0,28.06,28.06,28.06,0.0,0.0,27.39,27.39,27.39,0.0,0.0,28.06,28.06,28.06,0.0,0.0
2018-03-25,25.9,25.9,25.9,0.0,0.0,26.26,26.26,26.26,0.0,0.0,25.9,25.9,25.9,0.0,0.0,26.26,26.26,26.26,0.0,0.0
2018-04-01,27.22,27.22,27.22,0.0,0.0,27.22,27.22,27.22,0.0,0.0,26.74,26.74,26.74,0.0,0.0,26.74,26.74,26.74,0.0,0.0
2018-04-08,23.61,23.61,23.61,0.0,0.0,25.98,25.98,25.98,0.0,0.0,23.61,23.61,23.61,0.0,0.0,25.98,25.98,25.98,0.0,0.0
2018-04-15,24.3,24.3,24.3,0.0,0.0,24.3,24.3,24.3,0.0,0.0,24.3,24.3,24.3,0.0,0.0,24.3,24.3,24.3,0.0,0.0
2018-04-22,23.25,23.25,23.25,0.0,0.0,23.25,23.25,23.25,0.0,0.0,23.25,23.25,23.25,0.0,0.0,23.25,23.25,23.25,0.0,0.0
2018-04-29,25.2,25.2,25.2,0.0,0.0,25.2,25.2,25.2,0.0,0.0,24.45,24.45,24.45,0.0,0.0,24.45,24.45,24.45,0.0,0.0
2018-05-06,22.02,22.02,22.02,0.0,0.0,22.02,22.02,22.02,0.0,0.0,22.02,22.02,22.02,0.0,0.0,22.02,22.02,22.02,0.0,0.0
2018-05-13,21.7,21.7,21.7,0.0,0.0,21.78,21.78,21.78,0.0,0.0,21.7,21.7,21.7,0.0,0.0,21.78,21.78,21.78,0.0,0.0
2018-05-20,21.62,21.62,21.62,0.0,0.0,21.72,21.72,21.72,0.0,0.0,21.44,21.44,21.44,0.0,0.0,21.6,21.6,21.6,0.0,0.0
2018-05-27,21.56,21.56,21.56,0.0,0.0,21.74,21.74,21.74,0.0,0.0,21.32,21.32,21.32,0.0,0.0,21.48,21.48,21.48,0.0,0.0
2018-06-03,19.99,19.99,19.99,0.0,0.0,19.99,19.99,19.99,0.0,0.0,19.86,19.86,19.86,0.0,0.0,19.86,19.86,19.86,0.0,0.0
2018-06-10,21.96,21.96,21.96,0.0,0.0,21.96,21.96,21.96,0.0,0.0,21.96,21.96,21.96,0.0,0.0,21.96,21.96,21.96,0.0,0.0
2018-06-17,21.11,21.11,21.11,0.0,0.0,21.51,21.51,21.51,0.0,0.0,21.11,21.11,21.11,0.0,0.0,21.51,21.51,21.51,0.0,0.0
2018-06-24,22.78,22.78,22.78,0.0,0.0,24.45,24.45,24.45,0.0,0.0,22.78,22.78,22.78,0.0,0.0,24.45,24.45,24.45,0.0,0.0
2018-07-01,24.35,24.35,24.35,0.0,0.0,24.35,24.35,24.35,0.0,0.0,23.99,23.99,23.99,0.0,0.0,23.99,23.99,23.99,0.0,0.0
