Date,CMD_Open_average,CMD_Open_max,CMD_Open_min,CMD_Open_volatility,CMD_Open_change,CMD_High_average,CMD_High_max,CMD_High_min,CMD_High_volatility,CMD_High_change,CMD_Low_average,CMD_Low_max,CMD_Low_min,CMD_Low_volatility,CMD_Low_change,CMD_Close_average,CMD_Close_max,CMD_Close_min,CMD_Close_volatility,CMD_Close_change,CMD_Volume_average,CMD_Volume_max,CMD_Volume_min,CMD_Volume_volatility,CMD_Volume_change
2018-01-14,111.584,113.18,110.9,2.280000000000001,2.280000000000001,112.54,113.45,111.54,1.9099999999999966,1.6400000000000006,110.558,111.01,109.9,1.1099999999999994,0.9599999999999937,111.624,113.1,111.1,2.0,0.18999999999999773,133839,195385,70539,124846,-74923
2018-01-21,113.484,115.64,110.92,4.719999999999999,4.719999999999999,115.138,116.79,113.04,3.75,3.75,112.712,114.27,110.78,3.489999999999995,3.489999999999995,114.018,115.82,112.02,3.799999999999997,2.0900000000000034,96412,142514,74528,67986,13190
2018-01-28,111.522,113.36,110.01,3.3499999999999943,-2.8599999999999994,112.898,115.13,111.4,3.7299999999999898,-3.7299999999999898,109.844,111.07,107.86,3.2099999999999937,-3.2099999999999937,111.22,112.61,109.82,2.7900000000000063,-1.6700000000000017,184735,237649,131604,106045,60870
2018-02-04,107.776,110.6,104.4,6.199999999999989,-0.5300000000000011,110.324,111.93,107.7,4.230000000000004,-1.5400000000000063,105.41,108.97,102.58,6.390000000000001,-1.0100000000000051,108.002,111.33,103.06,8.269999999999996,-1.5499999999999972,173092,203985,99574,104411,-22810
2018-02-11,111.25,113.65,108.85,4.800000000000011,4.650000000000006,113.47,115.98,110.37,5.609999999999999,5.609999999999999,109.8675,113.51,106.78,6.730000000000004,6.730000000000004,112.91499999999999,114.53,110.1,4.430000000000007,4.430000000000007,121346,154097,101258,52839,-48361
2018-02-18,114.298,115.48,112.95,2.530000000000001,1.25,116.058,117.89,114.49,3.4000000000000057,3.4000000000000057,112.372,114.19,111.15,3.039999999999992,1.8400000000000034,114.47,117.15,112.39,4.760000000000005,4.760000000000005,135663,158257,100826,57431,32139
2018-02-25,115.96,118.75,112.61,6.140000000000001,-3.280000000000001,117.772,119.78,115.51,4.269999999999996,-2.3900000000000006,114.006,116.1,111.56,4.539999999999992,-2.3499999999999943,115.966,118.45,113.85,4.6000000000000085,-2.3500000000000085,147035,176488,85574,90914,-73446
2018-03-04,119.336,123.01,116.41,6.6000000000000085,0.9200000000000017,120.97,123.6,118.78,4.819999999999993,0.8799999999999955,115.494,116.0,114.9,1.0999999999999943,-0.14999999999999147,117.996,121.26,115.8,5.460000000000008,-1.740000000000009,188152,237012,121498,115514,107364
2018-03-11,115.674,116.83,113.87,2.9599999999999937,-2.9599999999999937,116.97,118.99,115.8,3.1899999999999977,-0.39000000000000057,113.574,114.77,110.92,3.8499999999999943,-3.8499999999999943,114.38,115.79,111.9,3.8900000000000006,-3.6599999999999966,1066759,4755389,98071,4657318,145700
2018-03-18,112.498,114.6,111.08,3.519999999999996,-0.0799999999999983,114.56400000000001,115.8,113.65,2.1499999999999915,-1.2399999999999949,111.23,113.24,110.0,3.239999999999995,-1.1899999999999977,112.558,114.3,110.01,4.289999999999992,-0.9699999999999989,176772,220085,151676,68409,-37752
2018-03-25,111.035,113.44,108.22,5.219999999999999,-2.1400000000000006,112.7775,114.17,111.3,2.8700000000000045,-2.719999999999999,107.6875,109.55,106.28,3.269999999999996,-0.9500000000000028,109.585,111.41,107.99,3.4200000000000017,-0.23000000000000398,279396,418647,182462,236185,-236185
2018-04-01,109.1,110.52,107.55,2.969999999999999,1.0400000000000063,110.948,112.55,110.19,2.3599999999999994,0.060000000000002274,107.816,110.03,106.83,3.200000000000003,-0.5499999999999972,109.384,110.94,107.38,3.5600000000000023,-2.240000000000009,167101,207656,113672,93984,-5532
2018-04-08,109.614,111.12,108.02,3.1000000000000085,2.5900000000000034,111.21000000000001,113.79,109.59,4.200000000000003,3.530000000000001,108.864,110.94,106.83,4.109999999999999,4.109999999999999,110.434,113.42,108.86,4.560000000000002,4.320000000000007,166570,339778,99052,240726,-181852
2018-04-15,115.20400000000001,116.54,113.95,2.5900000000000034,2.5,116.46600000000001,117.17,115.48,1.6899999999999977,0.8799999999999955,114.026,114.95,112.81,2.1400000000000006,2.030000000000001,115.562,116.0,115.03,0.9699999999999989,-0.29999999999999716,115994,136608,102164,34444,-19390
2018-04-22,114.676,116.04,113.25,2.7900000000000063,-0.7200000000000131,115.34,116.32,113.5,2.819999999999993,-0.7999999999999972,112.60000000000001,113.84,111.17,2.6700000000000017,-1.0,113.874,115.52,112.07,3.450000000000003,-1.730000000000004,114013,164479,91861,72618,58470
2018-04-29,114.018,118.48,111.97,6.510000000000005,6.510000000000005,116.392,119.51,113.14,6.3700000000000045,6.3700000000000045,113.32600000000001,117.75,111.09,6.659999999999997,6.659999999999997,115.628,118.5,112.68,5.819999999999993,5.469999999999999,141766,176771,101793,74978,-74978
