Date,Reality Shares Divcon Dividend Defender_Open_average,Reality Shares Divcon Dividend Defender_Open_max,Reality Shares Divcon Dividend Defender_Open_min,Reality Shares Divcon Dividend Defender_Open_volatility,Reality Shares Divcon Dividend Defender_Open_change,Reality Shares Divcon Dividend Defender_High_average,Reality Shares Divcon Dividend Defender_High_max,Reality Shares Divcon Dividend Defender_High_min,Reality Shares Divcon Dividend Defender_High_volatility,Reality Shares Divcon Dividend Defender_High_change,Reality Shares Divcon Dividend Defender_Low_average,Reality Shares Divcon Dividend Defender_Low_max,Reality Shares Divcon Dividend Defender_Low_min,Reality Shares Divcon Dividend Defender_Low_volatility,Reality Shares Divcon Dividend Defender_Low_change,Reality Shares Divcon Dividend Defender_Close_average,Reality Shares Divcon Dividend Defender_Close_max,Reality Shares Divcon Dividend Defender_Close_min,Reality Shares Divcon Dividend Defender_Close_volatility,Reality Shares Divcon Dividend Defender_Close_change
2018-01-14,28.13,28.13,28.13,0.0,0.0,28.13,28.13,28.13,0.0,0.0,28.1,28.1,28.1,0.0,0.0,28.12,28.12,28.12,0.0,0.0
2018-01-21,28.14,28.14,28.14,0.0,0.0,28.25,28.25,28.25,0.0,0.0,28.14,28.14,28.14,0.0,0.0,28.22,28.22,28.22,0.0,0.0
2018-01-28,27.96,27.96,27.96,0.0,0.0,27.96,27.96,27.96,0.0,0.0,27.96,27.96,27.96,0.0,0.0,27.96,27.96,27.96,0.0,0.0
2018-02-04,26.99,26.99,26.99,0.0,0.0,27.1,27.1,27.1,0.0,0.0,26.99,26.99,26.99,0.0,0.0,27.1,27.1,27.1,0.0,0.0
2018-02-11,27.94,27.94,27.94,0.0,0.0,27.94,27.94,27.94,0.0,0.0,27.7,27.7,27.7,0.0,0.0,27.82,27.82,27.82,0.0,0.0
2018-02-18,27.76,27.76,27.76,0.0,0.0,27.76,27.76,27.76,0.0,0.0,27.76,27.76,27.76,0.0,0.0,27.76,27.76,27.76,0.0,0.0
2018-02-25,27.35,27.35,27.35,0.0,0.0,27.67,27.67,27.67,0.0,0.0,27.35,27.35,27.35,0.0,0.0,27.65,27.65,27.65,0.0,0.0
2018-03-04,28.0,28.0,28.0,0.0,0.0,28.08,28.08,28.08,0.0,0.0,27.99,27.99,27.99,0.0,0.0,28.05,28.05,28.05,0.0,0.0
2018-03-11,27.92,27.92,27.92,0.0,0.0,27.96,27.96,27.96,0.0,0.0,27.92,27.92,27.92,0.0,0.0,27.96,27.96,27.96,0.0,0.0
2018-03-18,27.11,27.11,27.11,0.0,0.0,27.11,27.11,27.11,0.0,0.0,27.08,27.08,27.08,0.0,0.0,27.11,27.11,27.11,0.0,0.0
2018-03-25,27.21,27.21,27.21,0.0,0.0,27.37,27.37,27.37,0.0,0.0,27.2,27.2,27.2,0.0,0.0,27.31,27.31,27.31,0.0,0.0
2018-04-01,27.09,27.09,27.09,0.0,0.0,27.09,27.09,27.09,0.0,0.0,26.11,26.11,26.11,0.0,0.0,26.89,26.89,26.89,0.0,0.0
2018-04-08,27.03,27.03,27.03,0.0,0.0,27.03,27.03,27.03,0.0,0.0,27.03,27.03,27.03,0.0,0.0,27.03,27.03,27.03,0.0,0.0
2018-04-15,27.08,27.08,27.08,0.0,0.0,27.08,27.08,27.08,0.0,0.0,27.08,27.08,27.08,0.0,0.0,27.08,27.08,27.08,0.0,0.0
