Date,iShares MSCI China Small-CapEtf_Open_average,iShares MSCI China Small-CapEtf_Open_max,iShares MSCI China Small-CapEtf_Open_min,iShares MSCI China Small-CapEtf_Open_volatility,iShares MSCI China Small-CapEtf_Open_change,iShares MSCI China Small-CapEtf_High_average,iShares MSCI China Small-CapEtf_High_max,iShares MSCI China Small-CapEtf_High_min,iShares MSCI China Small-CapEtf_High_volatility,iShares MSCI China Small-CapEtf_High_change,iShares MSCI China Small-CapEtf_Low_average,iShares MSCI China Small-CapEtf_Low_max,iShares MSCI China Small-CapEtf_Low_min,iShares MSCI China Small-CapEtf_Low_volatility,iShares MSCI China Small-CapEtf_Low_change,iShares MSCI China Small-CapEtf_Close_average,iShares MSCI China Small-CapEtf_Close_max,iShares MSCI China Small-CapEtf_Close_min,iShares MSCI China Small-CapEtf_Close_volatility,iShares MSCI China Small-CapEtf_Close_change
2018-01-14,53.31,53.31,53.31,0.0,0.0,54.01,54.01,54.01,0.0,0.0,53.31,53.31,53.31,0.0,0.0,54.01,54.01,54.01,0.0,0.0
2018-01-21,55.37,55.37,55.37,0.0,0.0,55.78,55.78,55.78,0.0,0.0,55.37,55.37,55.37,0.0,0.0,55.57,55.57,55.57,0.0,0.0
2018-01-28,53.87,53.87,53.87,0.0,0.0,53.87,53.87,53.87,0.0,0.0,52.29,52.29,52.29,0.0,0.0,52.97,52.97,52.97,0.0,0.0
2018-02-04,48.59,48.59,48.59,0.0,0.0,48.6,48.6,48.6,0.0,0.0,46.2,46.2,46.2,0.0,0.0,48.07,48.07,48.07,0.0,0.0
2018-02-11,52.29,52.29,52.29,0.0,0.0,52.29,52.29,52.29,0.0,0.0,52.29,52.29,52.29,0.0,0.0,52.29,52.29,52.29,0.0,0.0
2018-02-18,52.41,52.41,52.41,0.0,0.0,52.99,52.99,52.99,0.0,0.0,52.41,52.41,52.41,0.0,0.0,52.41,52.41,52.41,0.0,0.0
2018-02-25,52.11,52.11,52.11,0.0,0.0,52.13,52.13,52.13,0.0,0.0,51.0,51.0,51.0,0.0,0.0,51.26,51.26,51.26,0.0,0.0
2018-03-04,53.19,53.19,53.19,0.0,0.0,54.75,54.75,54.75,0.0,0.0,53.06,53.06,53.06,0.0,0.0,54.0,54.0,54.0,0.0,0.0
2018-03-11,54.0,54.0,54.0,0.0,0.0,54.05,54.05,54.05,0.0,0.0,54.0,54.0,54.0,0.0,0.0,54.05,54.05,54.05,0.0,0.0
2018-03-18,51.79,51.79,51.79,0.0,0.0,51.79,51.79,51.79,0.0,0.0,50.66,50.66,50.66,0.0,0.0,50.66,50.66,50.66,0.0,0.0
2018-03-25,52.38,52.38,52.38,0.0,0.0,53.0,53.0,53.0,0.0,0.0,52.35,52.35,52.35,0.0,0.0,53.0,53.0,53.0,0.0,0.0
2018-04-01,53.06,53.06,53.06,0.0,0.0,53.08,53.08,53.08,0.0,0.0,52.3,52.3,52.3,0.0,0.0,52.3,52.3,52.3,0.0,0.0
2018-04-08,54.1,54.1,54.1,0.0,0.0,54.1,54.1,54.1,0.0,0.0,54.06,54.06,54.06,0.0,0.0,54.06,54.06,54.06,0.0,0.0
