Date,First Trust United Kingdom AlphaDEX_Open_average,First Trust United Kingdom AlphaDEX_Open_max,First Trust United Kingdom AlphaDEX_Open_min,First Trust United Kingdom AlphaDEX_Open_volatility,First Trust United Kingdom AlphaDEX_Open_change,First Trust United Kingdom AlphaDEX_High_average,First Trust United Kingdom AlphaDEX_High_max,First Trust United Kingdom AlphaDEX_High_min,First Trust United Kingdom AlphaDEX_High_volatility,First Trust United Kingdom AlphaDEX_High_change,First Trust United Kingdom AlphaDEX_Low_average,First Trust United Kingdom AlphaDEX_Low_max,First Trust United Kingdom AlphaDEX_Low_min,First Trust United Kingdom AlphaDEX_Low_volatility,First Trust United Kingdom AlphaDEX_Low_change,First Trust United Kingdom AlphaDEX_Close_average,First Trust United Kingdom AlphaDEX_Close_max,First Trust United Kingdom AlphaDEX_Close_min,First Trust United Kingdom AlphaDEX_Close_volatility,First Trust United Kingdom AlphaDEX_Close_change
2018-01-14,41.94,41.94,41.94,0.0,0.0,41.94,41.94,41.94,0.0,0.0,41.78,41.78,41.78,0.0,0.0,41.78,41.78,41.78,0.0,0.0
2018-01-21,42.59,42.59,42.59,0.0,0.0,42.61,42.61,42.61,0.0,0.0,42.57,42.57,42.57,0.0,0.0,42.6,42.6,42.6,0.0,0.0
2018-01-28,41.78,41.78,41.78,0.0,0.0,41.81,41.81,41.81,0.0,0.0,41.16,41.16,41.16,0.0,0.0,41.21,41.21,41.21,0.0,0.0
2018-02-04,38.88,38.88,38.88,0.0,0.0,38.88,38.88,38.88,0.0,0.0,38.08,38.08,38.08,0.0,0.0,38.2,38.2,38.2,0.0,0.0
2018-02-11,40.99,40.99,40.99,0.0,0.0,40.99,40.99,40.99,0.0,0.0,40.99,40.99,40.99,0.0,0.0,40.99,40.99,40.99,0.0,0.0
2018-02-18,41.01,41.01,41.01,0.0,0.0,41.2,41.2,41.2,0.0,0.0,41.01,41.01,41.01,0.0,0.0,41.13,41.13,41.13,0.0,0.0
2018-02-25,39.59,39.59,39.59,0.0,0.0,39.69,39.69,39.69,0.0,0.0,39.56,39.56,39.56,0.0,0.0,39.66,39.66,39.66,0.0,0.0
2018-03-04,40.75,40.75,40.75,0.0,0.0,40.95,40.95,40.95,0.0,0.0,40.75,40.75,40.75,0.0,0.0,40.9,40.9,40.9,0.0,0.0
2018-03-11,40.75,40.75,40.75,0.0,0.0,40.81,40.81,40.81,0.0,0.0,40.66,40.66,40.66,0.0,0.0,40.66,40.66,40.66,0.0,0.0
2018-03-18,39.65,39.65,39.65,0.0,0.0,39.65,39.65,39.65,0.0,0.0,39.59,39.59,39.59,0.0,0.0,39.59,39.59,39.59,0.0,0.0
2018-03-25,39.63,39.63,39.63,0.0,0.0,39.63,39.63,39.63,0.0,0.0,39.63,39.63,39.63,0.0,0.0,39.63,39.63,39.63,0.0,0.0
2018-04-01,40.11,40.11,40.11,0.0,0.0,40.23,40.23,40.23,0.0,0.0,40.0,40.0,40.0,0.0,0.0,40.0,40.0,40.0,0.0,0.0
2018-04-08,41.13,41.13,41.13,0.0,0.0,41.16,41.16,41.16,0.0,0.0,41.02,41.02,41.02,0.0,0.0,41.02,41.02,41.02,0.0,0.0
2018-04-15,41.36,41.36,41.36,0.0,0.0,41.36,41.36,41.36,0.0,0.0,41.36,41.36,41.36,0.0,0.0,41.36,41.36,41.36,0.0,0.0
2018-04-22,41.05,41.05,41.05,0.0,0.0,41.12,41.12,41.12,0.0,0.0,41.05,41.05,41.05,0.0,0.0,41.12,41.12,41.12,0.0,0.0
2018-04-29,40.89,40.89,40.89,0.0,0.0,40.95,40.95,40.95,0.0,0.0,40.86,40.86,40.86,0.0,0.0,40.95,40.95,40.95,0.0,0.0
2018-05-06,42.15,42.15,42.15,0.0,0.0,42.17,42.17,42.17,0.0,0.0,42.0,42.0,42.0,0.0,0.0,42.08,42.08,42.08,0.0,0.0
2018-05-13,42.22,42.22,42.22,0.0,0.0,42.4,42.4,42.4,0.0,0.0,42.22,42.22,42.22,0.0,0.0,42.39,42.39,42.39,0.0,0.0
2018-05-20,42.23,42.23,42.23,0.0,0.0,42.25,42.25,42.25,0.0,0.0,42.09,42.09,42.09,0.0,0.0,42.09,42.09,42.09,0.0,0.0
2018-05-27,42.27,42.27,42.27,0.0,0.0,42.27,42.27,42.27,0.0,0.0,42.21,42.21,42.21,0.0,0.0,42.21,42.21,42.21,0.0,0.0
2018-06-03,42.83,42.83,42.83,0.0,0.0,42.91,42.91,42.91,0.0,0.0,42.82,42.82,42.82,0.0,0.0,42.91,42.91,42.91,0.0,0.0
2018-06-10,42.38,42.38,42.38,0.0,0.0,42.38,42.38,42.38,0.0,0.0,42.27,42.27,42.27,0.0,0.0,42.29,42.29,42.29,0.0,0.0
