Date,First Trust Multi Cap Growth AlphaDEX_Open_average,First Trust Multi Cap Growth AlphaDEX_Open_max,First Trust Multi Cap Growth AlphaDEX_Open_min,First Trust Multi Cap Growth AlphaDEX_Open_volatility,First Trust Multi Cap Growth AlphaDEX_Open_change,First Trust Multi Cap Growth AlphaDEX_High_average,First Trust Multi Cap Growth AlphaDEX_High_max,First Trust Multi Cap Growth AlphaDEX_High_min,First Trust Multi Cap Growth AlphaDEX_High_volatility,First Trust Multi Cap Growth AlphaDEX_High_change,First Trust Multi Cap Growth AlphaDEX_Low_average,First Trust Multi Cap Growth AlphaDEX_Low_max,First Trust Multi Cap Growth AlphaDEX_Low_min,First Trust Multi Cap Growth AlphaDEX_Low_volatility,First Trust Multi Cap Growth AlphaDEX_Low_change,First Trust Multi Cap Growth AlphaDEX_Close_average,First Trust Multi Cap Growth AlphaDEX_Close_max,First Trust Multi Cap Growth AlphaDEX_Close_min,First Trust Multi Cap Growth AlphaDEX_Close_volatility,First Trust Multi Cap Growth AlphaDEX_Close_change
2018-01-14,69.51,69.51,69.51,0.0,0.0,69.83,69.83,69.83,0.0,0.0,69.31,69.31,69.31,0.0,0.0,69.83,69.83,69.83,0.0,0.0
2018-01-21,70.54,70.54,70.54,0.0,0.0,70.54,70.54,70.54,0.0,0.0,69.89,69.89,69.89,0.0,0.0,69.89,69.89,69.89,0.0,0.0
2018-01-28,67.33,67.33,67.33,0.0,0.0,68.04,68.04,68.04,0.0,0.0,65.35,65.35,65.35,0.0,0.0,65.7,65.7,65.7,0.0,0.0
2018-02-04,65.08,65.08,65.08,0.0,0.0,65.75,65.75,65.75,0.0,0.0,64.83,64.83,64.83,0.0,0.0,65.66,65.66,65.66,0.0,0.0
2018-02-11,68.05,68.05,68.05,0.0,0.0,68.45,68.45,68.45,0.0,0.0,67.93,67.93,67.93,0.0,0.0,68.18,68.18,68.18,0.0,0.0
2018-02-18,69.06,69.06,69.06,0.0,0.0,69.17,69.17,69.17,0.0,0.0,68.97,68.97,68.97,0.0,0.0,69.06,69.06,69.06,0.0,0.0
2018-02-25,67.71,67.71,67.71,0.0,0.0,68.58,68.58,68.58,0.0,0.0,67.71,67.71,67.71,0.0,0.0,68.58,68.58,68.58,0.0,0.0
2018-03-04,71.27,71.27,71.27,0.0,0.0,71.29,71.29,71.29,0.0,0.0,71.02,71.02,71.02,0.0,0.0,71.14,71.14,71.14,0.0,0.0
2018-03-11,70.02,70.02,70.02,0.0,0.0,70.07,70.07,70.07,0.0,0.0,69.3,69.3,69.3,0.0,0.0,69.64,69.64,69.64,0.0,0.0
2018-03-18,67.82,67.82,67.82,0.0,0.0,68.53,68.53,68.53,0.0,0.0,67.55,67.55,67.55,0.0,0.0,68.52,68.52,68.52,0.0,0.0
2018-03-25,67.05,67.05,67.05,0.0,0.0,67.05,67.05,67.05,0.0,0.0,65.47,65.47,65.47,0.0,0.0,65.75,65.75,65.75,0.0,0.0
2018-04-01,66.54,66.54,66.54,0.0,0.0,67.34,67.34,67.34,0.0,0.0,66.54,66.54,66.54,0.0,0.0,66.61,66.61,66.61,0.0,0.0
2018-04-08,68.55,68.55,68.55,0.0,0.0,68.69,68.69,68.69,0.0,0.0,68.2,68.2,68.2,0.0,0.0,68.6,68.6,68.6,0.0,0.0
