Date,AdvisorShares Vice ETF_Open_average,AdvisorShares Vice ETF_Open_max,AdvisorShares Vice ETF_Open_min,AdvisorShares Vice ETF_Open_volatility,AdvisorShares Vice ETF_Open_change,AdvisorShares Vice ETF_High_average,AdvisorShares Vice ETF_High_max,AdvisorShares Vice ETF_High_min,AdvisorShares Vice ETF_High_volatility,AdvisorShares Vice ETF_High_change,AdvisorShares Vice ETF_Low_average,AdvisorShares Vice ETF_Low_max,AdvisorShares Vice ETF_Low_min,AdvisorShares Vice ETF_Low_volatility,AdvisorShares Vice ETF_Low_change,AdvisorShares Vice ETF_Close_average,AdvisorShares Vice ETF_Close_max,AdvisorShares Vice ETF_Close_min,AdvisorShares Vice ETF_Close_volatility,AdvisorShares Vice ETF_Close_change
2018-01-14,26.64,26.64,26.64,0.0,0.0,26.64,26.64,26.64,0.0,0.0,26.5,26.5,26.5,0.0,0.0,26.63,26.63,26.63,0.0,0.0
2018-01-21,27.32,27.32,27.32,0.0,0.0,27.32,27.32,27.32,0.0,0.0,26.98,26.98,26.98,0.0,0.0,27.09,27.09,27.09,0.0,0.0
2018-01-28,26.13,26.13,26.13,0.0,0.0,26.13,26.13,26.13,0.0,0.0,25.3,25.3,25.3,0.0,0.0,25.43,25.43,25.43,0.0,0.0
2018-02-04,25.0,25.0,25.0,0.0,0.0,25.31,25.31,25.31,0.0,0.0,24.9,24.9,24.9,0.0,0.0,25.12,25.12,25.12,0.0,0.0
2018-02-11,26.19,26.19,26.19,0.0,0.0,26.19,26.19,26.19,0.0,0.0,25.91,25.91,25.91,0.0,0.0,26.01,26.01,26.01,0.0,0.0
2018-02-18,25.76,25.76,25.76,0.0,0.0,25.93,25.93,25.93,0.0,0.0,25.7,25.7,25.7,0.0,0.0,25.84,25.84,25.84,0.0,0.0
2018-02-25,25.59,25.59,25.59,0.0,0.0,25.59,25.59,25.59,0.0,0.0,25.04,25.04,25.04,0.0,0.0,25.45,25.45,25.45,0.0,0.0
2018-03-04,26.05,26.05,26.05,0.0,0.0,26.05,26.05,26.05,0.0,0.0,25.84,25.84,25.84,0.0,0.0,25.89,25.89,25.89,0.0,0.0
2018-03-11,25.36,25.36,25.36,0.0,0.0,25.36,25.36,25.36,0.0,0.0,24.98,24.98,24.98,0.0,0.0,25.28,25.28,25.28,0.0,0.0
2018-03-18,24.23,24.23,24.23,0.0,0.0,24.56,24.56,24.56,0.0,0.0,24.23,24.23,24.23,0.0,0.0,24.49,24.49,24.49,0.0,0.0
2018-03-25,24.65,24.65,24.65,0.0,0.0,24.76,24.76,24.76,0.0,0.0,24.33,24.33,24.33,0.0,0.0,24.56,24.56,24.56,0.0,0.0
2018-04-01,25.25,25.25,25.25,0.0,0.0,25.4,25.4,25.4,0.0,0.0,25.14,25.14,25.14,0.0,0.0,25.15,25.15,25.15,0.0,0.0
2018-04-08,25.38,25.38,25.38,0.0,0.0,25.68,25.68,25.68,0.0,0.0,25.38,25.38,25.38,0.0,0.0,25.64,25.64,25.64,0.0,0.0
2018-04-15,25.34,25.34,25.34,0.0,0.0,25.34,25.34,25.34,0.0,0.0,24.95,24.95,24.95,0.0,0.0,25.05,25.05,25.05,0.0,0.0
2018-04-22,25.3,25.3,25.3,0.0,0.0,25.37,25.37,25.37,0.0,0.0,25.2,25.2,25.2,0.0,0.0,25.2,25.2,25.2,0.0,0.0
2018-04-29,24.84,24.84,24.84,0.0,0.0,24.92,24.92,24.92,0.0,0.0,24.81,24.81,24.81,0.0,0.0,24.82,24.82,24.82,0.0,0.0
2018-05-06,24.97,24.97,24.97,0.0,0.0,25.18,25.18,25.18,0.0,0.0,24.97,24.97,24.97,0.0,0.0,25.06,25.06,25.06,0.0,0.0
2018-05-13,25.08,25.08,25.08,0.0,0.0,25.21,25.21,25.21,0.0,0.0,25.06,25.06,25.06,0.0,0.0,25.07,25.07,25.07,0.0,0.0
2018-05-20,25.37,25.37,25.37,0.0,0.0,25.43,25.43,25.43,0.0,0.0,25.28,25.28,25.28,0.0,0.0,25.28,25.28,25.28,0.0,0.0
2018-05-27,25.09,25.09,25.09,0.0,0.0,25.54,25.54,25.54,0.0,0.0,25.09,25.09,25.09,0.0,0.0,25.54,25.54,25.54,0.0,0.0
2018-06-03,25.65,25.65,25.65,0.0,0.0,25.65,25.65,25.65,0.0,0.0,25.5,25.5,25.5,0.0,0.0,25.5,25.5,25.5,0.0,0.0
2018-06-10,26.03,26.03,26.03,0.0,0.0,26.03,26.03,26.03,0.0,0.0,25.74,25.74,25.74,0.0,0.0,25.87,25.87,25.87,0.0,0.0
2018-06-17,26.12,26.12,26.12,0.0,0.0,26.12,26.12,26.12,0.0,0.0,25.68,25.68,25.68,0.0,0.0,25.68,25.68,25.68,0.0,0.0
2018-06-24,25.57,25.57,25.57,0.0,0.0,25.69,25.69,25.69,0.0,0.0,25.46,25.46,25.46,0.0,0.0,25.69,25.69,25.69,0.0,0.0
2018-07-01,26.3,26.3,26.3,0.0,0.0,26.34,26.34,26.34,0.0,0.0,26.26,26.26,26.26,0.0,0.0,26.32,26.32,26.32,0.0,0.0
2018-07-08,26.37,26.37,26.37,0.0,0.0,26.37,26.37,26.37,0.0,0.0,25.99,25.99,25.99,0.0,0.0,25.99,25.99,25.99,0.0,0.0
2018-07-15,26.39,26.39,26.39,0.0,0.0,26.39,26.39,26.39,0.0,0.0,26.21,26.21,26.21,0.0,0.0,26.32,26.32,26.32,0.0,0.0
