Date,FIBK_Open_average,FIBK_Open_max,FIBK_Open_min,FIBK_Open_volatility,FIBK_Open_change,FIBK_High_average,FIBK_High_max,FIBK_High_min,FIBK_High_volatility,FIBK_High_change,FIBK_Low_average,FIBK_Low_max,FIBK_Low_min,FIBK_Low_volatility,FIBK_Low_change,FIBK_Close_average,FIBK_Close_max,FIBK_Close_min,FIBK_Close_volatility,FIBK_Close_change,FIBK_Volume_average,FIBK_Volume_max,FIBK_Volume_min,FIBK_Volume_volatility,FIBK_Volume_change
2018-01-14,42.38,42.8,41.95,0.8499999999999943,-0.29999999999999716,42.682,42.9,42.46,0.4399999999999977,-0.04999999999999716,41.888,42.37,41.45,0.9199999999999946,0.519999999999996,42.36,42.8,42.0,0.7999999999999972,0.7999999999999972,112037,132253,92283,39970,-5963
2018-01-21,42.38,42.75,42.0,0.75,-0.6499999999999986,42.54,42.85,42.1,0.75,-0.3500000000000014,41.85,42.1,41.65,0.45000000000000284,-0.3500000000000014,42.11,42.55,41.8,0.75,-0.75,108328,128399,88150,40249,17290
2018-01-28,41.63,41.95,41.2,0.75,-0.3499999999999943,42.21,42.55,41.9,0.6499999999999986,-0.14999999999999858,41.01,41.35,39.9,1.4500000000000028,-1.3999999999999986,41.43,42.15,39.9,2.25,-1.6499999999999986,202819,241677,130015,111662,94001
2018-02-04,39.9,40.85,39.1,1.75,1.1000000000000014,40.57,40.9,40.2,0.6999999999999957,-0.19999999999999574,39.15,39.65,38.1,1.5499999999999972,1.3999999999999986,39.98,40.65,39.25,1.3999999999999986,-0.14999999999999858,241958,349013,173240,175773,-171063
2018-02-11,40.225,41.0,39.5,1.5,1.1000000000000014,40.975,41.45,40.3,1.1500000000000057,1.1500000000000057,40.125,40.6,39.5,1.1000000000000014,1.1000000000000014,40.6875,41.1,40.05,1.0500000000000043,1.0500000000000043,163665,213232,136829,76403,-55765
2018-02-18,40.78,41.3,40.35,0.9499999999999957,0.05000000000000426,41.160000000000004,41.45,40.65,0.8000000000000043,-0.44999999999999574,40.05,40.4,39.5,0.8999999999999986,-0.14999999999999858,40.49,41.05,40.15,0.8999999999999986,0.05000000000000426,240560,481896,156440,325456,24286
2018-02-25,39.88,40.3,39.4,0.8999999999999986,-0.3499999999999943,40.43,40.9,40.0,0.8999999999999986,-0.19999999999999574,39.42,39.85,39.1,0.75,-0.30000000000000426,39.93,40.45,39.5,0.9500000000000028,0.5500000000000043,184647,302365,126910,175455,-21758
2018-03-04,41.019999999999996,41.6,40.4,1.2000000000000028,0.9500000000000028,41.35,41.65,40.85,0.7999999999999972,0.75,40.51,40.9,40.1,0.7999999999999972,0.7999999999999972,41.11,41.55,40.7,0.8499999999999943,0.5999999999999943,143041,158416,124899,33517,13727
2018-03-11,41.33,41.55,41.05,0.5,-0.04999999999999716,41.49,41.9,41.15,0.75,-0.04999999999999716,40.846,41.2,40.5,0.7000000000000028,-0.5799999999999983,41.21,41.6,40.9,0.7000000000000028,0.10000000000000142,183770,278695,123382,155313,-8765
2018-03-18,40.300000000000004,41.25,38.95,2.299999999999997,-2.299999999999997,40.53,41.35,39.5,1.8500000000000014,-1.8500000000000014,39.59,40.75,38.4,2.3500000000000014,-1.8999999999999986,39.83,40.95,38.4,2.5500000000000043,-1.5500000000000043,131036,188278,88963,99315,11671
