Date,ProShares UltraPro Short Financial Select Sector_etf_Open_average,ProShares UltraPro Short Financial Select Sector_etf_Open_max,ProShares UltraPro Short Financial Select Sector_etf_Open_min,ProShares UltraPro Short Financial Select Sector_etf_Open_volatility,ProShares UltraPro Short Financial Select Sector_etf_Open_change,ProShares UltraPro Short Financial Select Sector_etf_High_average,ProShares UltraPro Short Financial Select Sector_etf_High_max,ProShares UltraPro Short Financial Select Sector_etf_High_min,ProShares UltraPro Short Financial Select Sector_etf_High_volatility,ProShares UltraPro Short Financial Select Sector_etf_High_change,ProShares UltraPro Short Financial Select Sector_etf_Low_average,ProShares UltraPro Short Financial Select Sector_etf_Low_max,ProShares UltraPro Short Financial Select Sector_etf_Low_min,ProShares UltraPro Short Financial Select Sector_etf_Low_volatility,ProShares UltraPro Short Financial Select Sector_etf_Low_change,ProShares UltraPro Short Financial Select Sector_etf_Close_average,ProShares UltraPro Short Financial Select Sector_etf_Close_max,ProShares UltraPro Short Financial Select Sector_etf_Close_min,ProShares UltraPro Short Financial Select Sector_etf_Close_volatility,ProShares UltraPro Short Financial Select Sector_etf_Close_change
2018-01-14,7.06,7.06,7.06,0.0,0.0,7.06,7.06,7.06,0.0,0.0,6.96,6.96,6.96,0.0,0.0,6.96,6.96,6.96,0.0,0.0
2018-01-21,6.65,6.65,6.65,0.0,0.0,6.7,6.7,6.7,0.0,0.0,6.64,6.64,6.64,0.0,0.0,6.7,6.7,6.7,0.0,0.0
2018-01-28,6.68,6.68,6.68,0.0,0.0,7.07,7.07,7.07,0.0,0.0,6.67,6.67,6.67,0.0,0.0,7.0,7.0,7.0,0.0,0.0
2018-02-04,8.45,8.45,8.45,0.0,0.0,9.05,9.05,9.05,0.0,0.0,8.12,8.12,8.12,0.0,0.0,8.12,8.12,8.12,0.0,0.0
2018-02-11,7.15,7.15,7.15,0.0,0.0,7.16,7.16,7.16,0.0,0.0,6.95,6.95,6.95,0.0,0.0,7.06,7.06,7.06,0.0,0.0
2018-02-18,7.2,7.2,7.2,0.0,0.0,7.26,7.26,7.26,0.0,0.0,7.05,7.05,7.05,0.0,0.0,7.05,7.05,7.05,0.0,0.0
2018-02-25,7.5,7.5,7.5,0.0,0.0,7.89,7.89,7.89,0.0,0.0,7.45,7.45,7.45,0.0,0.0,7.45,7.45,7.45,0.0,0.0
2018-03-04,6.76,6.76,6.76,0.0,0.0,6.76,6.76,6.76,0.0,0.0,6.51,6.51,6.51,0.0,0.0,6.55,6.55,6.55,0.0,0.0
2018-03-11,7.0,7.0,7.0,0.0,0.0,7.0,7.0,7.0,0.0,0.0,6.82,6.82,6.82,0.0,0.0,6.92,6.92,6.92,0.0,0.0
2018-03-18,8.08,8.08,8.08,0.0,0.0,8.7,8.7,8.7,0.0,0.0,7.79,7.79,7.79,0.0,0.0,8.7,8.7,8.7,0.0,0.0
2018-03-25,8.08,8.08,8.08,0.0,0.0,8.08,8.08,8.08,0.0,0.0,7.96,7.96,7.96,0.0,0.0,7.96,7.96,7.96,0.0,0.0
2018-04-01,7.98,7.98,7.98,0.0,0.0,8.24,8.24,8.24,0.0,0.0,7.94,7.94,7.94,0.0,0.0,8.24,8.24,8.24,0.0,0.0
2018-04-08,7.45,7.45,7.45,0.0,0.0,7.83,7.83,7.83,0.0,0.0,7.45,7.45,7.45,0.0,0.0,7.8,7.8,7.8,0.0,0.0
2018-04-15,7.5,7.5,7.5,0.0,0.0,7.5,7.5,7.5,0.0,0.0,7.48,7.48,7.48,0.0,0.0,7.49,7.49,7.49,0.0,0.0
2018-04-22,7.69,7.69,7.69,0.0,0.0,7.71,7.71,7.71,0.0,0.0,7.65,7.65,7.65,0.0,0.0,7.71,7.71,7.71,0.0,0.0
2018-04-29,8.3,8.3,8.3,0.0,0.0,8.3,8.3,8.3,0.0,0.0,8.3,8.3,8.3,0.0,0.0,8.3,8.3,8.3,0.0,0.0
2018-05-06,7.16,7.16,7.16,0.0,0.0,7.16,7.16,7.16,0.0,0.0,7.15,7.15,7.15,0.0,0.0,7.15,7.15,7.15,0.0,0.0
2018-05-13,7.36,7.36,7.36,0.0,0.0,7.41,7.41,7.41,0.0,0.0,7.36,7.36,7.36,0.0,0.0,7.39,7.39,7.39,0.0,0.0
2018-05-20,7.59,7.59,7.59,0.0,0.0,7.59,7.59,7.59,0.0,0.0,7.59,7.59,7.59,0.0,0.0,7.59,7.59,7.59,0.0,0.0
2018-05-27,7.71,7.71,7.71,0.0,0.0,7.71,7.71,7.71,0.0,0.0,7.71,7.71,7.71,0.0,0.0,7.71,7.71,7.71,0.0,0.0
2018-06-03,7.42,7.42,7.42,0.0,0.0,7.42,7.42,7.42,0.0,0.0,7.31,7.31,7.31,0.0,0.0,7.31,7.31,7.31,0.0,0.0
2018-06-10,7.65,7.65,7.65,0.0,0.0,7.65,7.65,7.65,0.0,0.0,7.6,7.6,7.6,0.0,0.0,7.6,7.6,7.6,0.0,0.0
2018-06-17,7.95,7.95,7.95,0.0,0.0,7.95,7.95,7.95,0.0,0.0,7.95,7.95,7.95,0.0,0.0,7.95,7.95,7.95,0.0,0.0
2018-06-24,8.15,8.15,8.15,0.0,0.0,8.45,8.45,8.45,0.0,0.0,8.1,8.1,8.1,0.0,0.0,8.45,8.45,8.45,0.0,0.0
2018-07-01,8.69,8.69,8.69,0.0,0.0,8.69,8.69,8.69,0.0,0.0,8.35,8.35,8.35,0.0,0.0,8.4,8.4,8.4,0.0,0.0
2018-07-08,8.19,8.19,8.19,0.0,0.0,8.22,8.22,8.22,0.0,0.0,8.08,8.08,8.08,0.0,0.0,8.09,8.09,8.09,0.0,0.0
2018-07-15,7.35,7.35,7.35,0.0,0.0,7.58,7.58,7.58,0.0,0.0,7.35,7.35,7.35,0.0,0.0,7.58,7.58,7.58,0.0,0.0
2018-07-22,7.15,7.15,7.15,0.0,0.0,7.18,7.18,7.18,0.0,0.0,7.15,7.15,7.15,0.0,0.0,7.18,7.18,7.18,0.0,0.0
2018-07-29,7.07,7.07,7.07,0.0,0.0,7.07,7.07,7.07,0.0,0.0,7.07,7.07,7.07,0.0,0.0,7.07,7.07,7.07,0.0,0.0
2018-08-05,7.23,7.23,7.23,0.0,0.0,7.3,7.3,7.3,0.0,0.0,7.23,7.23,7.23,0.0,0.0,7.3,7.3,7.3,0.0,0.0
2018-08-12,7.16,7.16,7.16,0.0,0.0,7.18,7.18,7.18,0.0,0.0,7.03,7.03,7.03,0.0,0.0,7.04,7.04,7.04,0.0,0.0
2018-08-19,6.99,6.99,6.99,0.0,0.0,6.99,6.99,6.99,0.0,0.0,6.98,6.98,6.98,0.0,0.0,6.98,6.98,6.98,0.0,0.0
2018-08-26,7.06,7.06,7.06,0.0,0.0,7.08,7.08,7.08,0.0,0.0,6.95,6.95,6.95,0.0,0.0,7.02,7.02,7.02,0.0,0.0
2018-09-02,6.96,6.96,6.96,0.0,0.0,7.01,7.01,7.01,0.0,0.0,6.96,6.96,6.96,0.0,0.0,6.96,6.96,6.96,0.0,0.0
2018-09-09,7.0,7.0,7.0,0.0,0.0,7.06,7.06,7.06,0.0,0.0,7.0,7.0,7.0,0.0,0.0,7.06,7.06,7.06,0.0,0.0
2018-09-16,6.48,6.48,6.48,0.0,0.0,6.56,6.56,6.56,0.0,0.0,6.48,6.48,6.48,0.0,0.0,6.53,6.53,6.53,0.0,0.0
2018-09-23,7.23,7.23,7.23,0.0,0.0,7.3,7.3,7.3,0.0,0.0,7.23,7.23,7.23,0.0,0.0,7.3,7.3,7.3,0.0,0.0
2018-09-30,6.9,6.9,6.9,0.0,0.0,7.06,7.06,7.06,0.0,0.0,6.9,6.9,6.9,0.0,0.0,7.06,7.06,7.06,0.0,0.0
2018-10-07,7.9,7.9,7.9,0.0,0.0,8.6,8.6,8.6,0.0,0.0,7.86,7.86,7.86,0.0,0.0,8.34,8.34,8.34,0.0,0.0
2018-10-14,8.3,8.3,8.3,0.0,0.0,8.3,8.3,8.3,0.0,0.0,7.96,7.96,7.96,0.0,0.0,8.02,8.02,8.02,0.0,0.0
2018-10-21,9.38,9.38,9.38,0.0,0.0,9.63,9.63,9.63,0.0,0.0,9.17,9.17,9.17,0.0,0.0,9.46,9.46,9.46,0.0,0.0
2018-10-28,8.81,8.81,8.81,0.0,0.0,8.81,8.81,8.81,0.0,0.0,7.97,7.97,7.97,0.0,0.0,8.32,8.32,8.32,0.0,0.0
2018-11-04,7.32,7.32,7.32,0.0,0.0,7.6,7.6,7.6,0.0,0.0,7.32,7.32,7.32,0.0,0.0,7.55,7.55,7.55,0.0,0.0
2018-11-11,8.04,8.04,8.04,0.0,0.0,8.04,8.04,8.04,0.0,0.0,7.82,7.82,7.82,0.0,0.0,7.82,7.82,7.82,0.0,0.0
2018-11-18,8.6,8.6,8.6,0.0,0.0,8.61,8.61,8.61,0.0,0.0,8.55,8.55,8.55,0.0,0.0,8.57,8.57,8.57,0.0,0.0
2018-11-25,7.64,7.64,7.64,0.0,0.0,7.64,7.64,7.64,0.0,0.0,7.64,7.64,7.64,0.0,0.0,7.64,7.64,7.64,0.0,0.0
2018-12-02,8.64,8.64,8.64,0.0,0.0,9.38,9.38,9.38,0.0,0.0,8.64,8.64,8.64,0.0,0.0,9.37,9.37,9.37,0.0,0.0
2018-12-09,11.0,11.0,11.0,0.0,0.0,11.0,11.0,11.0,0.0,0.0,9.95,9.95,9.95,0.0,0.0,10.42,10.42,10.42,0.0,0.0
