Date,VanEck Vectors ChinaAMC SME-ChiNextEtf_Open_average,VanEck Vectors ChinaAMC SME-ChiNextEtf_Open_max,VanEck Vectors ChinaAMC SME-ChiNextEtf_Open_min,VanEck Vectors ChinaAMC SME-ChiNextEtf_Open_volatility,VanEck Vectors ChinaAMC SME-ChiNextEtf_Open_change,VanEck Vectors ChinaAMC SME-ChiNextEtf_High_average,VanEck Vectors ChinaAMC SME-ChiNextEtf_High_max,VanEck Vectors ChinaAMC SME-ChiNextEtf_High_min,VanEck Vectors ChinaAMC SME-ChiNextEtf_High_volatility,VanEck Vectors ChinaAMC SME-ChiNextEtf_High_change,VanEck Vectors ChinaAMC SME-ChiNextEtf_Low_average,VanEck Vectors ChinaAMC SME-ChiNextEtf_Low_max,VanEck Vectors ChinaAMC SME-ChiNextEtf_Low_min,VanEck Vectors ChinaAMC SME-ChiNextEtf_Low_volatility,VanEck Vectors ChinaAMC SME-ChiNextEtf_Low_change,VanEck Vectors ChinaAMC SME-ChiNextEtf_Close_average,VanEck Vectors ChinaAMC SME-ChiNextEtf_Close_max,VanEck Vectors ChinaAMC SME-ChiNextEtf_Close_min,VanEck Vectors ChinaAMC SME-ChiNextEtf_Close_volatility,VanEck Vectors ChinaAMC SME-ChiNextEtf_Close_change
2018-01-14,35.31,35.31,35.31,0.0,0.0,35.43,35.43,35.43,0.0,0.0,35.31,35.31,35.31,0.0,0.0,35.43,35.43,35.43,0.0,0.0
2018-01-21,36.7,36.7,36.7,0.0,0.0,36.8,36.8,36.8,0.0,0.0,36.49,36.49,36.49,0.0,0.0,36.75,36.75,36.75,0.0,0.0
2018-01-28,34.43,34.43,34.43,0.0,0.0,34.54,34.54,34.54,0.0,0.0,34.2,34.2,34.2,0.0,0.0,34.21,34.21,34.21,0.0,0.0
2018-02-04,31.8,31.8,31.8,0.0,0.0,31.8,31.8,31.8,0.0,0.0,30.66,30.66,30.66,0.0,0.0,31.78,31.78,31.78,0.0,0.0
2018-02-11,34.36,34.36,34.36,0.0,0.0,34.49,34.49,34.49,0.0,0.0,34.08,34.08,34.08,0.0,0.0,34.17,34.17,34.17,0.0,0.0
2018-02-18,34.1,34.1,34.1,0.0,0.0,34.24,34.24,34.24,0.0,0.0,34.05,34.05,34.05,0.0,0.0,34.23,34.23,34.23,0.0,0.0
2018-02-25,34.6,34.6,34.6,0.0,0.0,34.98,34.98,34.98,0.0,0.0,34.32,34.32,34.32,0.0,0.0,34.98,34.98,34.98,0.0,0.0
2018-03-04,36.18,36.18,36.18,0.0,0.0,36.67,36.67,36.67,0.0,0.0,36.18,36.18,36.18,0.0,0.0,36.65,36.65,36.65,0.0,0.0
2018-03-11,35.8,35.8,35.8,0.0,0.0,35.87,35.87,35.87,0.0,0.0,35.78,35.78,35.78,0.0,0.0,35.87,35.87,35.87,0.0,0.0
2018-03-18,33.88,33.88,33.88,0.0,0.0,33.92,33.92,33.92,0.0,0.0,33.41,33.41,33.41,0.0,0.0,33.43,33.43,33.43,0.0,0.0
2018-03-25,35.28,35.28,35.28,0.0,0.0,35.71,35.71,35.71,0.0,0.0,35.28,35.28,35.28,0.0,0.0,35.65,35.65,35.65,0.0,0.0
2018-04-01,34.97,34.97,34.97,0.0,0.0,34.97,34.97,34.97,0.0,0.0,34.48,34.48,34.48,0.0,0.0,34.54,34.54,34.54,0.0,0.0
2018-04-08,35.09,35.09,35.09,0.0,0.0,35.09,35.09,35.09,0.0,0.0,34.62,34.62,34.62,0.0,0.0,34.74,34.74,34.74,0.0,0.0
2018-04-15,33.49,33.49,33.49,0.0,0.0,33.6,33.6,33.6,0.0,0.0,33.37,33.37,33.37,0.0,0.0,33.4,33.4,33.4,0.0,0.0
2018-04-22,33.0,33.0,33.0,0.0,0.0,33.35,33.35,33.35,0.0,0.0,32.99,32.99,32.99,0.0,0.0,33.35,33.35,33.35,0.0,0.0
2018-04-29,33.69,33.69,33.69,0.0,0.0,33.84,33.84,33.84,0.0,0.0,33.64,33.64,33.64,0.0,0.0,33.84,33.84,33.84,0.0,0.0
2018-05-06,34.72,34.72,34.72,0.0,0.0,34.74,34.74,34.74,0.0,0.0,34.61,34.61,34.61,0.0,0.0,34.65,34.65,34.65,0.0,0.0
2018-05-13,34.52,34.52,34.52,0.0,0.0,34.56,34.56,34.56,0.0,0.0,34.5,34.5,34.5,0.0,0.0,34.54,34.54,34.54,0.0,0.0
2018-05-20,33.79,33.79,33.79,0.0,0.0,33.9,33.9,33.9,0.0,0.0,33.79,33.79,33.79,0.0,0.0,33.9,33.9,33.9,0.0,0.0
2018-05-27,32.85,32.85,32.85,0.0,0.0,33.15,33.15,33.15,0.0,0.0,32.85,32.85,32.85,0.0,0.0,33.05,33.05,33.05,0.0,0.0
2018-06-03,32.91,32.91,32.91,0.0,0.0,33.1,33.1,33.1,0.0,0.0,32.91,32.91,32.91,0.0,0.0,33.02,33.02,33.02,0.0,0.0
2018-06-10,31.93,31.93,31.93,0.0,0.0,31.93,31.93,31.93,0.0,0.0,31.52,31.52,31.52,0.0,0.0,31.62,31.62,31.62,0.0,0.0
2018-06-17,29.72,29.72,29.72,0.0,0.0,29.8,29.8,29.8,0.0,0.0,29.72,29.72,29.72,0.0,0.0,29.73,29.73,29.73,0.0,0.0
2018-06-24,29.21,29.21,29.21,0.0,0.0,29.44,29.44,29.44,0.0,0.0,29.21,29.21,29.21,0.0,0.0,29.35,29.35,29.35,0.0,0.0
2018-07-01,27.89,27.89,27.89,0.0,0.0,28.15,28.15,28.15,0.0,0.0,27.89,27.89,27.89,0.0,0.0,28.11,28.11,28.11,0.0,0.0
2018-07-08,29.29,29.29,29.29,0.0,0.0,29.59,29.59,29.59,0.0,0.0,29.29,29.29,29.29,0.0,0.0,29.47,29.47,29.47,0.0,0.0
2018-07-15,29.0,29.0,29.0,0.0,0.0,29.01,29.01,29.01,0.0,0.0,29.0,29.0,29.0,0.0,0.0,29.01,29.01,29.01,0.0,0.0
2018-07-22,28.81,28.81,28.81,0.0,0.0,28.81,28.81,28.81,0.0,0.0,28.81,28.81,28.81,0.0,0.0,28.81,28.81,28.81,0.0,0.0
2018-07-29,26.51,26.51,26.51,0.0,0.0,26.51,26.51,26.51,0.0,0.0,26.36,26.36,26.36,0.0,0.0,26.4,26.4,26.4,0.0,0.0
2018-08-05,26.83,26.83,26.83,0.0,0.0,26.85,26.85,26.85,0.0,0.0,26.54,26.54,26.54,0.0,0.0,26.64,26.64,26.64,0.0,0.0
2018-08-12,25.29,25.29,25.29,0.0,0.0,25.86,25.86,25.86,0.0,0.0,25.29,25.29,25.29,0.0,0.0,25.85,25.85,25.85,0.0,0.0
2018-08-19,25.86,25.86,25.86,0.0,0.0,26.06,26.06,26.06,0.0,0.0,25.86,25.86,25.86,0.0,0.0,26.06,26.06,26.06,0.0,0.0
2018-08-26,25.52,25.52,25.52,0.0,0.0,25.58,25.58,25.58,0.0,0.0,25.46,25.46,25.46,0.0,0.0,25.54,25.54,25.54,0.0,0.0
2018-09-02,25.0,25.0,25.0,0.0,0.0,25.11,25.11,25.11,0.0,0.0,24.87,24.87,24.87,0.0,0.0,24.92,24.92,24.92,0.0,0.0
2018-09-09,24.18,24.18,24.18,0.0,0.0,24.28,24.28,24.28,0.0,0.0,24.0,24.0,24.0,0.0,0.0,24.07,24.07,24.07,0.0,0.0
2018-09-16,25.38,25.38,25.38,0.0,0.0,25.38,25.38,25.38,0.0,0.0,25.29,25.29,25.29,0.0,0.0,25.35,25.35,25.35,0.0,0.0
2018-09-23,25.23,25.23,25.23,0.0,0.0,25.33,25.33,25.33,0.0,0.0,25.23,25.23,25.23,0.0,0.0,25.23,25.23,25.23,0.0,0.0
2018-09-30,24.2,24.2,24.2,0.0,0.0,24.35,24.35,24.35,0.0,0.0,24.07,24.07,24.07,0.0,0.0,24.31,24.31,24.31,0.0,0.0
2018-10-07,22.37,22.37,22.37,0.0,0.0,22.41,22.41,22.41,0.0,0.0,22.25,22.25,22.25,0.0,0.0,22.41,22.41,22.41,0.0,0.0
2018-10-14,21.93,21.93,21.93,0.0,0.0,21.93,21.93,21.93,0.0,0.0,21.63,21.63,21.63,0.0,0.0,21.75,21.75,21.75,0.0,0.0
2018-10-21,21.86,21.86,21.86,0.0,0.0,22.08,22.08,22.08,0.0,0.0,21.83,21.83,21.83,0.0,0.0,21.94,21.94,21.94,0.0,0.0
2018-10-28,23.41,23.41,23.41,0.0,0.0,23.68,23.68,23.68,0.0,0.0,23.09,23.09,23.09,0.0,0.0,23.23,23.23,23.23,0.0,0.0
2018-11-04,22.14,22.14,22.14,0.0,0.0,22.18,22.18,22.18,0.0,0.0,22.01,22.01,22.01,0.0,0.0,22.13,22.13,22.13,0.0,0.0
2018-11-11,23.65,23.65,23.65,0.0,0.0,23.95,23.95,23.95,0.0,0.0,23.65,23.65,23.65,0.0,0.0,23.95,23.95,23.95,0.0,0.0
2018-11-18,22.28,22.28,22.28,0.0,0.0,22.36,22.36,22.36,0.0,0.0,22.28,22.28,22.28,0.0,0.0,22.35,22.35,22.35,0.0,0.0
2018-11-25,22.45,22.45,22.45,0.0,0.0,22.67,22.67,22.67,0.0,0.0,22.45,22.45,22.45,0.0,0.0,22.67,22.67,22.67,0.0,0.0
