Date,KMB_stock_Open_average,KMB_stock_Open_max,KMB_stock_Open_min,KMB_stock_Open_volatility,KMB_stock_Open_change,KMB_stock_High_average,KMB_stock_High_max,KMB_stock_High_min,KMB_stock_High_volatility,KMB_stock_High_change,KMB_stock_Low_average,KMB_stock_Low_max,KMB_stock_Low_min,KMB_stock_Low_volatility,KMB_stock_Low_change,KMB_stock_Close_average,KMB_stock_Close_max,KMB_stock_Close_min,KMB_stock_Close_volatility,KMB_stock_Close_change,KMB_stock_Volume_average,KMB_stock_Volume_max,KMB_stock_Volume_min,KMB_stock_Volume_volatility,KMB_stock_Volume_change
2018-01-14,115.095,116.36,113.66,2.700000000000003,2.0799999999999983,116.2025,117.13,114.64,2.489999999999995,1.6299999999999955,114.38499999999999,114.96,113.21,1.75,1.75,115.4375,116.66,114.26,2.3999999999999915,1.2299999999999898,2770454,3243764,2567726,676038,-653347
2018-01-21,118.418,122.6,115.2,7.3999999999999915,7.3999999999999915,120.286,123.5,117.07,6.430000000000007,5.530000000000001,117.426,120.35,115.07,5.280000000000001,5.280000000000001,120.026,123.44,116.91,6.530000000000001,5.320000000000007,3670969,5303490,2452092,2851398,812900
2018-01-28,118.948,121.86,116.85,5.010000000000005,-4.560000000000002,119.52,122.74,117.5,5.239999999999995,-5.239999999999995,117.292,119.66,115.82,3.8400000000000034,-3.8400000000000034,117.864,119.71,116.21,3.5,-3.5,2788094,3682974,2205098,1477876,-423284
2018-02-04,113.074,116.03,110.51,5.519999999999996,-3.680000000000007,114.502,117.02,112.35,4.670000000000002,-4.670000000000002,110.96000000000001,112.25,109.51,2.739999999999995,-2.1099999999999994,112.30199999999999,114.14,111.44,2.700000000000003,-0.4399999999999977,3419540,4998609,2418910,2579699,-65626
2018-02-11,113.328,115.85,112.23,3.6199999999999903,3.589999999999989,115.102,117.24,113.55,3.6899999999999977,2.3499999999999943,112.914,115.61,111.98,3.6299999999999955,3.6099999999999994,114.196,116.1,112.66,3.4399999999999977,2.4299999999999926,2076962,2695238,1678621,1016617,-681565
2018-02-18,113.89,115.51,112.39,3.1200000000000045,-2.280000000000001,114.5,115.51,113.65,1.8599999999999994,-1.8599999999999994,112.4975,113.45,111.88,1.5700000000000074,-0.9099999999999966,113.2125,114.45,111.94,2.510000000000005,-0.7999999999999972,1630393,2168386,1217088,951298,-555180
2018-02-25,112.718,114.24,111.0,3.239999999999995,-2.690000000000012,113.604,114.63,112.65,1.9799999999999898,-1.8999999999999915,111.644,113.21,110.59,2.6199999999999903,-2.0,112.354,114.46,110.92,3.539999999999992,-1.9099999999999966,1844281,2309586,1248967,1060619,622681
2018-03-04,112.212,113.13,110.99,2.1400000000000006,0.2600000000000051,113.012,113.64,112.06,1.5799999999999983,-0.480000000000004,111.292,112.02,110.76,1.259999999999991,-0.7000000000000028,112.396,113.18,111.76,1.4200000000000017,-1.240000000000009,1703452,2015209,1263704,751505,-149802
2018-03-11,112.2,113.4,111.2,2.200000000000003,-0.4200000000000017,113.108,114.07,111.78,2.289999999999992,-1.4199999999999875,111.292,112.7,110.46,2.240000000000009,-0.75,112.012,113.06,110.94,2.1200000000000045,-1.0400000000000063,2556078,3850118,1572005,2278113,697128
2018-03-18,109.85,112.08,107.83,4.25,-4.25,110.376,112.75,107.94,4.810000000000002,-4.810000000000002,108.02,110.68,104.58,6.1000000000000085,-6.1000000000000085,108.366,111.09,104.74,6.3500000000000085,-6.3500000000000085,2233097,3038820,1433951,1604869,1527471
2018-03-25,107.4075,110.34,105.51,4.829999999999998,4.460000000000008,109.45,112.5,106.53,5.969999999999999,5.969999999999999,107.025,109.82,105.19,4.6299999999999955,4.6299999999999955,108.1625,110.13,105.56,4.569999999999993,4.569999999999993,2695000,3391225,2219563,1171662,1171662
2018-04-01,108.592,109.75,107.27,2.480000000000004,-0.6200000000000045,109.862,111.13,108.22,2.9099999999999966,1.009999999999991,107.134,108.08,106.5,1.5799999999999983,1.0100000000000051,108.454,109.41,107.09,2.319999999999993,1.509999999999991,2221601,2476665,1832575,644090,-166009
2018-04-08,107.952,108.78,106.37,2.4099999999999966,-2.4099999999999966,108.582,109.66,106.67,2.989999999999995,-2.989999999999995,106.99,108.17,105.62,2.549999999999997,-2.009999999999991,107.324,108.47,105.84,2.6299999999999955,-2.519999999999996,1695480,1989196,1389253,599943,1349
2018-04-15,105.582,107.07,102.76,4.309999999999988,-3.5799999999999983,106.064,107.58,102.98,4.599999999999994,-4.589999999999989,103.834,106.48,98.92,7.560000000000002,-7.189999999999998,104.662,106.81,100.03,6.780000000000001,-6.780000000000001,3335061,5161764,2247989,2913775,2913775
2018-04-22,100.55,102.4,97.68,4.719999999999999,2.1300000000000097,102.938,104.88,101.5,3.3799999999999955,3.219999999999999,99.822,102.35,97.1,5.25,4.819999999999993,101.684,104.51,98.52,5.990000000000009,5.990000000000009,4553613,7658121,2214630,5443491,-5443491
2018-04-29,102.834,104.72,101.24,3.480000000000004,-2.260000000000005,103.83,105.0,103.06,1.9399999999999977,-0.8100000000000023,101.81400000000001,103.04,100.76,2.280000000000001,-0.8000000000000114,102.78,103.73,101.07,2.660000000000011,0.18999999999999773,2205203,2979337,1521053,1458284,-1458284
2018-05-06,103.424,104.16,102.54,1.6199999999999903,0.09000000000000341,104.16799999999999,105.27,103.43,1.8399999999999892,1.0300000000000011,102.54599999999999,103.74,101.62,2.1199999999999903,1.25,103.36,104.9,101.85,3.0500000000000114,1.740000000000009,1738136,2677326,1232557,1444769,1239571
2018-05-13,104.602,105.0,104.06,0.9399999999999977,-0.10000000000000853,105.026,105.56,104.54,1.019999999999996,-0.21999999999999886,103.59,104.22,102.62,1.5999999999999943,-1.0499999999999972,104.446,104.89,103.67,1.2199999999999989,-1.1299999999999955,1917202,2499526,1455747,1043779,1043779
2018-05-20,104.49799999999999,104.77,104.13,0.6400000000000006,0.1700000000000017,105.284,105.93,104.77,1.1600000000000108,1.1600000000000108,103.884,104.11,103.48,0.6299999999999955,0.5799999999999983,104.774,105.46,104.36,1.0999999999999943,0.7399999999999949,1801698,2081782,1562584,519198,-323475
2018-05-27,104.1275,105.03,101.52,3.510000000000005,-3.4399999999999977,104.77000000000001,106.18,101.95,4.230000000000004,-4.230000000000004,102.215,104.47,100.32,4.150000000000006,-4.030000000000001,102.9925,105.42,100.85,4.570000000000007,-3.9599999999999937,3240177,6930203,1853328,5076875,-158419
2018-06-03,101.084,101.8,99.83,1.9699999999999989,0.7000000000000028,102.14,103.41,101.13,2.280000000000001,1.6799999999999926,100.492,101.68,99.63,2.0500000000000114,0.6800000000000068,101.6,103.27,100.75,2.519999999999996,1.9200000000000017,1961419,3113802,1423760,1690042,375397
2018-06-10,103.126,103.86,102.09,1.769999999999996,-1.0799999999999983,103.73,104.08,102.98,1.0999999999999943,-0.4299999999999926,102.286,103.05,101.59,1.4599999999999937,-1.3100000000000023,103.108,103.64,102.04,1.5999999999999943,-0.20000000000000284,2395871,3448761,1942282,1506479,1225071
2018-06-17,101.228,102.85,100.1,2.75,-2.75,102.39,103.18,101.59,1.5900000000000034,-1.1700000000000017,100.2,101.05,99.36,1.6899999999999977,-0.20000000000000284,101.168,102.34,100.14,2.200000000000003,0.23000000000000398,2288113,2918272,1787233,1131039,64676
2018-06-24,103.11,104.47,100.74,3.730000000000004,3.730000000000004,104.724,106.12,104.12,2.0,2.0,102.294,103.92,100.74,3.180000000000007,3.180000000000007,104.094,105.34,103.32,2.0200000000000102,1.460000000000008,2212681,2535308,2044509,490799,-490799
2018-07-01,105.6325,106.88,104.75,2.1299999999999955,2.1299999999999955,106.4,107.59,105.38,2.210000000000008,2.210000000000008,104.9775,106.4,104.19,2.210000000000008,2.210000000000008,105.7975,106.85,104.6,2.25,1.8799999999999955,1876664,2661262,1201211,1460051,337692
