Date,First Trust Morningstar Managed Futures Strategy_etf_Open_average,First Trust Morningstar Managed Futures Strategy_etf_Open_max,First Trust Morningstar Managed Futures Strategy_etf_Open_min,First Trust Morningstar Managed Futures Strategy_etf_Open_volatility,First Trust Morningstar Managed Futures Strategy_etf_Open_change,First Trust Morningstar Managed Futures Strategy_etf_High_average,First Trust Morningstar Managed Futures Strategy_etf_High_max,First Trust Morningstar Managed Futures Strategy_etf_High_min,First Trust Morningstar Managed Futures Strategy_etf_High_volatility,First Trust Morningstar Managed Futures Strategy_etf_High_change,First Trust Morningstar Managed Futures Strategy_etf_Low_average,First Trust Morningstar Managed Futures Strategy_etf_Low_max,First Trust Morningstar Managed Futures Strategy_etf_Low_min,First Trust Morningstar Managed Futures Strategy_etf_Low_volatility,First Trust Morningstar Managed Futures Strategy_etf_Low_change,First Trust Morningstar Managed Futures Strategy_etf_Close_average,First Trust Morningstar Managed Futures Strategy_etf_Close_max,First Trust Morningstar Managed Futures Strategy_etf_Close_min,First Trust Morningstar Managed Futures Strategy_etf_Close_volatility,First Trust Morningstar Managed Futures Strategy_etf_Close_change
2018-01-14,48.64,48.64,48.64,0.0,0.0,48.65,48.65,48.65,0.0,0.0,48.64,48.64,48.64,0.0,0.0,48.65,48.65,48.65,0.0,0.0
2018-01-21,49.24,49.24,49.24,0.0,0.0,49.25,49.25,49.25,0.0,0.0,49.21,49.21,49.21,0.0,0.0,49.25,49.25,49.25,0.0,0.0
2018-01-28,48.46,48.46,48.46,0.0,0.0,48.46,48.46,48.46,0.0,0.0,48.35,48.35,48.35,0.0,0.0,48.35,48.35,48.35,0.0,0.0
2018-02-04,46.24,46.24,46.24,0.0,0.0,46.24,46.24,46.24,0.0,0.0,46.24,46.24,46.24,0.0,0.0,46.24,46.24,46.24,0.0,0.0
2018-02-11,46.93,46.93,46.93,0.0,0.0,47.16,47.16,47.16,0.0,0.0,46.93,46.93,46.93,0.0,0.0,47.16,47.16,47.16,0.0,0.0
2018-02-18,47.55,47.55,47.55,0.0,0.0,47.57,47.57,47.57,0.0,0.0,47.51,47.51,47.51,0.0,0.0,47.55,47.55,47.55,0.0,0.0
2018-02-25,46.82,46.82,46.82,0.0,0.0,46.82,46.82,46.82,0.0,0.0,46.82,46.82,46.82,0.0,0.0,46.82,46.82,46.82,0.0,0.0
2018-03-04,47.18,47.18,47.18,0.0,0.0,47.18,47.18,47.18,0.0,0.0,47.11,47.11,47.11,0.0,0.0,47.17,47.17,47.17,0.0,0.0
2018-03-11,47.09,47.09,47.09,0.0,0.0,47.26,47.26,47.26,0.0,0.0,47.09,47.09,47.09,0.0,0.0,47.23,47.23,47.23,0.0,0.0
2018-03-18,47.48,47.48,47.48,0.0,0.0,47.52,47.52,47.52,0.0,0.0,47.46,47.46,47.46,0.0,0.0,47.47,47.47,47.47,0.0,0.0
2018-03-25,47.28,47.28,47.28,0.0,0.0,47.55,47.55,47.55,0.0,0.0,47.23,47.23,47.23,0.0,0.0,47.53,47.53,47.53,0.0,0.0
2018-04-01,47.08,47.08,47.08,0.0,0.0,47.08,47.08,47.08,0.0,0.0,46.95,46.95,46.95,0.0,0.0,46.95,46.95,46.95,0.0,0.0
2018-04-08,48.12,48.12,48.12,0.0,0.0,48.12,48.12,48.12,0.0,0.0,48.12,48.12,48.12,0.0,0.0,48.12,48.12,48.12,0.0,0.0
