Date,ishares S&P 500_Open_average,ishares S&P 500_Open_max,ishares S&P 500_Open_min,ishares S&P 500_Open_volatility,ishares S&P 500_Open_change,ishares S&P 500_High_average,ishares S&P 500_High_max,ishares S&P 500_High_min,ishares S&P 500_High_volatility,ishares S&P 500_High_change,ishares S&P 500_Low_average,ishares S&P 500_Low_max,ishares S&P 500_Low_min,ishares S&P 500_Low_volatility,ishares S&P 500_Low_change,ishares S&P 500_Close_average,ishares S&P 500_Close_max,ishares S&P 500_Close_min,ishares S&P 500_Close_volatility,ishares S&P 500_Close_change
2018-01-14,281.82,281.82,281.82,0.0,0.0,284.37,284.37,284.37,0.0,0.0,281.8,281.8,281.8,0.0,0.0,284.34,284.34,284.34,0.0,0.0
2018-01-21,287.72,287.72,287.72,0.0,0.0,288.15,288.15,288.15,0.0,0.0,286.23,286.23,286.23,0.0,0.0,286.36,286.36,286.36,0.0,0.0
2018-01-28,275.07,275.07,275.07,0.0,0.0,277.48,277.48,277.48,0.0,0.0,264.81,264.81,264.81,0.0,0.0,265.69,265.69,265.69,0.0,0.0
2018-02-04,265.31,265.31,265.31,0.0,0.0,268.56,268.56,268.56,0.0,0.0,263.46,263.46,263.46,0.0,0.0,266.81,266.81,266.81,0.0,0.0
2018-02-11,273.98,273.98,273.98,0.0,0.0,276.98,276.98,276.98,0.0,0.0,273.85,273.85,273.85,0.0,0.0,274.71,274.71,274.71,0.0,0.0
2018-02-18,277.58,277.58,277.58,0.0,0.0,279.68,279.68,279.68,0.0,0.0,276.95,276.95,276.95,0.0,0.0,279.58,279.58,279.58,0.0,0.0
2018-02-25,269.34,269.34,269.34,0.0,0.0,274.53,274.53,274.53,0.0,0.0,269.22,269.22,269.22,0.0,0.0,273.82,273.82,273.82,0.0,0.0
2018-03-04,280.93,280.93,280.93,0.0,0.0,281.61,281.61,281.61,0.0,0.0,279.78,279.78,279.78,0.0,0.0,280.21,280.21,280.21,0.0,0.0
2018-03-11,276.11,276.11,276.11,0.0,0.0,276.12,276.12,276.12,0.0,0.0,271.35,271.35,271.35,0.0,0.0,273.21,273.21,273.21,0.0,0.0
2018-03-18,263.71,263.71,263.71,0.0,0.0,266.87,266.87,266.87,0.0,0.0,260.83,260.83,260.83,0.0,0.0,266.63,266.63,266.63,0.0,0.0
2018-03-25,264.01,264.01,264.01,0.0,0.0,264.57,264.57,264.57,0.0,0.0,256.08,256.08,256.08,0.0,0.0,258.86,258.86,258.86,0.0,0.0
2018-04-01,262.87,262.87,262.87,0.0,0.0,266.27,266.27,266.27,0.0,0.0,261.95,261.95,261.95,0.0,0.0,262.34,262.34,262.34,0.0,0.0
2018-04-08,268.43,268.43,268.43,0.0,0.0,269.66,269.66,269.66,0.0,0.0,267.53,267.53,267.53,0.0,0.0,268.82,268.82,268.82,0.0,0.0
2018-04-15,268.79,268.79,268.79,0.0,0.0,269.35,269.35,269.35,0.0,0.0,266.82,266.82,266.82,0.0,0.0,268.07,268.07,268.07,0.0,0.0
2018-04-22,268.7,268.7,268.7,0.0,0.0,269.33,269.33,269.33,0.0,0.0,265.84,265.84,265.84,0.0,0.0,265.95,265.95,265.95,0.0,0.0
2018-04-29,268.38,268.38,268.38,0.0,0.0,269.47,269.47,269.47,0.0,0.0,267.58,267.58,267.58,0.0,0.0,268.42,268.42,268.42,0.0,0.0
2018-05-06,274.84,274.84,274.84,0.0,0.0,275.56,275.56,275.56,0.0,0.0,273.9,273.9,273.9,0.0,0.0,274.44,274.44,274.44,0.0,0.0
2018-05-13,274.48,274.48,274.48,0.0,0.0,275.49,275.49,275.49,0.0,0.0,274.09,274.09,274.09,0.0,0.0,274.83,274.83,274.83,0.0,0.0
2018-05-20,273.67,273.67,273.67,0.0,0.0,274.38,274.38,274.38,0.0,0.0,273.09,273.09,273.09,0.0,0.0,273.6,273.6,273.6,0.0,0.0
2018-05-27,276.02,276.02,276.02,0.0,0.0,276.72,276.72,276.72,0.0,0.0,275.81,275.81,275.81,0.0,0.0,276.43,276.43,276.43,0.0,0.0
2018-06-03,279.96,279.96,279.96,0.0,0.0,280.94,280.94,280.94,0.0,0.0,279.87,279.87,279.87,0.0,0.0,280.13,280.13,280.13,0.0,0.0
2018-06-10,278.3,278.3,278.3,0.0,0.0,279.53,279.53,279.53,0.0,0.0,277.76,277.76,277.76,0.0,0.0,279.32,279.32,279.32,0.0,0.0
2018-06-17,276.22,276.22,276.22,0.0,0.0,276.38,276.38,276.38,0.0,0.0,271.86,271.86,271.86,0.0,0.0,273.72,273.72,273.72,0.0,0.0
2018-06-24,270.99,270.99,270.99,0.0,0.0,273.56,273.56,273.56,0.0,0.0,270.73,270.73,270.73,0.0,0.0,273.45,273.45,273.45,0.0,0.0
2018-07-01,278.07,278.07,278.07,0.0,0.0,279.48,279.48,279.48,0.0,0.0,278.04,278.04,278.04,0.0,0.0,279.43,279.43,279.43,0.0,0.0
2018-07-08,281.21,281.21,281.21,0.0,0.0,281.35,281.35,281.35,0.0,0.0,280.42,280.42,280.42,0.0,0.0,280.94,280.94,280.94,0.0,0.0
2018-07-15,281.01,281.01,281.01,0.0,0.0,282.01,282.01,282.01,0.0,0.0,280.6,280.6,280.6,0.0,0.0,281.75,281.75,281.75,0.0,0.0
2018-07-22,283.08,283.08,283.08,0.0,0.0,283.26,283.26,283.26,0.0,0.0,280.92,280.92,280.92,0.0,0.0,281.38,281.38,281.38,0.0,0.0
2018-07-29,285.16,285.16,285.16,0.0,0.0,286.6,286.6,286.6,0.0,0.0,284.81,284.81,284.81,0.0,0.0,286.26,286.26,286.26,0.0,0.0
