Date,SPDR S&P Retail_Open_average,SPDR S&P Retail_Open_max,SPDR S&P Retail_Open_volatility,SPDR S&P Retail_Open_change,SPDR S&P Retail_High_average,SPDR S&P Retail_High_max,SPDR S&P Retail_High_volatility,SPDR S&P Retail_High_change,SPDR S&P Retail_Low_average,SPDR S&P Retail_Low_max,SPDR S&P Retail_Low_volatility,SPDR S&P Retail_Low_change,SPDR S&P Retail_Close_average,SPDR S&P Retail_Close_max,SPDR S&P Retail_Close_volatility,SPDR S&P Retail_Close_change
2016-01-03,41.14,41.14,0.0,0.0,41.43,41.43,0.0,0.0,40.67,40.67,0.0,0.0,41.11,41.11,0.0,0.0
2016-01-10,39.3,39.3,0.0,0.0,39.68,39.68,0.0,0.0,38.65,38.65,0.0,0.0,39.41,39.41,0.0,0.0
2016-01-17,40.27,40.27,0.0,0.0,40.44,40.44,0.0,0.0,39.55,39.55,0.0,0.0,39.58,39.58,0.0,0.0
2016-01-24,41.02,41.02,0.0,0.0,41.43,41.43,0.0,0.0,40.44,40.44,0.0,0.0,41.25,41.25,0.0,0.0
2016-01-31,38.77,38.77,0.0,0.0,38.88,38.88,0.0,0.0,38.1,38.1,0.0,0.0,38.65,38.65,0.0,0.0
2016-02-07,38.74,38.74,0.0,0.0,39.34,39.34,0.0,0.0,38.52,38.52,0.0,0.0,39.32,39.32,0.0,0.0
2016-02-14,41.65,41.65,0.0,0.0,42.2,42.2,0.0,0.0,41.62,41.62,0.0,0.0,42.06,42.06,0.0,0.0
2016-02-21,43.35,43.35,0.0,0.0,43.78,43.78,0.0,0.0,43.21,43.21,0.0,0.0,43.32,43.32,0.0,0.0
2016-02-28,44.58,44.58,0.0,0.0,45.38,45.38,0.0,0.0,44.58,44.58,0.0,0.0,45.05,45.05,0.0,0.0
2016-03-06,45.51,45.51,0.0,0.0,45.71,45.71,0.0,0.0,45.34,45.34,0.0,0.0,45.57,45.57,0.0,0.0
2016-03-13,45.74,45.74,0.0,0.0,46.15,46.15,0.0,0.0,45.62,45.62,0.0,0.0,45.74,45.74,0.0,0.0
2016-03-20,45.32,45.32,0.0,0.0,45.82,45.82,0.0,0.0,45.21,45.21,0.0,0.0,45.53,45.53,0.0,0.0
2016-03-27,46.13,46.13,0.0,0.0,46.17,46.17,0.0,0.0,45.48,45.48,0.0,0.0,45.52,45.52,0.0,0.0
2016-04-03,43.94,43.94,0.0,0.0,44.23,44.23,0.0,0.0,43.49,43.49,0.0,0.0,43.49,43.49,0.0,0.0
2016-04-10,45.21,45.21,0.0,0.0,45.57,45.57,0.0,0.0,45.09,45.09,0.0,0.0,45.54,45.54,0.0,0.0
2016-04-17,45.1,45.1,0.0,0.0,45.21,45.21,0.0,0.0,44.72,44.72,0.0,0.0,44.83,44.83,0.0,0.0
2016-04-24,44.56,44.56,0.0,0.0,44.66,44.66,0.0,0.0,44.02,44.02,0.0,0.0,44.6,44.6,0.0,0.0
2016-05-01,43.18,43.18,0.0,0.0,43.98,43.98,0.0,0.0,43.05,43.05,0.0,0.0,43.73,43.73,0.0,0.0
2016-05-08,41.08,41.08,0.0,0.0,41.48,41.48,0.0,0.0,41.02,41.02,0.0,0.0,41.38,41.38,0.0,0.0
2016-05-15,41.22,41.22,0.0,0.0,41.56,41.56,0.0,0.0,40.87,40.87,0.0,0.0,40.87,40.87,0.0,0.0
2016-05-22,41.98,41.98,0.0,0.0,42.37,42.37,0.0,0.0,41.94,41.94,0.0,0.0,42.3,42.3,0.0,0.0
2016-05-29,42.67,42.67,0.0,0.0,42.77,42.77,0.0,0.0,42.41,42.41,0.0,0.0,42.65,42.65,0.0,0.0
2016-06-05,41.62,41.62,0.0,0.0,41.82,41.82,0.0,0.0,41.2,41.2,0.0,0.0,41.2,41.2,0.0,0.0
2016-06-12,41.95,41.95,0.0,0.0,42.38,42.38,0.0,0.0,41.87,41.87,0.0,0.0,41.96,41.96,0.0,0.0
2016-06-19,40.87,40.87,0.0,0.0,41.01,41.01,0.0,0.0,39.5,39.5,0.0,0.0,40.14,40.14,0.0,0.0
2016-06-26,41.91,41.91,0.0,0.0,42.59,42.59,0.0,0.0,41.87,41.87,0.0,0.0,42.34,42.34,0.0,0.0
2016-07-03,43.55,43.55,0.0,0.0,43.91,43.91,0.0,0.0,43.45,43.45,0.0,0.0,43.87,43.87,0.0,0.0
2016-07-10,43.79,43.79,0.0,0.0,44.47,44.47,0.0,0.0,43.79,43.79,0.0,0.0,44.44,44.44,0.0,0.0
2016-07-17,44.55,44.55,0.0,0.0,44.95,44.95,0.0,0.0,44.41,44.41,0.0,0.0,44.94,44.94,0.0,0.0
2016-07-24,45.03,45.03,0.0,0.0,45.18,45.18,0.0,0.0,44.68,44.68,0.0,0.0,44.93,44.93,0.0,0.0
2016-07-31,44.83,44.83,0.0,0.0,45.14,45.14,0.0,0.0,44.67,44.67,0.0,0.0,44.79,44.79,0.0,0.0
2016-08-07,45.57,45.57,0.0,0.0,46.0,46.0,0.0,0.0,45.57,45.57,0.0,0.0,45.96,45.96,0.0,0.0
2016-08-14,45.86,45.86,0.0,0.0,45.99,45.99,0.0,0.0,45.49,45.49,0.0,0.0,45.7,45.7,0.0,0.0
2016-08-21,45.06,45.06,0.0,0.0,45.31,45.31,0.0,0.0,44.97,44.97,0.0,0.0,45.23,45.23,0.0,0.0
2016-08-28,44.47,44.47,0.0,0.0,44.69,44.69,0.0,0.0,44.14,44.14,0.0,0.0,44.51,44.51,0.0,0.0
2016-09-04,43.13,43.13,0.0,0.0,44.17,44.17,0.0,0.0,43.07,43.07,0.0,0.0,44.14,44.14,0.0,0.0
2016-09-11,43.98,43.98,0.0,0.0,44.07,44.07,0.0,0.0,43.54,43.54,0.0,0.0,43.68,43.68,0.0,0.0
