Date,ProShares Ultra MSCI Brazil Capped_Open_average,ProShares Ultra MSCI Brazil Capped_Open_max,ProShares Ultra MSCI Brazil Capped_Open_min,ProShares Ultra MSCI Brazil Capped_Open_volatility,ProShares Ultra MSCI Brazil Capped_Open_change,ProShares Ultra MSCI Brazil Capped_High_average,ProShares Ultra MSCI Brazil Capped_High_max,ProShares Ultra MSCI Brazil Capped_High_min,ProShares Ultra MSCI Brazil Capped_High_volatility,ProShares Ultra MSCI Brazil Capped_High_change,ProShares Ultra MSCI Brazil Capped_Low_average,ProShares Ultra MSCI Brazil Capped_Low_max,ProShares Ultra MSCI Brazil Capped_Low_min,ProShares Ultra MSCI Brazil Capped_Low_volatility,ProShares Ultra MSCI Brazil Capped_Low_change,ProShares Ultra MSCI Brazil Capped_Close_average,ProShares Ultra MSCI Brazil Capped_Close_max,ProShares Ultra MSCI Brazil Capped_Close_min,ProShares Ultra MSCI Brazil Capped_Close_volatility,ProShares Ultra MSCI Brazil Capped_Close_change
2018-01-14,93.58,93.58,93.58,0.0,0.0,94.38,94.38,94.38,0.0,0.0,92.45,92.45,92.45,0.0,0.0,94.26,94.26,94.26,0.0,0.0
2018-01-21,103.8,103.8,103.8,0.0,0.0,103.8,103.8,103.8,0.0,0.0,101.65,101.65,101.65,0.0,0.0,101.83,101.83,101.83,0.0,0.0
2018-01-28,94.99,94.99,94.99,0.0,0.0,96.6,96.6,96.6,0.0,0.0,88.29,88.29,88.29,0.0,0.0,88.5,88.5,88.5,0.0,0.0
2018-02-04,88.81,88.81,88.81,0.0,0.0,90.82,90.82,90.82,0.0,0.0,88.0,88.0,88.0,0.0,0.0,90.82,90.82,90.82,0.0,0.0
2018-02-11,95.37,95.37,95.37,0.0,0.0,99.18,99.18,99.18,0.0,0.0,94.96,94.96,94.96,0.0,0.0,97.21,97.21,97.21,0.0,0.0
2018-02-18,103.43,103.43,103.43,0.0,0.0,103.68,103.68,103.68,0.0,0.0,102.4,102.4,102.4,0.0,0.0,103.12,103.12,103.12,0.0,0.0
2018-02-25,96.19,96.19,96.19,0.0,0.0,98.8,98.8,98.8,0.0,0.0,95.5,95.5,95.5,0.0,0.0,98.65,98.65,98.65,0.0,0.0
2018-03-04,99.75,99.75,99.75,0.0,0.0,100.11,100.11,100.11,0.0,0.0,98.5,98.5,98.5,0.0,0.0,99.98,99.98,99.98,0.0,0.0
2018-03-11,91.28,91.28,91.28,0.0,0.0,91.63,91.63,91.63,0.0,0.0,90.0,90.0,90.0,0.0,0.0,91.1,91.1,91.1,0.0,0.0
2018-03-18,92.36,92.36,92.36,0.0,0.0,92.65,92.65,92.65,0.0,0.0,90.61,90.61,90.61,0.0,0.0,92.19,92.19,92.19,0.0,0.0
2018-03-25,92.96,92.96,92.96,0.0,0.0,92.96,92.96,92.96,0.0,0.0,89.27,89.27,89.27,0.0,0.0,90.52,90.52,90.52,0.0,0.0
2018-04-01,87.42,87.42,87.42,0.0,0.0,87.42,87.42,87.42,0.0,0.0,81.7,81.7,81.7,0.0,0.0,81.7,81.7,81.7,0.0,0.0
2018-04-08,84.86,84.86,84.86,0.0,0.0,84.86,84.86,84.86,0.0,0.0,80.86,80.86,80.86,0.0,0.0,80.96,80.96,80.96,0.0,0.0
2018-04-15,84.53,84.53,84.53,0.0,0.0,84.74,84.74,84.74,0.0,0.0,83.26,83.26,83.26,0.0,0.0,83.7,83.7,83.7,0.0,0.0
2018-04-22,84.98,84.98,84.98,0.0,0.0,85.65,85.65,85.65,0.0,0.0,82.8,82.8,82.8,0.0,0.0,82.8,82.8,82.8,0.0,0.0
2018-04-29,74.84,74.84,74.84,0.0,0.0,75.92,75.92,75.92,0.0,0.0,73.56,73.56,73.56,0.0,0.0,73.73,73.73,73.73,0.0,0.0
2018-05-06,77.57,77.57,77.57,0.0,0.0,78.37,78.37,78.37,0.0,0.0,75.0,75.0,75.0,0.0,0.0,75.61,75.61,75.61,0.0,0.0
2018-05-13,69.46,69.46,69.46,0.0,0.0,69.48,69.48,69.48,0.0,0.0,66.4,66.4,66.4,0.0,0.0,67.6,67.6,67.6,0.0,0.0
2018-05-20,66.28,66.28,66.28,0.0,0.0,66.28,66.28,66.28,0.0,0.0,63.0,63.0,63.0,0.0,0.0,63.09,63.09,63.09,0.0,0.0
2018-05-27,60.31,60.31,60.31,0.0,0.0,60.5,60.5,60.5,0.0,0.0,59.38,59.38,59.38,0.0,0.0,60.4,60.4,60.4,0.0,0.0
2018-06-03,52.97,52.97,52.97,0.0,0.0,53.88,53.88,53.88,0.0,0.0,50.91,50.91,50.91,0.0,0.0,51.42,51.42,51.42,0.0,0.0
