Date,VanEck Vectors Rare EarthStrategic Metals_Open_average,VanEck Vectors Rare EarthStrategic Metals_Open_max,VanEck Vectors Rare EarthStrategic Metals_Open_min,VanEck Vectors Rare EarthStrategic Metals_Open_volatility,VanEck Vectors Rare EarthStrategic Metals_Open_change,VanEck Vectors Rare EarthStrategic Metals_High_average,VanEck Vectors Rare EarthStrategic Metals_High_max,VanEck Vectors Rare EarthStrategic Metals_High_min,VanEck Vectors Rare EarthStrategic Metals_High_volatility,VanEck Vectors Rare EarthStrategic Metals_High_change,VanEck Vectors Rare EarthStrategic Metals_Low_average,VanEck Vectors Rare EarthStrategic Metals_Low_max,VanEck Vectors Rare EarthStrategic Metals_Low_min,VanEck Vectors Rare EarthStrategic Metals_Low_volatility,VanEck Vectors Rare EarthStrategic Metals_Low_change,VanEck Vectors Rare EarthStrategic Metals_Close_average,VanEck Vectors Rare EarthStrategic Metals_Close_max,VanEck Vectors Rare EarthStrategic Metals_Close_min,VanEck Vectors Rare EarthStrategic Metals_Close_volatility,VanEck Vectors Rare EarthStrategic Metals_Close_change
2018-01-14,92.07,92.07,92.07,0.0,0.0,92.79,92.79,92.79,0.0,0.0,91.71,91.71,91.71,0.0,0.0,92.79,92.79,92.79,0.0,0.0
2018-01-21,95.52,95.52,95.52,0.0,0.0,95.52,95.52,95.52,0.0,0.0,94.8,94.8,94.8,0.0,0.0,95.13,95.13,95.13,0.0,0.0
2018-01-28,88.32,88.32,88.32,0.0,0.0,89.07,89.07,89.07,0.0,0.0,85.47,85.47,85.47,0.0,0.0,85.56,85.56,85.56,0.0,0.0
2018-02-04,83.55,83.55,83.55,0.0,0.0,85.44,85.44,85.44,0.0,0.0,82.8,82.8,82.8,0.0,0.0,84.75,84.75,84.75,0.0,0.0
2018-02-11,89.1,89.1,89.1,0.0,0.0,89.61,89.61,89.61,0.0,0.0,88.8,88.8,88.8,0.0,0.0,88.86,88.86,88.86,0.0,0.0
2018-02-18,93.66,93.66,93.66,0.0,0.0,93.9,93.9,93.9,0.0,0.0,92.04,92.04,92.04,0.0,0.0,92.46,92.46,92.46,0.0,0.0
2018-02-25,88.8,88.8,88.8,0.0,0.0,89.97,89.97,89.97,0.0,0.0,88.5,88.5,88.5,0.0,0.0,89.46,89.46,89.46,0.0,0.0
2018-03-04,90.66,90.66,90.66,0.0,0.0,91.06,91.06,91.06,0.0,0.0,90.2,90.2,90.2,0.0,0.0,90.69,90.69,90.69,0.0,0.0
2018-03-11,89.34,89.34,89.34,0.0,0.0,89.52,89.52,89.52,0.0,0.0,88.34,88.34,88.34,0.0,0.0,88.89,88.89,88.89,0.0,0.0
2018-03-18,84.75,84.75,84.75,0.0,0.0,85.77,85.77,85.77,0.0,0.0,84.18,84.18,84.18,0.0,0.0,85.23,85.23,85.23,0.0,0.0
