Date,Guggenheim S&P SmallCap 600 EW_Open_average,Guggenheim S&P SmallCap 600 EW_Open_max,Guggenheim S&P SmallCap 600 EW_Open_min,Guggenheim S&P SmallCap 600 EW_Open_volatility,Guggenheim S&P SmallCap 600 EW_Open_change,Guggenheim S&P SmallCap 600 EW_High_average,Guggenheim S&P SmallCap 600 EW_High_max,Guggenheim S&P SmallCap 600 EW_High_min,Guggenheim S&P SmallCap 600 EW_High_volatility,Guggenheim S&P SmallCap 600 EW_High_change,Guggenheim S&P SmallCap 600 EW_Low_average,Guggenheim S&P SmallCap 600 EW_Low_max,Guggenheim S&P SmallCap 600 EW_Low_min,Guggenheim S&P SmallCap 600 EW_Low_volatility,Guggenheim S&P SmallCap 600 EW_Low_change,Guggenheim S&P SmallCap 600 EW_Close_average,Guggenheim S&P SmallCap 600 EW_Close_max,Guggenheim S&P SmallCap 600 EW_Close_min,Guggenheim S&P SmallCap 600 EW_Close_volatility,Guggenheim S&P SmallCap 600 EW_Close_change
2018-01-14,57.38,57.38,57.38,0.0,0.0,57.42,57.42,57.42,0.0,0.0,57.31,57.31,57.31,0.0,0.0,57.39,57.39,57.39,0.0,0.0
2018-01-21,57.5,57.5,57.5,0.0,0.0,57.66,57.66,57.66,0.0,0.0,57.01,57.01,57.01,0.0,0.0,57.4,57.4,57.4,0.0,0.0
2018-01-28,53.88,53.88,53.88,0.0,0.0,54.27,54.27,54.27,0.0,0.0,52.88,52.88,52.88,0.0,0.0,52.88,52.88,52.88,0.0,0.0
2018-02-04,52.18,52.18,52.18,0.0,0.0,52.25,52.25,52.25,0.0,0.0,52.0,52.0,52.0,0.0,0.0,52.25,52.25,52.25,0.0,0.0
2018-02-11,54.37,54.37,54.37,0.0,0.0,54.49,54.49,54.49,0.0,0.0,54.09,54.09,54.09,0.0,0.0,54.44,54.44,54.44,0.0,0.0
2018-02-18,54.25,54.25,54.25,0.0,0.0,54.6,54.6,54.6,0.0,0.0,54.25,54.25,54.25,0.0,0.0,54.6,54.6,54.6,0.0,0.0
2018-02-25,53.91,53.91,53.91,0.0,0.0,53.93,53.93,53.93,0.0,0.0,53.8,53.8,53.8,0.0,0.0,53.93,53.93,53.93,0.0,0.0
2018-03-04,55.12,55.12,55.12,0.0,0.0,55.95,55.95,55.95,0.0,0.0,55.12,55.12,55.12,0.0,0.0,55.95,55.95,55.95,0.0,0.0
2018-03-11,56.56,56.56,56.56,0.0,0.0,56.56,56.56,56.56,0.0,0.0,54.65,54.65,54.65,0.0,0.0,55.27,55.27,55.27,0.0,0.0
2018-03-18,53.71,53.71,53.71,0.0,0.0,54.14,54.14,54.14,0.0,0.0,53.24,53.24,53.24,0.0,0.0,53.24,53.24,53.24,0.0,0.0
