Date,ProShares UltraShort S&P500Etf_Open_average,ProShares UltraShort S&P500Etf_Open_max,ProShares UltraShort S&P500Etf_Open_min,ProShares UltraShort S&P500Etf_Open_volatility,ProShares UltraShort S&P500Etf_Open_change,ProShares UltraShort S&P500Etf_High_average,ProShares UltraShort S&P500Etf_High_max,ProShares UltraShort S&P500Etf_High_min,ProShares UltraShort S&P500Etf_High_volatility,ProShares UltraShort S&P500Etf_High_change,ProShares UltraShort S&P500Etf_Low_average,ProShares UltraShort S&P500Etf_Low_max,ProShares UltraShort S&P500Etf_Low_min,ProShares UltraShort S&P500Etf_Low_volatility,ProShares UltraShort S&P500Etf_Low_change,ProShares UltraShort S&P500Etf_Close_average,ProShares UltraShort S&P500Etf_Close_max,ProShares UltraShort S&P500Etf_Close_min,ProShares UltraShort S&P500Etf_Close_volatility,ProShares UltraShort S&P500Etf_Close_change
2018-01-14,37.39,37.39,37.39,0.0,0.0,37.58,37.58,37.58,0.0,0.0,37.24,37.24,37.24,0.0,0.0,37.24,37.24,37.24,0.0,0.0
2018-01-21,36.27,36.27,36.27,0.0,0.0,36.33,36.33,36.33,0.0,0.0,35.66,35.66,35.66,0.0,0.0,35.66,35.66,35.66,0.0,0.0
2018-01-28,37.36,37.36,37.36,0.0,0.0,38.55,38.55,38.55,0.0,0.0,37.29,37.29,37.29,0.0,0.0,38.53,38.53,38.53,0.0,0.0
2018-02-04,42.6,42.6,42.6,0.0,0.0,45.27,45.27,45.27,0.0,0.0,41.66,41.66,41.66,0.0,0.0,42.3,42.3,42.3,0.0,0.0
2018-02-11,39.03,39.03,39.03,0.0,0.0,39.05,39.05,39.05,0.0,0.0,38.17,38.17,38.17,0.0,0.0,38.74,38.74,38.74,0.0,0.0
2018-02-18,39.17,39.17,39.17,0.0,0.0,39.34,39.34,39.34,0.0,0.0,38.33,38.33,38.33,0.0,0.0,38.33,38.33,38.33,0.0,0.0
2018-02-25,40.95,40.95,40.95,0.0,0.0,41.2,41.2,41.2,0.0,0.0,39.72,39.72,39.72,0.0,0.0,39.9,39.9,39.9,0.0,0.0
2018-03-04,38.03,38.03,38.03,0.0,0.0,38.13,38.13,38.13,0.0,0.0,37.15,37.15,37.15,0.0,0.0,37.15,37.15,37.15,0.0,0.0
2018-03-11,38.05,38.05,38.05,0.0,0.0,38.13,38.13,38.13,0.0,0.0,37.8,37.8,37.8,0.0,0.0,38.12,38.12,38.12,0.0,0.0
2018-03-18,40.91,40.91,40.91,0.0,0.0,42.9,42.9,42.9,0.0,0.0,40.67,40.67,40.67,0.0,0.0,42.84,42.84,42.84,0.0,0.0
2018-03-25,41.74,41.74,41.74,0.0,0.0,42.01,42.01,42.01,0.0,0.0,40.4,40.4,40.4,0.0,0.0,40.96,40.96,40.96,0.0,0.0
