Date,Vanguard Short-Term Government Bond_etf_Open_average,Vanguard Short-Term Government Bond_etf_Open_max,Vanguard Short-Term Government Bond_etf_Open_min,Vanguard Short-Term Government Bond_etf_Open_volatility,Vanguard Short-Term Government Bond_etf_Open_change,Vanguard Short-Term Government Bond_etf_High_average,Vanguard Short-Term Government Bond_etf_High_max,Vanguard Short-Term Government Bond_etf_High_min,Vanguard Short-Term Government Bond_etf_High_volatility,Vanguard Short-Term Government Bond_etf_High_change,Vanguard Short-Term Government Bond_etf_Low_average,Vanguard Short-Term Government Bond_etf_Low_max,Vanguard Short-Term Government Bond_etf_Low_min,Vanguard Short-Term Government Bond_etf_Low_volatility,Vanguard Short-Term Government Bond_etf_Low_change,Vanguard Short-Term Government Bond_etf_Close_average,Vanguard Short-Term Government Bond_etf_Close_max,Vanguard Short-Term Government Bond_etf_Close_min,Vanguard Short-Term Government Bond_etf_Close_volatility,Vanguard Short-Term Government Bond_etf_Close_change
2018-01-14,60.16,60.16,60.16,0.0,0.0,60.17,60.17,60.17,0.0,0.0,60.12,60.12,60.12,0.0,0.0,60.13,60.13,60.13,0.0,0.0
2018-01-21,60.12,60.12,60.12,0.0,0.0,60.13,60.13,60.13,0.0,0.0,60.08,60.08,60.08,0.0,0.0,60.09,60.09,60.09,0.0,0.0
2018-01-28,59.98,59.98,59.98,0.0,0.0,60.05,60.05,60.05,0.0,0.0,59.98,59.98,59.98,0.0,0.0,60.05,60.05,60.05,0.0,0.0
2018-02-04,60.07,60.07,60.07,0.0,0.0,60.17,60.17,60.17,0.0,0.0,60.05,60.05,60.05,0.0,0.0,60.11,60.11,60.11,0.0,0.0
2018-02-11,60.0,60.0,60.0,0.0,0.0,60.02,60.02,60.02,0.0,0.0,59.97,59.97,59.97,0.0,0.0,59.98,59.98,59.98,0.0,0.0
2018-02-18,60.02,60.02,60.02,0.0,0.0,60.03,60.03,60.03,0.0,0.0,59.96,59.96,59.96,0.0,0.0,60.02,60.02,60.02,0.0,0.0
2018-02-25,59.98,59.98,59.98,0.0,0.0,60.0,60.0,60.0,0.0,0.0,59.95,59.95,59.95,0.0,0.0,59.95,59.95,59.95,0.0,0.0
2018-03-04,59.94,59.94,59.94,0.0,0.0,59.97,59.97,59.97,0.0,0.0,59.94,59.94,59.94,0.0,0.0,59.95,59.95,59.95,0.0,0.0
2018-03-11,59.99,59.99,59.99,0.0,0.0,60.02,60.02,60.02,0.0,0.0,59.94,59.94,59.94,0.0,0.0,59.98,59.98,59.98,0.0,0.0
2018-03-18,60.0,60.0,60.0,0.0,0.0,60.04,60.04,60.04,0.0,0.0,59.98,59.98,59.98,0.0,0.0,60.03,60.03,60.03,0.0,0.0
2018-03-25,60.03,60.03,60.03,0.0,0.0,60.06,60.06,60.06,0.0,0.0,60.02,60.02,60.02,0.0,0.0,60.04,60.04,60.04,0.0,0.0
2018-04-01,59.96,59.96,59.96,0.0,0.0,60.0,60.0,60.0,0.0,0.0,59.95,59.95,59.95,0.0,0.0,60.0,60.0,60.0,0.0,0.0
2018-04-08,59.92,59.92,59.92,0.0,0.0,59.94,59.94,59.94,0.0,0.0,59.89,59.89,59.89,0.0,0.0,59.93,59.93,59.93,0.0,0.0
2018-04-15,59.86,59.86,59.86,0.0,0.0,59.86,59.86,59.86,0.0,0.0,59.83,59.83,59.83,0.0,0.0,59.84,59.84,59.84,0.0,0.0
2018-04-22,59.84,59.84,59.84,0.0,0.0,59.87,59.87,59.87,0.0,0.0,59.84,59.84,59.84,0.0,0.0,59.87,59.87,59.87,0.0,0.0
2018-04-29,59.82,59.82,59.82,0.0,0.0,59.82,59.82,59.82,0.0,0.0,59.78,59.78,59.78,0.0,0.0,59.79,59.79,59.79,0.0,0.0
