Date,PIMCO Total Return Active Exchange-Traded_etf_Open_average,PIMCO Total Return Active Exchange-Traded_etf_Open_max,PIMCO Total Return Active Exchange-Traded_etf_Open_min,PIMCO Total Return Active Exchange-Traded_etf_Open_volatility,PIMCO Total Return Active Exchange-Traded_etf_Open_change,PIMCO Total Return Active Exchange-Traded_etf_High_average,PIMCO Total Return Active Exchange-Traded_etf_High_max,PIMCO Total Return Active Exchange-Traded_etf_High_min,PIMCO Total Return Active Exchange-Traded_etf_High_volatility,PIMCO Total Return Active Exchange-Traded_etf_High_change,PIMCO Total Return Active Exchange-Traded_etf_Low_average,PIMCO Total Return Active Exchange-Traded_etf_Low_max,PIMCO Total Return Active Exchange-Traded_etf_Low_min,PIMCO Total Return Active Exchange-Traded_etf_Low_volatility,PIMCO Total Return Active Exchange-Traded_etf_Low_change,PIMCO Total Return Active Exchange-Traded_etf_Close_average,PIMCO Total Return Active Exchange-Traded_etf_Close_max,PIMCO Total Return Active Exchange-Traded_etf_Close_min,PIMCO Total Return Active Exchange-Traded_etf_Close_volatility,PIMCO Total Return Active Exchange-Traded_etf_Close_change
2018-01-14,105.24,105.24,105.24,0.0,0.0,105.25,105.25,105.25,0.0,0.0,105.03,105.03,105.03,0.0,0.0,105.11,105.11,105.11,0.0,0.0
2018-01-21,105.49,105.49,105.49,0.0,0.0,105.49,105.49,105.49,0.0,0.0,105.25,105.25,105.25,0.0,0.0,105.32,105.32,105.32,0.0,0.0
2018-01-28,104.39,104.39,104.39,0.0,0.0,104.51,104.51,104.51,0.0,0.0,104.17,104.17,104.17,0.0,0.0,104.38,104.38,104.38,0.0,0.0
2018-02-04,104.0,104.0,104.0,0.0,0.0,104.17,104.17,104.17,0.0,0.0,103.82,103.82,103.82,0.0,0.0,103.98,103.98,103.98,0.0,0.0
2018-02-11,103.67,103.67,103.67,0.0,0.0,103.82,103.82,103.82,0.0,0.0,103.61,103.61,103.61,0.0,0.0,103.64,103.64,103.64,0.0,0.0
2018-02-18,103.64,103.64,103.64,0.0,0.0,103.93,103.93,103.93,0.0,0.0,103.64,103.64,103.64,0.0,0.0,103.83,103.83,103.83,0.0,0.0
2018-02-25,103.66,103.66,103.66,0.0,0.0,103.86,103.86,103.86,0.0,0.0,103.62,103.62,103.62,0.0,0.0,103.74,103.74,103.74,0.0,0.0
2018-03-04,103.55,103.55,103.55,0.0,0.0,103.7,103.7,103.7,0.0,0.0,103.55,103.55,103.55,0.0,0.0,103.6,103.6,103.6,0.0,0.0
2018-03-11,103.71,103.71,103.71,0.0,0.0,103.78,103.78,103.78,0.0,0.0,103.62,103.62,103.62,0.0,0.0,103.74,103.74,103.74,0.0,0.0
2018-03-18,103.58,103.58,103.58,0.0,0.0,103.75,103.75,103.75,0.0,0.0,103.54,103.54,103.54,0.0,0.0,103.63,103.63,103.63,0.0,0.0
2018-03-25,103.9,103.9,103.9,0.0,0.0,104.37,104.37,104.37,0.0,0.0,103.9,103.9,103.9,0.0,0.0,104.23,104.23,104.23,0.0,0.0
2018-04-01,103.8,103.8,103.8,0.0,0.0,103.83,103.83,103.83,0.0,0.0,103.61,103.61,103.61,0.0,0.0,103.71,103.71,103.71,0.0,0.0
2018-04-08,103.51,103.51,103.51,0.0,0.0,103.64,103.64,103.64,0.0,0.0,103.49,103.49,103.49,0.0,0.0,103.52,103.52,103.52,0.0,0.0
2018-04-15,103.1,103.1,103.1,0.0,0.0,103.19,103.19,103.19,0.0,0.0,102.97,102.97,102.97,0.0,0.0,102.98,102.98,102.98,0.0,0.0
2018-04-22,102.74,102.74,102.74,0.0,0.0,102.97,102.97,102.97,0.0,0.0,102.74,102.74,102.74,0.0,0.0,102.96,102.96,102.96,0.0,0.0
2018-04-29,102.73,102.73,102.73,0.0,0.0,102.88,102.88,102.88,0.0,0.0,102.61,102.61,102.61,0.0,0.0,102.71,102.71,102.71,0.0,0.0
2018-05-06,102.62,102.62,102.62,0.0,0.0,102.72,102.72,102.72,0.0,0.0,102.61,102.61,102.61,0.0,0.0,102.69,102.69,102.69,0.0,0.0
2018-05-13,101.98,101.98,101.98,0.0,0.0,102.15,102.15,102.15,0.0,0.0,101.95,101.95,101.95,0.0,0.0,102.13,102.13,102.13,0.0,0.0
2018-05-20,102.86,102.86,102.86,0.0,0.0,102.99,102.99,102.99,0.0,0.0,102.86,102.86,102.86,0.0,0.0,102.96,102.96,102.96,0.0,0.0
2018-05-27,102.8,102.8,102.8,0.0,0.0,102.88,102.88,102.88,0.0,0.0,102.65,102.65,102.65,0.0,0.0,102.8,102.8,102.8,0.0,0.0
2018-06-03,102.59,102.59,102.59,0.0,0.0,102.63,102.63,102.63,0.0,0.0,102.5,102.5,102.5,0.0,0.0,102.6,102.6,102.6,0.0,0.0
2018-06-10,102.8,102.8,102.8,0.0,0.0,102.85,102.85,102.85,0.0,0.0,102.65,102.65,102.65,0.0,0.0,102.72,102.72,102.72,0.0,0.0
2018-06-17,102.62,102.62,102.62,0.0,0.0,102.83,102.83,102.83,0.0,0.0,102.62,102.62,102.62,0.0,0.0,102.68,102.68,102.68,0.0,0.0
2018-06-24,103.04,103.04,103.04,0.0,0.0,103.2,103.2,103.2,0.0,0.0,103.04,103.04,103.04,0.0,0.0,103.05,103.05,103.05,0.0,0.0
2018-07-01,103.09,103.09,103.09,0.0,0.0,103.12,103.12,103.12,0.0,0.0,103.02,103.02,103.02,0.0,0.0,103.05,103.05,103.05,0.0,0.0
2018-07-08,103.2,103.2,103.2,0.0,0.0,103.21,103.21,103.21,0.0,0.0,103.09,103.09,103.09,0.0,0.0,103.16,103.16,103.16,0.0,0.0
2018-07-15,103.19,103.19,103.19,0.0,0.0,103.21,103.21,103.21,0.0,0.0,103.08,103.08,103.08,0.0,0.0,103.1,103.1,103.1,0.0,0.0
2018-07-22,102.88,102.88,102.88,0.0,0.0,102.91,102.91,102.91,0.0,0.0,102.75,102.75,102.75,0.0,0.0,102.82,102.82,102.82,0.0,0.0
