Date,ProShares Short Euro_Open_average,ProShares Short Euro_Open_max,ProShares Short Euro_Open_min,ProShares Short Euro_Open_volatility,ProShares Short Euro_Open_change,ProShares Short Euro_High_average,ProShares Short Euro_High_max,ProShares Short Euro_High_min,ProShares Short Euro_High_volatility,ProShares Short Euro_High_change,ProShares Short Euro_Low_average,ProShares Short Euro_Low_max,ProShares Short Euro_Low_min,ProShares Short Euro_Low_volatility,ProShares Short Euro_Low_change,ProShares Short Euro_Close_average,ProShares Short Euro_Close_max,ProShares Short Euro_Close_min,ProShares Short Euro_Close_volatility,ProShares Short Euro_Close_change
2018-01-14,39.22,39.22,39.22,0.0,0.0,39.22,39.22,39.22,0.0,0.0,39.22,39.22,39.22,0.0,0.0,39.22,39.22,39.22,0.0,0.0
2018-01-21,38.81,38.81,38.81,0.0,0.0,38.92,38.92,38.92,0.0,0.0,38.81,38.81,38.81,0.0,0.0,38.92,38.92,38.92,0.0,0.0
2018-01-28,38.74,38.74,38.74,0.0,0.0,38.74,38.74,38.74,0.0,0.0,38.73,38.73,38.73,0.0,0.0,38.73,38.73,38.73,0.0,0.0
2018-02-04,39.22,39.22,39.22,0.0,0.0,39.22,39.22,39.22,0.0,0.0,39.09,39.09,39.09,0.0,0.0,39.09,39.09,39.09,0.0,0.0
2018-02-11,38.49,38.49,38.49,0.0,0.0,38.49,38.49,38.49,0.0,0.0,38.49,38.49,38.49,0.0,0.0,38.49,38.49,38.49,0.0,0.0
2018-02-18,39.06,39.06,39.06,0.0,0.0,39.06,39.06,39.06,0.0,0.0,39.05,39.05,39.05,0.0,0.0,39.05,39.05,39.05,0.0,0.0
2018-02-25,39.13,39.13,39.13,0.0,0.0,39.13,39.13,39.13,0.0,0.0,39.13,39.13,39.13,0.0,0.0,39.13,39.13,39.13,0.0,0.0
2018-03-04,39.13,39.13,39.13,0.0,0.0,39.14,39.14,39.14,0.0,0.0,39.13,39.13,39.13,0.0,0.0,39.14,39.14,39.14,0.0,0.0
2018-03-11,38.86,38.86,38.86,0.0,0.0,38.86,38.86,38.86,0.0,0.0,38.86,38.86,38.86,0.0,0.0,38.86,38.86,38.86,0.0,0.0
2018-03-18,38.76,38.76,38.76,0.0,0.0,38.76,38.76,38.76,0.0,0.0,38.74,38.74,38.74,0.0,0.0,38.76,38.76,38.76,0.0,0.0
