Date,CPHC_Open_average,CPHC_Open_max,CPHC_Open_min,CPHC_Open_volatility,CPHC_Open_change,CPHC_High_average,CPHC_High_max,CPHC_High_min,CPHC_High_volatility,CPHC_High_change,CPHC_Low_average,CPHC_Low_max,CPHC_Low_min,CPHC_Low_volatility,CPHC_Low_change,CPHC_Close_average,CPHC_Close_max,CPHC_Close_min,CPHC_Close_volatility,CPHC_Close_change,CPHC_Volume_average,CPHC_Volume_max,CPHC_Volume_min,CPHC_Volume_volatility,CPHC_Volume_change
2018-01-14,15.325,16.15,14.05,2.099999999999998,-0.7999999999999989,15.7225,16.15,15.29,0.8599999999999994,-0.8100000000000023,14.845,15.95,14.05,1.8999999999999986,-0.7999999999999989,15.3825,16.05,14.9,1.1500000000000004,-0.8200000000000003,3799,9278,1115,8163,715
2018-01-21,15.11,15.25,14.95,0.3000000000000007,0.0,15.252,15.65,15.01,0.6400000000000006,0.0,14.952,15.1,14.75,0.34999999999999964,-0.34999999999999964,15.114,15.57,14.75,0.8200000000000003,-0.5,2904,6452,973,5479,3140
2018-01-28,15.040000000000001,15.2,14.8,0.3999999999999986,-0.1999999999999993,15.113999999999999,15.2,14.95,0.25,-0.15000000000000036,14.8,15.0,14.3,0.6999999999999993,-0.6499999999999986,14.974,15.12,14.85,0.2699999999999996,-0.15000000000000036,6042,12839,1457,11382,519
2018-02-04,14.33,14.65,14.0,0.6500000000000004,-0.6500000000000004,14.370000000000001,14.65,14.05,0.5999999999999996,-0.5999999999999996,13.948,14.6,13.55,1.049999999999999,-0.5999999999999996,14.158,14.6,13.95,0.6500000000000004,-0.5700000000000003,2662,4173,369,3804,1471
2018-02-11,13.925,14.05,13.8,0.25,0.25,14.25,14.25,14.25,0.0,0.0,13.925,14.05,13.8,0.25,0.25,14.25,14.25,14.25,0.0,0.0,697,706,689,17,17
2018-02-18,14.057500000000001,14.28,13.57,0.7099999999999991,0.02999999999999936,14.620000000000001,15.75,13.9,1.8499999999999996,-1.0500000000000007,13.97,14.28,13.57,0.7099999999999991,0.379999999999999,14.1575,14.7,13.9,0.7999999999999989,0.7999999999999989,1540,4277,136,4141,-3755
2018-02-25,14.41,14.75,14.2,0.5500000000000007,-0.5500000000000007,14.45,14.75,14.35,0.40000000000000036,-0.34999999999999964,14.32,14.4,14.2,0.20000000000000107,-0.10000000000000142,14.37,14.4,14.35,0.05000000000000071,0.05000000000000071,893,2276,0,2276,-1305
2018-03-04,14.94,15.7,14.4,1.299999999999999,0.8499999999999996,15.23,15.75,14.85,0.9000000000000004,0.8499999999999996,14.8,15.7,14.3,1.3999999999999986,1.3999999999999986,14.98,15.7,14.3,1.3999999999999986,1.3999999999999986,6411,27747,116,27631,-584
2018-03-11,15.568,15.75,15.25,0.5,0.40000000000000036,15.586,15.75,15.25,0.5,0.40000000000000036,15.44,15.75,15.25,0.5,0.34999999999999964,15.47,15.75,15.25,0.5,0.34999999999999964,4657,19700,190,19510,117
2018-03-18,15.34,15.6,14.8,0.7999999999999989,-0.7999999999999989,15.49,15.7,15.15,0.5499999999999989,-0.5,15.27,15.6,14.8,0.7999999999999989,-0.7999999999999989,15.41,15.7,14.85,0.8499999999999996,-0.5,1184,2389,490,1899,-623
