Date,ENT_Open_average,ENT_Open_max,ENT_Open_min,ENT_Open_volatility,ENT_Open_change,ENT_High_average,ENT_High_max,ENT_High_min,ENT_High_volatility,ENT_High_change,ENT_Low_average,ENT_Low_max,ENT_Low_min,ENT_Low_volatility,ENT_Low_change,ENT_Close_average,ENT_Close_max,ENT_Close_min,ENT_Close_volatility,ENT_Close_change,ENT_Volume_average,ENT_Volume_max,ENT_Volume_min,ENT_Volume_volatility,ENT_Volume_change
2018-01-14,2.09,2.26,2.0,0.2599999999999998,-0.2599999999999998,2.1418,2.27,2.069,0.20100000000000007,-0.1299999999999999,2.014,2.06,1.98,0.08000000000000007,-0.08000000000000007,2.068,2.13,1.99,0.1399999999999999,0.04999999999999982,265352,297974,233058,64916,-12770
2018-01-21,2.242,2.29,2.11,0.18000000000000016,0.18000000000000016,2.32,2.34,2.28,0.06000000000000005,0.009999999999999787,2.1942,2.271,2.09,0.18100000000000005,0.18100000000000005,2.276,2.32,2.24,0.07999999999999963,0.040000000000000036,253233,360639,131185,229454,-70975
2018-01-28,2.474,2.67,2.27,0.3999999999999999,0.06000000000000005,2.686,3.22,2.3,0.9200000000000004,0.08000000000000007,2.288,2.54,2.03,0.5100000000000002,-0.16000000000000014,2.414,2.89,2.04,0.8500000000000001,-0.16999999999999993,1273225,3772809,203249,3569560,551402
2018-02-04,2.152,2.32,1.99,0.32999999999999985,0.17000000000000015,2.2880000000000003,2.59,2.16,0.4299999999999997,0.0,2.057,2.16,1.99,0.17000000000000015,0.010000000000000009,2.15,2.32,2.01,0.31000000000000005,-0.15000000000000036,549027,908000,291006,616994,-523415
2018-02-11,1.885,1.98,1.82,0.15999999999999992,-0.15999999999999992,1.9224999999999999,2.02,1.86,0.15999999999999992,-0.15999999999999992,1.79375,1.87,1.66,0.2100000000000002,-0.2100000000000002,1.8275000000000001,1.9,1.72,0.17999999999999994,-0.17999999999999994,1019225,1622025,468275,1153750,283199
2018-02-18,1.6179999999999999,1.71,1.43,0.28,-0.28,1.698,1.77,1.66,0.1100000000000001,-0.040000000000000036,1.502,1.62,1.32,0.30000000000000004,-0.29000000000000004,1.5859999999999999,1.65,1.43,0.21999999999999997,-0.06999999999999984,1363558,1880809,375096,1505713,439339
2018-02-25,1.406,1.57,1.26,0.31000000000000005,-0.18000000000000016,1.436,1.58,1.36,0.21999999999999997,-0.19000000000000017,1.2810000000000001,1.35,1.205,0.14500000000000002,-0.09000000000000008,1.362,1.43,1.31,0.11999999999999988,-0.11999999999999988,535280,682257,375606,306651,-123759
2018-03-04,1.544,1.7,1.3,0.3999999999999999,0.30000000000000004,1.6818,1.85,1.629,0.22100000000000009,-0.030000000000000027,1.448,1.53,1.27,0.26,0.26,1.578,1.59,1.55,0.040000000000000036,0.010000000000000009,1141684,3235014,343791,2891223,-696579
2018-03-11,1.59,1.61,1.57,0.040000000000000036,-0.010000000000000009,1.63,1.65,1.61,0.039999999999999813,0.004999999999999893,1.557,1.57,1.525,0.04500000000000015,0.010000000000000009,1.592,1.62,1.58,0.040000000000000036,0.010000000000000009,684639,1158626,397595,761031,320473
2018-03-18,23.482,39.0,1.57,37.43,35.91,24.371,40.125,1.61,38.515,37.39,22.615,37.5,1.53,35.97,34.47,22.932,37.5,1.57,35.93,35.18,167999,464879,15220,449659,-302760
