Date,First Trust Mega Cap AlphaDEX_Open_average,First Trust Mega Cap AlphaDEX_Open_max,First Trust Mega Cap AlphaDEX_Open_min,First Trust Mega Cap AlphaDEX_Open_volatility,First Trust Mega Cap AlphaDEX_Open_change,First Trust Mega Cap AlphaDEX_High_average,First Trust Mega Cap AlphaDEX_High_max,First Trust Mega Cap AlphaDEX_High_min,First Trust Mega Cap AlphaDEX_High_volatility,First Trust Mega Cap AlphaDEX_High_change,First Trust Mega Cap AlphaDEX_Low_average,First Trust Mega Cap AlphaDEX_Low_max,First Trust Mega Cap AlphaDEX_Low_min,First Trust Mega Cap AlphaDEX_Low_volatility,First Trust Mega Cap AlphaDEX_Low_change,First Trust Mega Cap AlphaDEX_Close_average,First Trust Mega Cap AlphaDEX_Close_max,First Trust Mega Cap AlphaDEX_Close_min,First Trust Mega Cap AlphaDEX_Close_volatility,First Trust Mega Cap AlphaDEX_Close_change
2018-01-14,35.68,35.68,35.68,0.0,0.0,35.74,35.74,35.74,0.0,0.0,35.68,35.68,35.68,0.0,0.0,35.74,35.74,35.74,0.0,0.0
2018-01-21,36.51,36.51,36.51,0.0,0.0,36.69,36.69,36.69,0.0,0.0,36.42,36.42,36.42,0.0,0.0,36.69,36.69,36.69,0.0,0.0
2018-01-28,35.71,35.71,35.71,0.0,0.0,35.72,35.72,35.72,0.0,0.0,35.27,35.27,35.27,0.0,0.0,35.28,35.28,35.28,0.0,0.0
2018-02-04,32.53,32.53,32.53,0.0,0.0,33.63,33.63,33.63,0.0,0.0,32.53,32.53,32.53,0.0,0.0,33.63,33.63,33.63,0.0,0.0
2018-02-11,34.91,34.91,34.91,0.0,0.0,35.06,35.06,35.06,0.0,0.0,34.82,34.82,34.82,0.0,0.0,34.82,34.82,34.82,0.0,0.0
2018-02-18,34.56,34.56,34.56,0.0,0.0,34.95,34.95,34.95,0.0,0.0,34.56,34.56,34.56,0.0,0.0,34.94,34.94,34.94,0.0,0.0
2018-02-25,33.51,33.51,33.51,0.0,0.0,34.03,34.03,34.03,0.0,0.0,33.51,33.51,33.51,0.0,0.0,34.03,34.03,34.03,0.0,0.0
2018-03-04,34.87,34.87,34.87,0.0,0.0,34.87,34.87,34.87,0.0,0.0,34.82,34.82,34.82,0.0,0.0,34.83,34.83,34.83,0.0,0.0
2018-03-11,34.79,34.79,34.79,0.0,0.0,34.83,34.83,34.83,0.0,0.0,34.79,34.79,34.79,0.0,0.0,34.83,34.83,34.83,0.0,0.0
2018-03-18,33.41,33.41,33.41,0.0,0.0,33.41,33.41,33.41,0.0,0.0,32.73,32.73,32.73,0.0,0.0,32.73,32.73,32.73,0.0,0.0
2018-03-25,33.01,33.01,33.01,0.0,0.0,33.27,33.27,33.27,0.0,0.0,33.01,33.01,33.01,0.0,0.0,33.27,33.27,33.27,0.0,0.0
2018-04-01,33.11,33.11,33.11,0.0,0.0,33.11,33.11,33.11,0.0,0.0,32.77,32.77,32.77,0.0,0.0,32.77,32.77,32.77,0.0,0.0
2018-04-08,33.69,33.69,33.69,0.0,0.0,33.69,33.69,33.69,0.0,0.0,33.58,33.58,33.58,0.0,0.0,33.58,33.58,33.58,0.0,0.0
2018-04-15,33.81,33.81,33.81,0.0,0.0,33.81,33.81,33.81,0.0,0.0,33.79,33.79,33.79,0.0,0.0,33.79,33.79,33.79,0.0,0.0
2018-04-22,33.51,33.51,33.51,0.0,0.0,33.51,33.51,33.51,0.0,0.0,33.51,33.51,33.51,0.0,0.0,33.51,33.51,33.51,0.0,0.0
2018-04-29,32.75,32.75,32.75,0.0,0.0,32.78,32.78,32.78,0.0,0.0,32.51,32.51,32.51,0.0,0.0,32.51,32.51,32.51,0.0,0.0
2018-05-06,34.36,34.36,34.36,0.0,0.0,34.38,34.38,34.38,0.0,0.0,34.35,34.35,34.35,0.0,0.0,34.38,34.38,34.38,0.0,0.0
2018-05-13,34.31,34.31,34.31,0.0,0.0,34.35,34.35,34.35,0.0,0.0,34.31,34.31,34.31,0.0,0.0,34.35,34.35,34.35,0.0,0.0
2018-05-20,34.57,34.57,34.57,0.0,0.0,34.57,34.57,34.57,0.0,0.0,34.57,34.57,34.57,0.0,0.0,34.57,34.57,34.57,0.0,0.0
