Date,ASTC_Open_average,ASTC_Open_max,ASTC_Open_min,ASTC_Open_volatility,ASTC_Open_change,ASTC_High_average,ASTC_High_max,ASTC_High_min,ASTC_High_volatility,ASTC_High_change,ASTC_Low_average,ASTC_Low_max,ASTC_Low_min,ASTC_Low_volatility,ASTC_Low_change,ASTC_Close_average,ASTC_Close_max,ASTC_Close_min,ASTC_Close_volatility,ASTC_Close_change,ASTC_Volume_average,ASTC_Volume_max,ASTC_Volume_min,ASTC_Volume_volatility,ASTC_Volume_change
2018-01-14,3.1935,3.36,3.08,0.2799999999999998,-0.2799999999999998,3.39625,3.61,3.207,0.403,-0.403,3.1174999999999997,3.25,3.0,0.25,-0.25,3.1675,3.27,3.12,0.1499999999999999,-0.1499999999999999,32728,57744,13040,44704,-25019
2018-01-21,3.152,3.2,3.08,0.1200000000000001,-0.040000000000000036,3.2840000000000003,3.45,3.14,0.31000000000000005,0.11000000000000032,3.0696,3.133,3.03,0.1030000000000002,0.05799999999999983,3.152,3.22,3.09,0.13000000000000034,0.0900000000000003,22834,32481,13686,18795,-2038
2018-01-28,3.3218,3.42,3.12,0.2999999999999998,-0.2999999999999998,3.4258,3.57,3.27,0.2999999999999998,-0.29000000000000004,3.1326,3.241,3.011,0.22999999999999998,-0.22999999999999998,3.218,3.36,3.05,0.31000000000000005,-0.28000000000000025,31450,69113,14202,54911,-20820
2018-02-04,3.033,3.14,2.885,0.25500000000000034,-0.25500000000000034,3.0634,3.147,2.9,0.2469999999999999,-0.2400000000000002,2.814,2.9,2.71,0.18999999999999995,-0.16000000000000014,2.91,3.06,2.74,0.31999999999999984,-0.13999999999999968,32494,52266,19251,33015,-20104
2018-02-11,2.918,3.02,2.77,0.25,0.18999999999999995,3.132,3.45,2.94,0.5100000000000002,0.5100000000000002,2.78,2.86,2.71,0.1499999999999999,0.1499999999999999,3.0060000000000002,3.24,2.83,0.41000000000000014,0.41000000000000014,49537,100969,26831,74138,74138
2018-02-18,3.12175,3.25,3.04,0.20999999999999996,-0.20999999999999996,3.25725,3.35,3.09,0.26000000000000023,-0.028999999999999915,2.954,3.12,2.85,0.27,-0.20999999999999996,3.0475,3.14,2.93,0.20999999999999996,-0.03000000000000025,22213,63285,3527,59758,-5639
2018-02-25,3.008,3.12,2.89,0.22999999999999998,-0.10000000000000009,3.122,3.23,3.06,0.16999999999999993,0.08999999999999986,2.89,2.98,2.79,0.18999999999999995,-0.18999999999999995,2.97,3.08,2.87,0.20999999999999996,-0.13999999999999968,37387,77433,10345,67088,58666
2018-03-04,2.866,2.94,2.74,0.19999999999999973,-0.17999999999999972,2.9252,3.07,2.766,0.3039999999999998,-0.23399999999999999,2.7026,2.81,2.56,0.25,-0.19999999999999973,2.806,2.93,2.64,0.29000000000000004,-0.21999999999999975,27855,47071,6891,40180,23454
2018-03-11,2.774,2.87,2.66,0.20999999999999996,0.19999999999999973,2.8818,2.97,2.77,0.20000000000000018,0.1499999999999999,2.576,2.61,2.54,0.06999999999999984,-0.06000000000000005,2.77,2.96,2.61,0.3500000000000001,-0.1499999999999999,28461,46157,14277,31880,24149
2018-03-18,2.636,2.74,2.53,0.2100000000000004,-0.0900000000000003,2.6818,2.76,2.53,0.22999999999999998,-0.21899999999999986,2.484,2.53,2.37,0.1599999999999997,-0.13999999999999968,2.598,2.73,2.49,0.23999999999999977,-0.21999999999999975,24330,33078,14841,18237,12183
2018-03-25,2.51,2.69,2.18,0.5099999999999998,0.5099999999999998,2.8175,3.4,2.48,0.9199999999999999,0.20999999999999996,2.34275,2.521,2.01,0.5110000000000001,0.5110000000000001,2.4675,2.65,2.02,0.6299999999999999,0.6299999999999999,1192771,4289718,83023,4206695,-29221
2018-04-01,2.624,2.96,2.42,0.54,-0.14000000000000012,2.668,3.04,2.47,0.5699999999999998,-0.1299999999999999,2.372,2.47,2.26,0.2100000000000004,0.13000000000000034,2.4899999999999998,2.57,2.31,0.2599999999999998,0.03999999999999959,450795,1898345,51818,1846527,8117
2018-04-08,2.5022,2.54,2.46,0.08000000000000007,-0.010000000000000231,2.5498,2.5789999999999997,2.53,0.04899999999999993,-0.04899999999999993,2.4118,2.451,2.36,0.09100000000000019,0.040000000000000036,2.5,2.57,2.41,0.1599999999999997,-0.1599999999999997,31399,53124,14833,38291,-24072
2018-04-15,2.336,2.41,2.27,0.14000000000000012,-0.07000000000000028,2.38,2.45,2.31,0.14000000000000012,-0.13000000000000034,2.234,2.37,2.13,0.2400000000000002,-0.16000000000000014,2.308,2.41,2.25,0.16000000000000014,-0.14000000000000012,21058,45028,6404,38624,-7990
2018-04-22,2.2294,2.27,2.162,0.1080000000000001,-0.04600000000000026,2.25,2.3,2.18,0.11999999999999966,-0.04999999999999982,2.1654,2.201,2.136,0.06499999999999995,-0.01399999999999979,2.228,2.29,2.17,0.1200000000000001,-0.06000000000000005,16667,23086,8300,14786,-6928
