Date,ProShares Ultra VIX Short-Term Futures_Open_average,ProShares Ultra VIX Short-Term Futures_Open_max,ProShares Ultra VIX Short-Term Futures_Open_min,ProShares Ultra VIX Short-Term Futures_Open_volatility,ProShares Ultra VIX Short-Term Futures_Open_change,ProShares Ultra VIX Short-Term Futures_High_average,ProShares Ultra VIX Short-Term Futures_High_max,ProShares Ultra VIX Short-Term Futures_High_min,ProShares Ultra VIX Short-Term Futures_High_volatility,ProShares Ultra VIX Short-Term Futures_High_change,ProShares Ultra VIX Short-Term Futures_Low_average,ProShares Ultra VIX Short-Term Futures_Low_max,ProShares Ultra VIX Short-Term Futures_Low_min,ProShares Ultra VIX Short-Term Futures_Low_volatility,ProShares Ultra VIX Short-Term Futures_Low_change,ProShares Ultra VIX Short-Term Futures_Close_average,ProShares Ultra VIX Short-Term Futures_Close_max,ProShares Ultra VIX Short-Term Futures_Close_min,ProShares Ultra VIX Short-Term Futures_Close_volatility,ProShares Ultra VIX Short-Term Futures_Close_change
2018-01-14,47.35,47.35,47.35,0.0,0.0,47.45,47.45,47.45,0.0,0.0,43.9,43.9,43.9,0.0,0.0,44.6,44.6,44.6,0.0,0.0
2018-01-21,51.9,51.9,51.9,0.0,0.0,57.0,57.0,57.0,0.0,0.0,51.4,51.4,51.4,0.0,0.0,56.65,56.65,56.65,0.0,0.0
2018-01-28,75.95,75.95,75.95,0.0,0.0,117.95,117.95,117.95,0.0,0.0,65.8,65.8,65.8,0.0,0.0,114.35,114.35,114.35,0.0,0.0
2018-02-04,108.65,108.65,108.65,0.0,0.0,119.4,119.4,119.4,0.0,0.0,103.3,103.3,103.3,0.0,0.0,106.55,106.55,106.55,0.0,0.0
2018-02-11,83.15,83.15,83.15,0.0,0.0,84.2,84.2,84.2,0.0,0.0,74.7,74.7,74.7,0.0,0.0,80.95,80.95,80.95,0.0,0.0
2018-02-18,70.15,70.15,70.15,0.0,0.0,72.35,72.35,72.35,0.0,0.0,67.6,67.6,67.6,0.0,0.0,67.95,67.95,67.95,0.0,0.0
2018-02-25,91.1,91.1,91.1,0.0,0.0,91.3,91.3,91.3,0.0,0.0,81.72,81.72,81.72,0.0,0.0,82.7,82.7,82.7,0.0,0.0
2018-03-04,70.1,70.1,70.1,0.0,0.0,73.8,73.8,73.8,0.0,0.0,69.36,69.36,69.36,0.0,0.0,72.65,72.65,72.65,0.0,0.0
2018-03-11,74.0,74.0,74.0,0.0,0.0,87.2,87.2,87.2,0.0,0.0,73.85,73.85,73.85,0.0,0.0,82.0,82.0,82.0,0.0,0.0
2018-03-18,90.55,90.55,90.55,0.0,0.0,99.55,99.55,99.55,0.0,0.0,89.6,89.6,89.6,0.0,0.0,89.85,89.85,89.85,0.0,0.0
2018-03-25,96.8,96.8,96.8,0.0,0.0,112.0,112.0,112.0,0.0,0.0,95.35,95.35,95.35,0.0,0.0,105.9,105.9,105.9,0.0,0.0
2018-04-01,97.3,97.3,97.3,0.0,0.0,100.85,100.85,100.85,0.0,0.0,95.22,95.22,95.22,0.0,0.0,100.0,100.0,100.0,0.0,0.0
2018-04-08,83.5,83.5,83.5,0.0,0.0,83.5,83.5,83.5,0.0,0.0,79.1,79.1,79.1,0.0,0.0,79.75,79.75,79.75,0.0,0.0
2018-04-15,76.45,76.45,76.45,0.0,0.0,79.2,79.2,79.2,0.0,0.0,73.85,73.85,73.85,0.0,0.0,76.6,76.6,76.6,0.0,0.0
