Date,Deutsche X-trackers MSCI All World ex US High Divi_Open_average,Deutsche X-trackers MSCI All World ex US High Divi_Open_max,Deutsche X-trackers MSCI All World ex US High Divi_Open_min,Deutsche X-trackers MSCI All World ex US High Divi_Open_volatility,Deutsche X-trackers MSCI All World ex US High Divi_Open_change,Deutsche X-trackers MSCI All World ex US High Divi_High_average,Deutsche X-trackers MSCI All World ex US High Divi_High_max,Deutsche X-trackers MSCI All World ex US High Divi_High_min,Deutsche X-trackers MSCI All World ex US High Divi_High_volatility,Deutsche X-trackers MSCI All World ex US High Divi_High_change,Deutsche X-trackers MSCI All World ex US High Divi_Low_average,Deutsche X-trackers MSCI All World ex US High Divi_Low_max,Deutsche X-trackers MSCI All World ex US High Divi_Low_min,Deutsche X-trackers MSCI All World ex US High Divi_Low_volatility,Deutsche X-trackers MSCI All World ex US High Divi_Low_change,Deutsche X-trackers MSCI All World ex US High Divi_Close_average,Deutsche X-trackers MSCI All World ex US High Divi_Close_max,Deutsche X-trackers MSCI All World ex US High Divi_Close_min,Deutsche X-trackers MSCI All World ex US High Divi_Close_volatility,Deutsche X-trackers MSCI All World ex US High Divi_Close_change
2018-01-14,27.39,27.39,27.39,0.0,0.0,27.39,27.39,27.39,0.0,0.0,27.39,27.39,27.39,0.0,0.0,27.39,27.39,27.39,0.0,0.0
2018-01-21,27.35,27.35,27.35,0.0,0.0,27.35,27.35,27.35,0.0,0.0,27.25,27.25,27.25,0.0,0.0,27.25,27.25,27.25,0.0,0.0
2018-01-28,26.44,26.44,26.44,0.0,0.0,26.44,26.44,26.44,0.0,0.0,26.44,26.44,26.44,0.0,0.0,26.44,26.44,26.44,0.0,0.0
2018-02-04,25.85,25.85,25.85,0.0,0.0,25.85,25.85,25.85,0.0,0.0,25.85,25.85,25.85,0.0,0.0,25.85,25.85,25.85,0.0,0.0
2018-02-11,26.68,26.68,26.68,0.0,0.0,26.77,26.77,26.77,0.0,0.0,26.68,26.68,26.68,0.0,0.0,26.75,26.75,26.75,0.0,0.0
2018-02-18,26.94,26.94,26.94,0.0,0.0,26.94,26.94,26.94,0.0,0.0,26.94,26.94,26.94,0.0,0.0,26.94,26.94,26.94,0.0,0.0
2018-02-25,26.13,26.13,26.13,0.0,0.0,26.13,26.13,26.13,0.0,0.0,26.13,26.13,26.13,0.0,0.0,26.13,26.13,26.13,0.0,0.0
2018-03-04,26.54,26.54,26.54,0.0,0.0,26.54,26.54,26.54,0.0,0.0,26.51,26.51,26.51,0.0,0.0,26.51,26.51,26.51,0.0,0.0
2018-03-11,26.35,26.35,26.35,0.0,0.0,26.35,26.35,26.35,0.0,0.0,26.34,26.34,26.34,0.0,0.0,26.34,26.34,26.34,0.0,0.0
2018-03-18,25.86,25.86,25.86,0.0,0.0,25.96,25.96,25.96,0.0,0.0,25.86,25.86,25.86,0.0,0.0,25.96,25.96,25.96,0.0,0.0
2018-03-25,25.97,25.97,25.97,0.0,0.0,25.97,25.97,25.97,0.0,0.0,25.97,25.97,25.97,0.0,0.0,25.97,25.97,25.97,0.0,0.0
2018-04-01,25.73,25.73,25.73,0.0,0.0,25.73,25.73,25.73,0.0,0.0,25.73,25.73,25.73,0.0,0.0,25.73,25.73,25.73,0.0,0.0
2018-04-08,26.32,26.32,26.32,0.0,0.0,26.33,26.33,26.33,0.0,0.0,26.32,26.32,26.32,0.0,0.0,26.32,26.32,26.32,0.0,0.0
2018-04-15,26.56,26.56,26.56,0.0,0.0,26.56,26.56,26.56,0.0,0.0,26.56,26.56,26.56,0.0,0.0,26.56,26.56,26.56,0.0,0.0
2018-04-22,26.24,26.24,26.24,0.0,0.0,26.24,26.24,26.24,0.0,0.0,26.24,26.24,26.24,0.0,0.0,26.24,26.24,26.24,0.0,0.0
2018-04-29,26.25,26.25,26.25,0.0,0.0,26.3,26.3,26.3,0.0,0.0,26.17,26.17,26.17,0.0,0.0,26.23,26.23,26.23,0.0,0.0
2018-05-06,26.72,26.72,26.72,0.0,0.0,26.72,26.72,26.72,0.0,0.0,26.61,26.61,26.61,0.0,0.0,26.61,26.61,26.61,0.0,0.0
2018-05-13,26.41,26.41,26.41,0.0,0.0,26.41,26.41,26.41,0.0,0.0,26.41,26.41,26.41,0.0,0.0,26.41,26.41,26.41,0.0,0.0
