Date,WisdomTree International High Dividend_Open_average,WisdomTree International High Dividend_Open_max,WisdomTree International High Dividend_Open_min,WisdomTree International High Dividend_Open_volatility,WisdomTree International High Dividend_Open_change,WisdomTree International High Dividend_High_average,WisdomTree International High Dividend_High_max,WisdomTree International High Dividend_High_min,WisdomTree International High Dividend_High_volatility,WisdomTree International High Dividend_High_change,WisdomTree International High Dividend_Low_average,WisdomTree International High Dividend_Low_max,WisdomTree International High Dividend_Low_min,WisdomTree International High Dividend_Low_volatility,WisdomTree International High Dividend_Low_change,WisdomTree International High Dividend_Close_average,WisdomTree International High Dividend_Close_max,WisdomTree International High Dividend_Close_min,WisdomTree International High Dividend_Close_volatility,WisdomTree International High Dividend_Close_change
2018-01-14,46.5,46.5,46.5,0.0,0.0,46.5,46.5,46.5,0.0,0.0,46.37,46.37,46.37,0.0,0.0,46.45,46.45,46.45,0.0,0.0
2018-01-21,47.27,47.27,47.27,0.0,0.0,47.4,47.4,47.4,0.0,0.0,47.21,47.21,47.21,0.0,0.0,47.36,47.36,47.36,0.0,0.0
2018-01-28,46.22,46.22,46.22,0.0,0.0,46.22,46.22,46.22,0.0,0.0,45.69,45.69,45.69,0.0,0.0,45.69,45.69,45.69,0.0,0.0
2018-02-04,43.27,43.27,43.27,0.0,0.0,43.27,43.27,43.27,0.0,0.0,42.12,42.12,42.12,0.0,0.0,43.12,43.12,43.12,0.0,0.0
2018-02-11,44.65,44.65,44.65,0.0,0.0,44.97,44.97,44.97,0.0,0.0,44.59,44.59,44.59,0.0,0.0,44.67,44.67,44.67,0.0,0.0
2018-02-18,44.6,44.6,44.6,0.0,0.0,44.86,44.86,44.86,0.0,0.0,44.6,44.6,44.6,0.0,0.0,44.86,44.86,44.86,0.0,0.0
2018-02-25,43.38,43.38,43.38,0.0,0.0,43.73,43.73,43.73,0.0,0.0,43.24,43.24,43.24,0.0,0.0,43.71,43.71,43.71,0.0,0.0
2018-03-04,44.24,44.24,44.24,0.0,0.0,44.42,44.42,44.42,0.0,0.0,44.24,44.24,44.24,0.0,0.0,44.39,44.39,44.39,0.0,0.0
2018-03-11,44.12,44.12,44.12,0.0,0.0,44.25,44.25,44.25,0.0,0.0,44.12,44.12,44.12,0.0,0.0,44.2,44.2,44.2,0.0,0.0
2018-03-18,43.1,43.1,43.1,0.0,0.0,43.14,43.14,43.14,0.0,0.0,42.53,42.53,42.53,0.0,0.0,42.53,42.53,42.53,0.0,0.0
2018-03-25,43.48,43.48,43.48,0.0,0.0,43.67,43.67,43.67,0.0,0.0,43.37,43.37,43.37,0.0,0.0,43.57,43.57,43.57,0.0,0.0
2018-04-01,43.81,43.81,43.81,0.0,0.0,43.87,43.87,43.87,0.0,0.0,43.36,43.36,43.36,0.0,0.0,43.42,43.42,43.42,0.0,0.0
2018-04-08,44.46,44.46,44.46,0.0,0.0,44.46,44.46,44.46,0.0,0.0,44.27,44.27,44.27,0.0,0.0,44.36,44.36,44.36,0.0,0.0
2018-04-15,44.49,44.49,44.49,0.0,0.0,44.58,44.58,44.58,0.0,0.0,44.4,44.4,44.4,0.0,0.0,44.56,44.56,44.56,0.0,0.0
2018-04-22,44.36,44.36,44.36,0.0,0.0,44.57,44.57,44.57,0.0,0.0,44.36,44.36,44.36,0.0,0.0,44.55,44.55,44.55,0.0,0.0
2018-04-29,43.93,43.93,43.93,0.0,0.0,44.46,44.46,44.46,0.0,0.0,43.93,43.93,43.93,0.0,0.0,44.36,44.36,44.36,0.0,0.0
2018-05-06,44.84,44.84,44.84,0.0,0.0,44.87,44.87,44.87,0.0,0.0,44.78,44.78,44.78,0.0,0.0,44.8,44.8,44.8,0.0,0.0
2018-05-13,44.48,44.48,44.48,0.0,0.0,44.48,44.48,44.48,0.0,0.0,44.42,44.42,44.42,0.0,0.0,44.43,44.43,44.43,0.0,0.0
2018-05-20,43.38,43.38,43.38,0.0,0.0,43.38,43.38,43.38,0.0,0.0,43.23,43.23,43.23,0.0,0.0,43.3,43.3,43.3,0.0,0.0
2018-05-27,43.13,43.13,43.13,0.0,0.0,43.24,43.24,43.24,0.0,0.0,43.0,43.0,43.0,0.0,0.0,43.17,43.17,43.17,0.0,0.0
2018-06-03,43.49,43.49,43.49,0.0,0.0,43.52,43.52,43.52,0.0,0.0,43.35,43.35,43.35,0.0,0.0,43.4,43.4,43.4,0.0,0.0
2018-06-10,43.1,43.1,43.1,0.0,0.0,43.1,43.1,43.1,0.0,0.0,42.87,42.87,42.87,0.0,0.0,43.05,43.05,43.05,0.0,0.0
2018-06-17,42.72,42.72,42.72,0.0,0.0,42.84,42.84,42.84,0.0,0.0,42.72,42.72,42.72,0.0,0.0,42.72,42.72,42.72,0.0,0.0
2018-06-24,41.53,41.53,41.53,0.0,0.0,41.66,41.66,41.66,0.0,0.0,41.36,41.36,41.36,0.0,0.0,41.4,41.4,41.4,0.0,0.0
2018-07-01,41.99,41.99,41.99,0.0,0.0,42.23,42.23,42.23,0.0,0.0,41.99,41.99,41.99,0.0,0.0,42.16,42.16,42.16,0.0,0.0
2018-07-08,41.83,41.83,41.83,0.0,0.0,41.95,41.95,41.95,0.0,0.0,41.77,41.77,41.77,0.0,0.0,41.93,41.93,41.93,0.0,0.0
2018-07-15,41.77,41.77,41.77,0.0,0.0,42.07,42.07,42.07,0.0,0.0,41.77,41.77,41.77,0.0,0.0,42.03,42.03,42.03,0.0,0.0
2018-07-22,42.52,42.52,42.52,0.0,0.0,42.64,42.64,42.64,0.0,0.0,42.39,42.39,42.39,0.0,0.0,42.44,42.44,42.44,0.0,0.0
2018-07-29,42.1,42.1,42.1,0.0,0.0,42.2,42.2,42.2,0.0,0.0,42.1,42.1,42.1,0.0,0.0,42.18,42.18,42.18,0.0,0.0
2018-08-05,41.45,41.45,41.45,0.0,0.0,41.49,41.49,41.49,0.0,0.0,41.3,41.3,41.3,0.0,0.0,41.42,41.42,41.42,0.0,0.0
2018-08-12,40.91,40.91,40.91,0.0,0.0,41.35,41.35,41.35,0.0,0.0,40.91,40.91,40.91,0.0,0.0,41.2,41.2,41.2,0.0,0.0
2018-08-19,41.67,41.67,41.67,0.0,0.0,41.8,41.8,41.8,0.0,0.0,41.67,41.67,41.67,0.0,0.0,41.79,41.79,41.79,0.0,0.0
2018-08-26,41.64,41.64,41.64,0.0,0.0,41.75,41.75,41.75,0.0,0.0,41.35,41.35,41.35,0.0,0.0,41.48,41.48,41.48,0.0,0.0
2018-09-02,40.47,40.47,40.47,0.0,0.0,40.72,40.72,40.72,0.0,0.0,40.47,40.47,40.47,0.0,0.0,40.5,40.5,40.5,0.0,0.0
2018-09-09,41.46,41.46,41.46,0.0,0.0,41.5,41.5,41.5,0.0,0.0,41.33,41.33,41.33,0.0,0.0,41.43,41.43,41.43,0.0,0.0
2018-09-16,42.48,42.48,42.48,0.0,0.0,42.59,42.59,42.59,0.0,0.0,42.48,42.48,42.48,0.0,0.0,42.54,42.54,42.54,0.0,0.0
2018-09-23,41.76,41.76,41.76,0.0,0.0,41.93,41.93,41.93,0.0,0.0,41.69,41.69,41.69,0.0,0.0,41.78,41.78,41.78,0.0,0.0
2018-09-30,41.19,41.19,41.19,0.0,0.0,41.24,41.24,41.24,0.0,0.0,40.95,40.95,40.95,0.0,0.0,41.08,41.08,41.08,0.0,0.0
2018-10-07,39.98,39.98,39.98,0.0,0.0,40.0,40.0,40.0,0.0,0.0,39.46,39.46,39.46,0.0,0.0,39.8,39.8,39.8,0.0,0.0
2018-10-14,39.91,39.91,39.91,0.0,0.0,40.05,40.05,40.05,0.0,0.0,39.91,39.91,39.91,0.0,0.0,39.98,39.98,39.98,0.0,0.0
2018-10-21,38.3,38.3,38.3,0.0,0.0,38.72,38.72,38.72,0.0,0.0,38.16,38.16,38.16,0.0,0.0,38.54,38.54,38.54,0.0,0.0
2018-10-28,39.78,39.78,39.78,0.0,0.0,39.89,39.89,39.89,0.0,0.0,39.34,39.34,39.34,0.0,0.0,39.52,39.52,39.52,0.0,0.0
2018-11-04,39.82,39.82,39.82,0.0,0.0,39.86,39.86,39.86,0.0,0.0,39.56,39.56,39.56,0.0,0.0,39.72,39.72,39.72,0.0,0.0
2018-11-11,39.27,39.27,39.27,0.0,0.0,39.6,39.6,39.6,0.0,0.0,39.27,39.27,39.27,0.0,0.0,39.53,39.53,39.53,0.0,0.0
2018-11-18,38.66,38.66,38.66,0.0,0.0,38.89,38.89,38.89,0.0,0.0,38.66,38.66,38.66,0.0,0.0,38.74,38.74,38.74,0.0,0.0
2018-11-25,39.24,39.24,39.24,0.0,0.0,39.39,39.39,39.39,0.0,0.0,39.24,39.24,39.24,0.0,0.0,39.38,39.38,39.38,0.0,0.0
2018-12-02,38.53,38.53,38.53,0.0,0.0,38.61,38.61,38.61,0.0,0.0,38.06,38.06,38.06,0.0,0.0,38.17,38.17,38.17,0.0,0.0
2018-12-09,38.02,38.02,38.02,0.0,0.0,38.09,38.09,38.09,0.0,0.0,37.88,37.88,37.88,0.0,0.0,37.88,37.88,37.88,0.0,0.0
2018-12-16,37.1,37.1,37.1,0.0,0.0,37.31,37.31,37.31,0.0,0.0,36.68,36.68,36.68,0.0,0.0,36.77,36.77,36.77,0.0,0.0
2018-12-23,37.2,37.2,37.2,0.0,0.0,37.37,37.37,37.37,0.0,0.0,36.98,36.98,36.98,0.0,0.0,37.12,37.12,37.12,0.0,0.0
2018-12-30,37.4,37.4,37.4,0.0,0.0,38.03,38.03,38.03,0.0,0.0,37.4,37.4,37.4,0.0,0.0,37.98,37.98,37.98,0.0,0.0
2019-01-06,38.61,38.61,38.61,0.0,0.0,38.7,38.7,38.7,0.0,0.0,38.52,38.52,38.52,0.0,0.0,38.6,38.6,38.6,0.0,0.0
2019-01-13,39.13,39.13,39.13,0.0,0.0,39.18,39.18,39.18,0.0,0.0,39.03,39.03,39.03,0.0,0.0,39.16,39.16,39.16,0.0,0.0
2019-01-20,39.02,39.02,39.02,0.0,0.0,39.2,39.2,39.2,0.0,0.0,39.02,39.02,39.02,0.0,0.0,39.12,39.12,39.12,0.0,0.0
2019-01-27,39.49,39.49,39.49,0.0,0.0,39.6,39.6,39.6,0.0,0.0,39.45,39.45,39.45,0.0,0.0,39.5,39.5,39.5,0.0,0.0
2019-02-03,39.1,39.1,39.1,0.0,0.0,39.13,39.13,39.13,0.0,0.0,38.94,38.94,38.94,0.0,0.0,39.11,39.11,39.11,0.0,0.0
2019-02-10,39.69,39.69,39.69,0.0,0.0,39.88,39.88,39.88,0.0,0.0,39.69,39.69,39.69,0.0,0.0,39.88,39.88,39.88,0.0,0.0
2019-02-17,40.19,40.19,40.19,0.0,0.0,40.26,40.26,40.26,0.0,0.0,40.15,40.15,40.15,0.0,0.0,40.18,40.18,40.18,0.0,0.0
2019-02-24,40.48,40.48,40.48,0.0,0.0,40.58,40.58,40.58,0.0,0.0,40.38,40.38,40.38,0.0,0.0,40.47,40.47,40.47,0.0,0.0
2019-03-03,39.64,39.64,39.64,0.0,0.0,39.85,39.85,39.85,0.0,0.0,39.64,39.64,39.64,0.0,0.0,39.83,39.83,39.83,0.0,0.0
2019-03-10,40.87,40.87,40.87,0.0,0.0,40.98,40.98,40.98,0.0,0.0,40.85,40.85,40.85,0.0,0.0,40.94,40.94,40.94,0.0,0.0
2019-03-17,40.73,40.73,40.73,0.0,0.0,40.76,40.76,40.76,0.0,0.0,40.37,40.37,40.37,0.0,0.0,40.41,40.41,40.41,0.0,0.0
