Date,ProShares Global Listed Private Equity_Open_average,ProShares Global Listed Private Equity_Open_max,ProShares Global Listed Private Equity_Open_min,ProShares Global Listed Private Equity_Open_volatility,ProShares Global Listed Private Equity_Open_change,ProShares Global Listed Private Equity_High_average,ProShares Global Listed Private Equity_High_max,ProShares Global Listed Private Equity_High_min,ProShares Global Listed Private Equity_High_volatility,ProShares Global Listed Private Equity_High_change,ProShares Global Listed Private Equity_Low_average,ProShares Global Listed Private Equity_Low_max,ProShares Global Listed Private Equity_Low_min,ProShares Global Listed Private Equity_Low_volatility,ProShares Global Listed Private Equity_Low_change,ProShares Global Listed Private Equity_Close_average,ProShares Global Listed Private Equity_Close_max,ProShares Global Listed Private Equity_Close_min,ProShares Global Listed Private Equity_Close_volatility,ProShares Global Listed Private Equity_Close_change
2018-01-14,37.27,37.27,37.27,0.0,0.0,37.27,37.27,37.27,0.0,0.0,37.22,37.22,37.22,0.0,0.0,37.25,37.25,37.25,0.0,0.0
2018-01-21,37.93,37.93,37.93,0.0,0.0,37.93,37.93,37.93,0.0,0.0,37.65,37.65,37.65,0.0,0.0,37.69,37.69,37.69,0.0,0.0
2018-01-28,36.35,36.35,36.35,0.0,0.0,36.66,36.66,36.66,0.0,0.0,35.01,35.01,35.01,0.0,0.0,35.56,35.56,35.56,0.0,0.0
2018-02-04,35.52,35.52,35.52,0.0,0.0,35.53,35.53,35.53,0.0,0.0,35.5,35.5,35.5,0.0,0.0,35.53,35.53,35.53,0.0,0.0
2018-02-11,36.38,36.38,36.38,0.0,0.0,36.58,36.58,36.58,0.0,0.0,36.38,36.38,36.38,0.0,0.0,36.4,36.4,36.4,0.0,0.0
2018-02-18,36.47,36.47,36.47,0.0,0.0,36.5,36.5,36.5,0.0,0.0,36.44,36.44,36.44,0.0,0.0,36.44,36.44,36.44,0.0,0.0
2018-02-25,35.74,35.74,35.74,0.0,0.0,35.95,35.95,35.95,0.0,0.0,35.74,35.74,35.74,0.0,0.0,35.95,35.95,35.95,0.0,0.0
2018-03-04,36.54,36.54,36.54,0.0,0.0,36.54,36.54,36.54,0.0,0.0,36.41,36.41,36.41,0.0,0.0,36.41,36.41,36.41,0.0,0.0
2018-03-11,36.28,36.28,36.28,0.0,0.0,36.28,36.28,36.28,0.0,0.0,36.05,36.05,36.05,0.0,0.0,36.05,36.05,36.05,0.0,0.0
2018-03-18,36.14,36.14,36.14,0.0,0.0,36.14,36.14,36.14,0.0,0.0,35.82,35.82,35.82,0.0,0.0,35.82,35.82,35.82,0.0,0.0
2018-03-25,35.35,35.35,35.35,0.0,0.0,35.68,35.68,35.68,0.0,0.0,35.33,35.33,35.33,0.0,0.0,35.68,35.68,35.68,0.0,0.0
2018-04-01,36.04,36.04,36.04,0.0,0.0,36.25,36.25,36.25,0.0,0.0,36.04,36.04,36.04,0.0,0.0,36.2,36.2,36.2,0.0,0.0
2018-04-08,36.04,36.04,36.04,0.0,0.0,36.04,36.04,36.04,0.0,0.0,36.04,36.04,36.04,0.0,0.0,36.04,36.04,36.04,0.0,0.0
2018-04-15,36.31,36.31,36.31,0.0,0.0,36.31,36.31,36.31,0.0,0.0,36.3,36.3,36.3,0.0,0.0,36.3,36.3,36.3,0.0,0.0
2018-04-22,36.41,36.41,36.41,0.0,0.0,36.44,36.44,36.44,0.0,0.0,36.35,36.35,36.35,0.0,0.0,36.36,36.36,36.36,0.0,0.0
2018-04-29,36.25,36.25,36.25,0.0,0.0,36.59,36.59,36.59,0.0,0.0,36.25,36.25,36.25,0.0,0.0,36.44,36.44,36.44,0.0,0.0
2018-05-06,36.85,36.85,36.85,0.0,0.0,36.85,36.85,36.85,0.0,0.0,36.61,36.61,36.61,0.0,0.0,36.73,36.73,36.73,0.0,0.0
2018-05-13,36.79,36.79,36.79,0.0,0.0,37.07,37.07,37.07,0.0,0.0,36.79,36.79,36.79,0.0,0.0,36.94,36.94,36.94,0.0,0.0
