Date,ProShares UltraShort YenEtf_Open_average,ProShares UltraShort YenEtf_Open_max,ProShares UltraShort YenEtf_Open_min,ProShares UltraShort YenEtf_Open_volatility,ProShares UltraShort YenEtf_Open_change,ProShares UltraShort YenEtf_High_average,ProShares UltraShort YenEtf_High_max,ProShares UltraShort YenEtf_High_min,ProShares UltraShort YenEtf_High_volatility,ProShares UltraShort YenEtf_High_change,ProShares UltraShort YenEtf_Low_average,ProShares UltraShort YenEtf_Low_max,ProShares UltraShort YenEtf_Low_min,ProShares UltraShort YenEtf_Low_volatility,ProShares UltraShort YenEtf_Low_change,ProShares UltraShort YenEtf_Close_average,ProShares UltraShort YenEtf_Close_max,ProShares UltraShort YenEtf_Close_min,ProShares UltraShort YenEtf_Close_volatility,ProShares UltraShort YenEtf_Close_change
2018-01-14,72.32,72.32,72.32,0.0,0.0,72.44,72.44,72.44,0.0,0.0,72.16,72.16,72.16,0.0,0.0,72.44,72.44,72.44,0.0,0.0
2018-01-21,69.82,69.82,69.82,0.0,0.0,70.24,70.24,70.24,0.0,0.0,69.27,69.27,69.27,0.0,0.0,69.83,69.83,69.83,0.0,0.0
2018-01-28,71.88,71.88,71.88,0.0,0.0,72.06,72.06,72.06,0.0,0.0,71.58,71.58,71.58,0.0,0.0,71.7,71.7,71.7,0.0,0.0
2018-02-04,70.1,70.1,70.1,0.0,0.0,70.2,70.2,70.2,0.0,0.0,69.05,69.05,69.05,0.0,0.0,69.93,69.93,69.93,0.0,0.0
2018-02-11,66.72,66.72,66.72,0.0,0.0,66.88,66.88,66.88,0.0,0.0,66.41,66.41,66.41,0.0,0.0,66.84,66.84,66.84,0.0,0.0
2018-02-18,67.53,67.53,67.53,0.0,0.0,67.53,67.53,67.53,0.0,0.0,67.19,67.19,67.19,0.0,0.0,67.26,67.26,67.26,0.0,0.0
2018-02-25,65.67,65.67,65.67,0.0,0.0,66.13,66.13,66.13,0.0,0.0,65.55,65.55,65.55,0.0,0.0,66.08,66.08,66.08,0.0,0.0
2018-03-04,67.69,67.69,67.69,0.0,0.0,67.79,67.79,67.79,0.0,0.0,67.42,67.42,67.42,0.0,0.0,67.54,67.54,67.54,0.0,0.0
2018-03-11,66.41,66.41,66.41,0.0,0.0,66.77,66.77,66.77,0.0,0.0,66.41,66.41,66.41,0.0,0.0,66.66,66.66,66.66,0.0,0.0
2018-03-18,65.59,65.59,65.59,0.0,0.0,65.64,65.64,65.64,0.0,0.0,64.93,64.93,64.93,0.0,0.0,65.13,65.13,65.13,0.0,0.0
2018-03-25,67.21,67.21,67.21,0.0,0.0,67.4,67.4,67.4,0.0,0.0,67.06,67.06,67.06,0.0,0.0,67.14,67.14,67.14,0.0,0.0
2018-04-01,68.16,68.16,68.16,0.0,0.0,68.25,68.25,68.25,0.0,0.0,67.69,67.69,67.69,0.0,0.0,67.77,67.77,67.77,0.0,0.0
2018-04-08,68.92,68.92,68.92,0.0,0.0,68.92,68.92,68.92,0.0,0.0,68.37,68.37,68.37,0.0,0.0,68.48,68.48,68.48,0.0,0.0
2018-04-15,69.0,69.0,69.0,0.0,0.0,69.09,69.09,69.09,0.0,0.0,68.81,68.81,68.81,0.0,0.0,68.9,68.9,68.9,0.0,0.0
2018-04-22,70.76,70.76,70.76,0.0,0.0,70.8,70.8,70.8,0.0,0.0,70.72,70.72,70.72,0.0,0.0,70.75,70.75,70.75,0.0,0.0
