Date,AlphaClone Alternative Alpha_Open_average,AlphaClone Alternative Alpha_Open_max,AlphaClone Alternative Alpha_Open_min,AlphaClone Alternative Alpha_Open_volatility,AlphaClone Alternative Alpha_Open_change,AlphaClone Alternative Alpha_High_average,AlphaClone Alternative Alpha_High_max,AlphaClone Alternative Alpha_High_min,AlphaClone Alternative Alpha_High_volatility,AlphaClone Alternative Alpha_High_change,AlphaClone Alternative Alpha_Low_average,AlphaClone Alternative Alpha_Low_max,AlphaClone Alternative Alpha_Low_min,AlphaClone Alternative Alpha_Low_volatility,AlphaClone Alternative Alpha_Low_change,AlphaClone Alternative Alpha_Close_average,AlphaClone Alternative Alpha_Close_max,AlphaClone Alternative Alpha_Close_min,AlphaClone Alternative Alpha_Close_volatility,AlphaClone Alternative Alpha_Close_change
2018-01-14,45.83,45.83,45.83,0.0,0.0,45.9,45.9,45.9,0.0,0.0,45.83,45.83,45.83,0.0,0.0,45.9,45.9,45.9,0.0,0.0
2018-01-21,45.97,45.97,45.97,0.0,0.0,46.33,46.33,46.33,0.0,0.0,45.97,45.97,45.97,0.0,0.0,46.33,46.33,46.33,0.0,0.0
2018-01-28,45.16,45.16,45.16,0.0,0.0,45.34,45.34,45.34,0.0,0.0,44.7,44.7,44.7,0.0,0.0,44.7,44.7,44.7,0.0,0.0
2018-02-04,43.12,43.12,43.12,0.0,0.0,43.8,43.8,43.8,0.0,0.0,43.11,43.11,43.11,0.0,0.0,43.6,43.6,43.6,0.0,0.0
2018-02-11,45.53,45.53,45.53,0.0,0.0,45.63,45.63,45.63,0.0,0.0,45.21,45.21,45.21,0.0,0.0,45.43,45.43,45.43,0.0,0.0
2018-02-18,46.17,46.17,46.17,0.0,0.0,46.3,46.3,46.3,0.0,0.0,46.17,46.17,46.17,0.0,0.0,46.3,46.3,46.3,0.0,0.0
2018-02-25,44.7,44.7,44.7,0.0,0.0,45.1,45.1,45.1,0.0,0.0,44.7,44.7,44.7,0.0,0.0,45.1,45.1,45.1,0.0,0.0
2018-03-04,47.01,47.01,47.01,0.0,0.0,47.01,47.01,47.01,0.0,0.0,46.81,46.81,46.81,0.0,0.0,46.93,46.93,46.93,0.0,0.0
2018-03-11,45.69,45.69,45.69,0.0,0.0,45.88,45.88,45.88,0.0,0.0,44.89,44.89,44.89,0.0,0.0,45.33,45.33,45.33,0.0,0.0
2018-03-18,43.09,43.09,43.09,0.0,0.0,43.62,43.62,43.62,0.0,0.0,42.42,42.42,42.42,0.0,0.0,43.62,43.62,43.62,0.0,0.0
2018-03-25,41.81,41.81,41.81,0.0,0.0,42.02,42.02,42.02,0.0,0.0,41.81,41.81,41.81,0.0,0.0,42.02,42.02,42.02,0.0,0.0
2018-04-01,42.78,42.78,42.78,0.0,0.0,43.77,43.77,43.77,0.0,0.0,42.78,42.78,42.78,0.0,0.0,43.77,43.77,43.77,0.0,0.0
2018-04-08,44.58,44.58,44.58,0.0,0.0,44.82,44.82,44.82,0.0,0.0,44.58,44.58,44.58,0.0,0.0,44.82,44.82,44.82,0.0,0.0
2018-04-15,44.71,44.71,44.71,0.0,0.0,44.71,44.71,44.71,0.0,0.0,44.52,44.52,44.52,0.0,0.0,44.52,44.52,44.52,0.0,0.0
2018-04-22,44.6,44.6,44.6,0.0,0.0,44.6,44.6,44.6,0.0,0.0,44.16,44.16,44.16,0.0,0.0,44.16,44.16,44.16,0.0,0.0
2018-04-29,45.11,45.11,45.11,0.0,0.0,45.29,45.29,45.29,0.0,0.0,45.09,45.09,45.09,0.0,0.0,45.28,45.28,45.28,0.0,0.0
2018-05-06,46.62,46.62,46.62,0.0,0.0,46.68,46.68,46.68,0.0,0.0,46.41,46.41,46.41,0.0,0.0,46.43,46.43,46.43,0.0,0.0
2018-05-13,46.88,46.88,46.88,0.0,0.0,47.02,47.02,47.02,0.0,0.0,46.88,46.88,46.88,0.0,0.0,46.92,46.92,46.92,0.0,0.0
2018-05-20,46.7,46.7,46.7,0.0,0.0,46.7,46.7,46.7,0.0,0.0,46.7,46.7,46.7,0.0,0.0,46.7,46.7,46.7,0.0,0.0
2018-05-27,47.1,47.1,47.1,0.0,0.0,47.39,47.39,47.39,0.0,0.0,47.05,47.05,47.05,0.0,0.0,47.35,47.35,47.35,0.0,0.0
2018-06-03,48.41,48.41,48.41,0.0,0.0,48.41,48.41,48.41,0.0,0.0,48.41,48.41,48.41,0.0,0.0,48.41,48.41,48.41,0.0,0.0
2018-06-10,49.09,49.09,49.09,0.0,0.0,49.3,49.3,49.3,0.0,0.0,48.96,48.96,48.96,0.0,0.0,49.27,49.27,49.27,0.0,0.0
2018-06-17,47.23,47.23,47.23,0.0,0.0,47.23,47.23,47.23,0.0,0.0,46.23,46.23,46.23,0.0,0.0,46.62,46.62,46.62,0.0,0.0
2018-06-24,47.02,47.02,47.02,0.0,0.0,47.39,47.39,47.39,0.0,0.0,47.02,47.02,47.02,0.0,0.0,47.39,47.39,47.39,0.0,0.0
2018-07-01,48.82,48.82,48.82,0.0,0.0,48.82,48.82,48.82,0.0,0.0,48.81,48.81,48.81,0.0,0.0,48.81,48.81,48.81,0.0,0.0
2018-07-08,48.81,48.81,48.81,0.0,0.0,48.99,48.99,48.99,0.0,0.0,48.81,48.81,48.81,0.0,0.0,48.99,48.99,48.99,0.0,0.0
2018-07-15,49.13,49.13,49.13,0.0,0.0,49.13,49.13,49.13,0.0,0.0,48.91,48.91,48.91,0.0,0.0,49.07,49.07,49.07,0.0,0.0
2018-07-22,47.5,47.5,47.5,0.0,0.0,47.5,47.5,47.5,0.0,0.0,46.99,46.99,46.99,0.0,0.0,47.01,47.01,47.01,0.0,0.0
2018-07-29,49.02,49.02,49.02,0.0,0.0,49.15,49.15,49.15,0.0,0.0,49.02,49.02,49.02,0.0,0.0,49.15,49.15,49.15,0.0,0.0
2018-08-05,49.54,49.54,49.54,0.0,0.0,49.71,49.71,49.71,0.0,0.0,49.12,49.12,49.12,0.0,0.0,49.18,49.18,49.18,0.0,0.0
2018-08-12,49.87,49.87,49.87,0.0,0.0,49.87,49.87,49.87,0.0,0.0,49.31,49.31,49.31,0.0,0.0,49.59,49.59,49.59,0.0,0.0
2018-08-19,51.07,51.07,51.07,0.0,0.0,51.16,51.16,51.16,0.0,0.0,51.05,51.05,51.05,0.0,0.0,51.05,51.05,51.05,0.0,0.0
2018-08-26,50.94,50.94,50.94,0.0,0.0,51.01,51.01,51.01,0.0,0.0,50.88,50.88,50.88,0.0,0.0,51.01,51.01,51.01,0.0,0.0
2018-09-02,50.0,50.0,50.0,0.0,0.0,50.0,50.0,50.0,0.0,0.0,49.95,49.95,49.95,0.0,0.0,49.97,49.97,49.97,0.0,0.0
2018-09-09,50.72,50.72,50.72,0.0,0.0,50.72,50.72,50.72,0.0,0.0,50.72,50.72,50.72,0.0,0.0,50.72,50.72,50.72,0.0,0.0
2018-09-16,51.27,51.27,51.27,0.0,0.0,51.27,51.27,51.27,0.0,0.0,50.56,50.56,50.56,0.0,0.0,51.01,51.01,51.01,0.0,0.0
2018-09-23,51.27,51.27,51.27,0.0,0.0,51.27,51.27,51.27,0.0,0.0,51.05,51.05,51.05,0.0,0.0,51.05,51.05,51.05,0.0,0.0
2018-09-30,48.52,48.52,48.52,0.0,0.0,48.52,48.52,48.52,0.0,0.0,47.95,47.95,47.95,0.0,0.0,47.95,47.95,47.95,0.0,0.0
2018-10-07,46.56,46.56,46.56,0.0,0.0,46.56,46.56,46.56,0.0,0.0,46.04,46.04,46.04,0.0,0.0,46.39,46.39,46.39,0.0,0.0
2018-10-14,46.57,46.57,46.57,0.0,0.0,46.57,46.57,46.57,0.0,0.0,45.78,45.78,45.78,0.0,0.0,46.21,46.21,46.21,0.0,0.0
2018-10-21,45.22,45.22,45.22,0.0,0.0,45.22,45.22,45.22,0.0,0.0,42.76,42.76,42.76,0.0,0.0,42.76,42.76,42.76,0.0,0.0
2018-10-28,44.42,44.42,44.42,0.0,0.0,46.15,46.15,46.15,0.0,0.0,44.42,44.42,44.42,0.0,0.0,46.09,46.09,46.09,0.0,0.0
2018-11-04,46.05,46.05,46.05,0.0,0.0,46.09,46.09,46.09,0.0,0.0,45.4,45.4,45.4,0.0,0.0,45.46,45.46,45.46,0.0,0.0
2018-11-11,45.68,45.68,45.68,0.0,0.0,45.68,45.68,45.68,0.0,0.0,44.23,44.23,44.23,0.0,0.0,44.23,44.23,44.23,0.0,0.0
2018-11-18,44.25,44.25,44.25,0.0,0.0,44.95,44.95,44.95,0.0,0.0,44.25,44.25,44.25,0.0,0.0,44.92,44.92,44.92,0.0,0.0
2018-11-25,47.52,47.52,47.52,0.0,0.0,47.52,47.52,47.52,0.0,0.0,46.99,46.99,46.99,0.0,0.0,47.05,47.05,47.05,0.0,0.0
2018-12-02,44.52,44.52,44.52,0.0,0.0,44.68,44.68,44.68,0.0,0.0,43.75,43.75,43.75,0.0,0.0,44.68,44.68,44.68,0.0,0.0
2018-12-09,42.23,42.23,42.23,0.0,0.0,43.74,43.74,43.74,0.0,0.0,42.23,42.23,42.23,0.0,0.0,42.87,42.87,42.87,0.0,0.0
2018-12-16,39.85,39.85,39.85,0.0,0.0,40.42,40.42,40.42,0.0,0.0,39.63,39.63,39.63,0.0,0.0,39.63,39.63,39.63,0.0,0.0
2018-12-23,42.36,42.36,42.36,0.0,0.0,42.36,42.36,42.36,0.0,0.0,42.11,42.11,42.11,0.0,0.0,42.29,42.29,42.29,0.0,0.0
2018-12-30,43.24,43.24,43.24,0.0,0.0,43.62,43.62,43.62,0.0,0.0,43.2,43.2,43.2,0.0,0.0,43.62,43.62,43.62,0.0,0.0
2019-01-06,44.21,44.21,44.21,0.0,0.0,44.22,44.22,44.22,0.0,0.0,44.13,44.13,44.13,0.0,0.0,44.22,44.22,44.22,0.0,0.0
2019-01-13,45.66,45.66,45.66,0.0,0.0,46.1,46.1,46.1,0.0,0.0,45.66,45.66,45.66,0.0,0.0,45.93,45.93,45.93,0.0,0.0
2019-01-20,45.44,45.44,45.44,0.0,0.0,45.44,45.44,45.44,0.0,0.0,45.04,45.04,45.04,0.0,0.0,45.32,45.32,45.32,0.0,0.0
