Date,Fidelity Low Volatility_etf_Open_average,Fidelity Low Volatility_etf_Open_max,Fidelity Low Volatility_etf_Open_min,Fidelity Low Volatility_etf_Open_volatility,Fidelity Low Volatility_etf_Open_change,Fidelity Low Volatility_etf_High_average,Fidelity Low Volatility_etf_High_max,Fidelity Low Volatility_etf_High_min,Fidelity Low Volatility_etf_High_volatility,Fidelity Low Volatility_etf_High_change,Fidelity Low Volatility_etf_Low_average,Fidelity Low Volatility_etf_Low_max,Fidelity Low Volatility_etf_Low_min,Fidelity Low Volatility_etf_Low_volatility,Fidelity Low Volatility_etf_Low_change,Fidelity Low Volatility_etf_Close_average,Fidelity Low Volatility_etf_Close_max,Fidelity Low Volatility_etf_Close_min,Fidelity Low Volatility_etf_Close_volatility,Fidelity Low Volatility_etf_Close_change
2018-01-14,31.7,31.7,31.7,0.0,0.0,31.8,31.8,31.8,0.0,0.0,31.7,31.7,31.7,0.0,0.0,31.8,31.8,31.8,0.0,0.0
2018-01-21,32.23,32.23,32.23,0.0,0.0,32.45,32.45,32.45,0.0,0.0,32.22,32.22,32.22,0.0,0.0,32.45,32.45,32.45,0.0,0.0
2018-01-28,31.75,31.75,31.75,0.0,0.0,31.75,31.75,31.75,0.0,0.0,31.26,31.26,31.26,0.0,0.0,31.3,31.3,31.3,0.0,0.0
2018-02-04,29.56,29.56,29.56,0.0,0.0,29.84,29.84,29.84,0.0,0.0,28.95,28.95,28.95,0.0,0.0,29.77,29.77,29.77,0.0,0.0
2018-02-11,30.85,30.85,30.85,0.0,0.0,31.13,31.13,31.13,0.0,0.0,30.83,30.83,30.83,0.0,0.0,30.94,30.94,30.94,0.0,0.0
2018-02-18,30.71,30.71,30.71,0.0,0.0,30.99,30.99,30.99,0.0,0.0,30.65,30.65,30.65,0.0,0.0,30.96,30.96,30.96,0.0,0.0
2018-02-25,30.13,30.13,30.13,0.0,0.0,30.46,30.46,30.46,0.0,0.0,30.12,30.12,30.12,0.0,0.0,30.44,30.44,30.44,0.0,0.0
2018-03-04,31.23,31.23,31.23,0.0,0.0,31.45,31.45,31.45,0.0,0.0,31.19,31.19,31.19,0.0,0.0,31.41,31.41,31.41,0.0,0.0
2018-03-11,31.01,31.01,31.01,0.0,0.0,31.08,31.08,31.08,0.0,0.0,31.0,31.0,31.0,0.0,0.0,31.02,31.02,31.02,0.0,0.0
2018-03-18,29.91,29.91,29.91,0.0,0.0,30.01,30.01,30.01,0.0,0.0,29.35,29.35,29.35,0.0,0.0,29.39,29.39,29.39,0.0,0.0
