Date,UAMY_Open_average,UAMY_Open_max,UAMY_Open_min,UAMY_Open_volatility,UAMY_Open_change,UAMY_High_average,UAMY_High_max,UAMY_High_min,UAMY_High_volatility,UAMY_High_change,UAMY_Low_average,UAMY_Low_max,UAMY_Low_min,UAMY_Low_volatility,UAMY_Low_change,UAMY_Close_average,UAMY_Close_max,UAMY_Close_min,UAMY_Close_volatility,UAMY_Close_change,UAMY_Volume_average,UAMY_Volume_max,UAMY_Volume_min,UAMY_Volume_volatility,UAMY_Volume_change
2018-01-14,0.31984,0.32,0.3193,0.0007000000000000339,-0.0007000000000000339,0.32966,0.341,0.3193,0.021700000000000053,-0.015700000000000047,0.31284,0.32,0.3081,0.011900000000000022,-0.008900000000000019,0.31888,0.33,0.3081,0.02190000000000003,-0.014100000000000001,46980,75924,14891,61033,-28712
2018-01-21,0.32944,0.34,0.32,0.020000000000000018,0.020000000000000018,0.34556,0.3571,0.33,0.027099999999999957,0.021699999999999997,0.32532,0.34,0.3149,0.02510000000000001,0.02510000000000001,0.33546,0.3432,0.3215,0.021699999999999997,0.01319999999999999,31805,49785,12700,37085,-32212
2018-01-28,0.3325,0.34700000000000003,0.305,0.04200000000000004,-0.04200000000000004,0.3454,0.3549,0.33,0.024899999999999978,-0.024899999999999978,0.3194,0.336,0.29,0.04600000000000004,-0.04600000000000004,0.32924000000000003,0.3392,0.31,0.029200000000000004,-0.029200000000000004,49626,97256,20160,77096,37697
2018-02-04,0.3028,0.315,0.29,0.025000000000000022,-0.010000000000000009,0.3076,0.315,0.3,0.015000000000000013,-0.010000000000000009,0.28622,0.29,0.28,0.009999999999999953,-9.999999999998899e-05,0.29553999999999997,0.31,0.2899,0.020100000000000007,-0.020100000000000007,10970,14982,4791,10191,3369
2018-02-11,0.288775,0.3,0.27,0.02999999999999997,-0.02849999999999997,0.28995,0.3,0.2731,0.02689999999999998,-0.025399999999999978,0.271575,0.2803,0.26,0.020299999999999985,-0.013000000000000012,0.274575,0.2843,0.2611,0.0232,-0.011900000000000022,4818,9950,2752,7198,7118
2018-02-18,0.27782,0.29,0.26,0.02999999999999997,0.005900000000000016,0.28687999999999997,0.29,0.2819,0.008099999999999996,0.0014999999999999458,0.27184,0.28,0.26,0.020000000000000018,0.005900000000000016,0.28128,0.2895,0.2701,0.019399999999999973,0.004500000000000004,7401,11210,3070,8140,3479
2018-02-25,0.27292,0.28600000000000003,0.253,0.03300000000000003,0.006000000000000005,0.27962,0.28600000000000003,0.27399999999999997,0.012000000000000066,0.0008000000000000229,0.25772,0.27,0.2409,0.029100000000000015,-0.014100000000000001,0.27598,0.2852,0.2618,0.023400000000000032,-0.005199999999999982,4579,8759,1549,7210,1346
2018-03-04,0.28008,0.2887,0.265,0.0237,0.019999999999999962,0.28894,0.298,0.28300000000000003,0.014999999999999958,0.0019999999999999463,0.2728,0.284,0.265,0.01899999999999996,0.010000000000000009,0.27518000000000004,0.28600000000000003,0.265,0.02100000000000002,0.009899999999999964,4897,11210,2621,8589,-2207
2018-03-11,0.28293999999999997,0.29,0.2782,0.011799999999999977,0.0050000000000000044,0.28698,0.297,0.28,0.01699999999999996,0.0050000000000000044,0.2705,0.2755,0.265,0.01050000000000001,-0.01050000000000001,0.278,0.297,0.265,0.03199999999999997,-0.018000000000000016,6897,15008,1296,13712,7114
2018-03-18,0.27204,0.2782,0.265,0.01319999999999999,-0.011199999999999988,0.2732,0.27899999999999997,0.267,0.011999999999999955,-0.011999999999999955,0.2582,0.27,0.23600000000000002,0.034,-0.010000000000000009,0.2672,0.27,0.265,0.0050000000000000044,0.0009000000000000119,5508,8168,2525,5643,257
2018-03-25,0.2575,0.27,0.25,0.020000000000000018,-0.020000000000000018,0.259925,0.27,0.2518,0.018199999999999994,-0.018199999999999994,0.249775,0.2582,0.24100000000000002,0.017199999999999965,-0.00899999999999998,0.253725,0.2582,0.25,0.008199999999999985,-0.0030999999999999917,5241,15622,1425,14197,241
2018-04-01,0.26330000000000003,0.275,0.2525,0.02250000000000002,0.0025000000000000022,0.26812,0.275,0.26,0.015000000000000013,-0.0050000000000000044,0.25238,0.26,0.2479,0.0121,0.0020999999999999908,0.26246,0.271,0.25,0.02100000000000002,-0.008000000000000007,3699,10509,1267,9242,-8312
2018-04-08,0.2589,0.26899999999999996,0.25,0.01899999999999996,0.01899999999999996,0.2648,0.27,0.26,0.010000000000000009,0.008999999999999952,0.25648,0.265,0.25,0.015000000000000013,0.015000000000000013,0.26454,0.26899999999999996,0.26,0.008999999999999952,0.008699999999999986,3003,6395,738,5657,639
2018-04-15,0.26022,0.26899999999999996,0.2451,0.02389999999999995,-0.023599999999999982,0.26134,0.26899999999999996,0.25,0.01899999999999996,-0.018699999999999994,0.2538,0.26,0.2431,0.0169,-0.0169,0.2542,0.26,0.2431,0.0169,-0.0169,2755,5075,910,4165,4165
2018-04-22,0.246,0.25,0.245,0.0050000000000000044,0.0,0.24896,0.25,0.245,0.0050000000000000044,0.0050000000000000044,0.24334,0.245,0.24,0.0050000000000000044,0.0050000000000000044,0.24566,0.2498,0.2417,0.008099999999999996,0.007599999999999996,3958,12870,930,11940,-11870
2018-04-29,0.24037999999999998,0.249,0.235,0.014000000000000012,-0.0131,0.24056,0.249,0.2359,0.0131,-0.0131,0.23582,0.23800000000000002,0.235,0.0030000000000000304,-0.0030000000000000304,0.23694,0.24,0.2358,0.0041999999999999815,-0.0041999999999999815,5106,9011,2164,6847,-6847
2018-05-06,0.24724,0.28,0.23399999999999999,0.04600000000000004,0.04600000000000004,0.26705999999999996,0.3,0.23399999999999999,0.066,0.066,0.24559999999999998,0.2799,0.2301,0.04979999999999998,0.045899999999999996,0.26178,0.28600000000000003,0.23399999999999999,0.052000000000000046,0.052000000000000046,14008,41493,1896,39597,2363
