Date,Guggenheim CurrencyShares Swedish Krona_Open_average,Guggenheim CurrencyShares Swedish Krona_Open_max,Guggenheim CurrencyShares Swedish Krona_Open_min,Guggenheim CurrencyShares Swedish Krona_Open_volatility,Guggenheim CurrencyShares Swedish Krona_Open_change,Guggenheim CurrencyShares Swedish Krona_High_average,Guggenheim CurrencyShares Swedish Krona_High_max,Guggenheim CurrencyShares Swedish Krona_High_min,Guggenheim CurrencyShares Swedish Krona_High_volatility,Guggenheim CurrencyShares Swedish Krona_High_change,Guggenheim CurrencyShares Swedish Krona_Low_average,Guggenheim CurrencyShares Swedish Krona_Low_max,Guggenheim CurrencyShares Swedish Krona_Low_min,Guggenheim CurrencyShares Swedish Krona_Low_volatility,Guggenheim CurrencyShares Swedish Krona_Low_change,Guggenheim CurrencyShares Swedish Krona_Close_average,Guggenheim CurrencyShares Swedish Krona_Close_max,Guggenheim CurrencyShares Swedish Krona_Close_min,Guggenheim CurrencyShares Swedish Krona_Close_volatility,Guggenheim CurrencyShares Swedish Krona_Close_change
2018-01-14,118.17,118.17,118.17,0.0,0.0,118.25,118.25,118.25,0.0,0.0,118.16,118.16,118.16,0.0,0.0,118.16,118.16,118.16,0.0,0.0
2018-01-21,120.44,120.44,120.44,0.0,0.0,120.44,120.44,120.44,0.0,0.0,120.36,120.36,120.36,0.0,0.0,120.36,120.36,120.36,0.0,0.0
2018-01-28,120.0,120.0,120.0,0.0,0.0,120.01,120.01,120.01,0.0,0.0,119.49,119.49,119.49,0.0,0.0,119.49,119.49,119.49,0.0,0.0
2018-02-04,117.59,117.59,117.59,0.0,0.0,117.59,117.59,117.59,0.0,0.0,117.59,117.59,117.59,0.0,0.0,117.59,117.59,117.59,0.0,0.0
2018-02-11,119.18,119.18,119.18,0.0,0.0,119.34,119.34,119.34,0.0,0.0,119.18,119.18,119.18,0.0,0.0,119.27,119.27,119.27,0.0,0.0
2018-02-18,116.2,116.2,116.2,0.0,0.0,116.2,116.2,116.2,0.0,0.0,116.2,116.2,116.2,0.0,0.0,116.2,116.2,116.2,0.0,0.0
2018-02-25,115.21,115.21,115.21,0.0,0.0,115.54,115.54,115.54,0.0,0.0,114.78,114.78,114.78,0.0,0.0,115.12,115.12,115.12,0.0,0.0
2018-03-04,115.05,115.05,115.05,0.0,0.0,115.24,115.24,115.24,0.0,0.0,115.05,115.05,115.05,0.0,0.0,115.24,115.24,115.24,0.0,0.0
2018-03-11,116.18,116.18,116.18,0.0,0.0,116.18,116.18,116.18,0.0,0.0,116.18,116.18,116.18,0.0,0.0,116.18,116.18,116.18,0.0,0.0
2018-03-18,115.68,115.68,115.68,0.0,0.0,115.97,115.97,115.97,0.0,0.0,115.64,115.64,115.64,0.0,0.0,115.97,115.97,115.97,0.0,0.0
2018-03-25,112.94,112.94,112.94,0.0,0.0,112.94,112.94,112.94,0.0,0.0,112.94,112.94,112.94,0.0,0.0,112.94,112.94,112.94,0.0,0.0
2018-04-01,113.39,113.39,113.39,0.0,0.0,113.45,113.45,113.45,0.0,0.0,113.36,113.36,113.36,0.0,0.0,113.4,113.4,113.4,0.0,0.0
2018-04-08,112.46,112.46,112.46,0.0,0.0,112.46,112.46,112.46,0.0,0.0,112.46,112.46,112.46,0.0,0.0,112.46,112.46,112.46,0.0,0.0
2018-04-15,111.19,111.19,111.19,0.0,0.0,111.19,111.19,111.19,0.0,0.0,111.16,111.16,111.16,0.0,0.0,111.19,111.19,111.19,0.0,0.0
