Date,NuShares ESG Mid-Cap Growth_etf_Open_average,NuShares ESG Mid-Cap Growth_etf_Open_max,NuShares ESG Mid-Cap Growth_etf_Open_min,NuShares ESG Mid-Cap Growth_etf_Open_volatility,NuShares ESG Mid-Cap Growth_etf_Open_change,NuShares ESG Mid-Cap Growth_etf_High_average,NuShares ESG Mid-Cap Growth_etf_High_max,NuShares ESG Mid-Cap Growth_etf_High_min,NuShares ESG Mid-Cap Growth_etf_High_volatility,NuShares ESG Mid-Cap Growth_etf_High_change,NuShares ESG Mid-Cap Growth_etf_Low_average,NuShares ESG Mid-Cap Growth_etf_Low_max,NuShares ESG Mid-Cap Growth_etf_Low_min,NuShares ESG Mid-Cap Growth_etf_Low_volatility,NuShares ESG Mid-Cap Growth_etf_Low_change,NuShares ESG Mid-Cap Growth_etf_Close_average,NuShares ESG Mid-Cap Growth_etf_Close_max,NuShares ESG Mid-Cap Growth_etf_Close_min,NuShares ESG Mid-Cap Growth_etf_Close_volatility,NuShares ESG Mid-Cap Growth_etf_Close_change
2018-01-14,30.61,30.61,30.61,0.0,0.0,30.75,30.75,30.75,0.0,0.0,30.61,30.61,30.61,0.0,0.0,30.75,30.75,30.75,0.0,0.0
2018-01-21,31.28,31.28,31.28,0.0,0.0,31.4,31.4,31.4,0.0,0.0,31.28,31.28,31.28,0.0,0.0,31.4,31.4,31.4,0.0,0.0
2018-01-28,30.64,30.64,30.64,0.0,0.0,30.65,30.65,30.65,0.0,0.0,30.32,30.32,30.32,0.0,0.0,30.32,30.32,30.32,0.0,0.0
2018-02-04,28.73,28.73,28.73,0.0,0.0,28.73,28.73,28.73,0.0,0.0,28.29,28.29,28.29,0.0,0.0,28.45,28.45,28.45,0.0,0.0
2018-02-11,29.93,29.93,29.93,0.0,0.0,29.93,29.93,29.93,0.0,0.0,29.88,29.88,29.88,0.0,0.0,29.91,29.91,29.91,0.0,0.0
2018-02-18,29.76,29.76,29.76,0.0,0.0,29.76,29.76,29.76,0.0,0.0,29.75,29.75,29.75,0.0,0.0,29.75,29.75,29.75,0.0,0.0
2018-02-25,29.07,29.07,29.07,0.0,0.0,29.42,29.42,29.42,0.0,0.0,29.07,29.07,29.07,0.0,0.0,29.42,29.42,29.42,0.0,0.0
2018-03-04,30.86,30.86,30.86,0.0,0.0,31.04,31.04,31.04,0.0,0.0,30.86,30.86,30.86,0.0,0.0,31.04,31.04,31.04,0.0,0.0
2018-03-11,30.66,30.66,30.66,0.0,0.0,30.73,30.73,30.73,0.0,0.0,30.66,30.66,30.66,0.0,0.0,30.73,30.73,30.73,0.0,0.0
2018-03-18,29.61,29.61,29.61,0.0,0.0,29.61,29.61,29.61,0.0,0.0,29.21,29.21,29.21,0.0,0.0,29.22,29.22,29.22,0.0,0.0
