Date,iShares Morningstar Large-Cap Value_etf_Open_average,iShares Morningstar Large-Cap Value_etf_Open_max,iShares Morningstar Large-Cap Value_etf_Open_min,iShares Morningstar Large-Cap Value_etf_Open_volatility,iShares Morningstar Large-Cap Value_etf_Open_change,iShares Morningstar Large-Cap Value_etf_High_average,iShares Morningstar Large-Cap Value_etf_High_max,iShares Morningstar Large-Cap Value_etf_High_min,iShares Morningstar Large-Cap Value_etf_High_volatility,iShares Morningstar Large-Cap Value_etf_High_change,iShares Morningstar Large-Cap Value_etf_Low_average,iShares Morningstar Large-Cap Value_etf_Low_max,iShares Morningstar Large-Cap Value_etf_Low_min,iShares Morningstar Large-Cap Value_etf_Low_volatility,iShares Morningstar Large-Cap Value_etf_Low_change,iShares Morningstar Large-Cap Value_etf_Close_average,iShares Morningstar Large-Cap Value_etf_Close_max,iShares Morningstar Large-Cap Value_etf_Close_min,iShares Morningstar Large-Cap Value_etf_Close_volatility,iShares Morningstar Large-Cap Value_etf_Close_change
2018-01-14,109.71,109.71,109.71,0.0,0.0,109.91,109.91,109.91,0.0,0.0,109.52,109.52,109.52,0.0,0.0,109.91,109.91,109.91,0.0,0.0
2018-01-21,111.49,111.49,111.49,0.0,0.0,112.57,112.57,112.57,0.0,0.0,111.49,111.49,111.49,0.0,0.0,112.57,112.57,112.57,0.0,0.0
2018-01-28,109.28,109.28,109.28,0.0,0.0,109.3,109.3,109.3,0.0,0.0,107.7,107.7,107.7,0.0,0.0,107.7,107.7,107.7,0.0,0.0
2018-02-04,101.83,101.83,101.83,0.0,0.0,102.47,102.47,102.47,0.0,0.0,99.0,99.0,99.0,0.0,0.0,101.99,101.99,101.99,0.0,0.0
2018-02-11,105.84,105.84,105.84,0.0,0.0,106.94,106.94,106.94,0.0,0.0,105.84,105.84,105.84,0.0,0.0,106.05,106.05,106.05,0.0,0.0
2018-02-18,104.87,104.87,104.87,0.0,0.0,105.6,105.6,105.6,0.0,0.0,104.72,104.72,104.72,0.0,0.0,105.6,105.6,105.6,0.0,0.0
2018-02-25,102.66,102.66,102.66,0.0,0.0,103.53,103.53,103.53,0.0,0.0,102.65,102.65,102.65,0.0,0.0,103.53,103.53,103.53,0.0,0.0
2018-03-04,105.85,105.85,105.85,0.0,0.0,106.74,106.74,106.74,0.0,0.0,105.85,105.85,105.85,0.0,0.0,106.69,106.69,106.69,0.0,0.0
2018-03-11,105.49,105.49,105.49,0.0,0.0,105.99,105.99,105.99,0.0,0.0,105.49,105.49,105.49,0.0,0.0,105.86,105.86,105.86,0.0,0.0
2018-03-18,101.27,101.27,101.27,0.0,0.0,101.48,101.48,101.48,0.0,0.0,98.7,98.7,98.7,0.0,0.0,98.79,98.79,98.79,0.0,0.0
2018-03-25,100.87,100.87,100.87,0.0,0.0,101.59,101.59,101.59,0.0,0.0,100.71,100.71,100.71,0.0,0.0,101.56,101.56,101.56,0.0,0.0
2018-04-01,101.5,101.5,101.5,0.0,0.0,101.75,101.75,101.75,0.0,0.0,99.49,99.49,99.49,0.0,0.0,100.18,100.18,100.18,0.0,0.0
2018-04-08,103.47,103.47,103.47,0.0,0.0,103.47,103.47,103.47,0.0,0.0,102.21,102.21,102.21,0.0,0.0,102.35,102.35,102.35,0.0,0.0
2018-04-15,102.56,102.56,102.56,0.0,0.0,102.56,102.56,102.56,0.0,0.0,102.02,102.02,102.02,0.0,0.0,102.03,102.03,102.03,0.0,0.0
2018-04-22,101.98,101.98,101.98,0.0,0.0,102.34,102.34,102.34,0.0,0.0,101.95,101.95,101.95,0.0,0.0,102.11,102.11,102.11,0.0,0.0
2018-04-29,98.91,98.91,98.91,0.0,0.0,100.61,100.61,100.61,0.0,0.0,98.91,98.91,98.91,0.0,0.0,100.47,100.47,100.47,0.0,0.0
2018-05-06,102.9,102.9,102.9,0.0,0.0,103.26,103.26,103.26,0.0,0.0,102.82,102.82,102.82,0.0,0.0,103.08,103.08,103.08,0.0,0.0
2018-05-13,102.85,102.85,102.85,0.0,0.0,102.85,102.85,102.85,0.0,0.0,102.77,102.77,102.77,0.0,0.0,102.79,102.79,102.79,0.0,0.0
2018-05-20,102.81,102.81,102.81,0.0,0.0,102.98,102.98,102.98,0.0,0.0,102.55,102.55,102.55,0.0,0.0,102.75,102.75,102.75,0.0,0.0
2018-05-27,102.68,102.68,102.68,0.0,0.0,103.0,103.0,103.0,0.0,0.0,102.68,102.68,102.68,0.0,0.0,102.79,102.79,102.79,0.0,0.0
2018-06-03,104.36,104.36,104.36,0.0,0.0,104.64,104.64,104.64,0.0,0.0,104.26,104.26,104.26,0.0,0.0,104.64,104.64,104.64,0.0,0.0
2018-06-10,102.92,102.92,102.92,0.0,0.0,103.74,103.74,103.74,0.0,0.0,102.87,102.87,102.87,0.0,0.0,103.74,103.74,103.74,0.0,0.0
2018-06-17,102.99,102.99,102.99,0.0,0.0,103.17,103.17,103.17,0.0,0.0,102.78,102.78,102.78,0.0,0.0,102.78,102.78,102.78,0.0,0.0
2018-06-24,101.71,101.71,101.71,0.0,0.0,102.14,102.14,102.14,0.0,0.0,101.66,101.66,101.66,0.0,0.0,101.66,101.66,101.66,0.0,0.0
2018-07-01,102.17,102.17,102.17,0.0,0.0,102.65,102.65,102.65,0.0,0.0,102.17,102.17,102.17,0.0,0.0,102.46,102.46,102.46,0.0,0.0
2018-07-08,103.2,103.2,103.2,0.0,0.0,103.58,103.58,103.58,0.0,0.0,103.18,103.18,103.18,0.0,0.0,103.42,103.42,103.42,0.0,0.0
2018-07-15,103.5,103.5,103.5,0.0,0.0,103.54,103.54,103.54,0.0,0.0,103.34,103.34,103.34,0.0,0.0,103.46,103.46,103.46,0.0,0.0
2018-07-22,105.03,105.03,105.03,0.0,0.0,105.22,105.22,105.22,0.0,0.0,104.91,104.91,104.91,0.0,0.0,104.96,104.96,104.96,0.0,0.0
2018-07-29,105.77,105.77,105.77,0.0,0.0,106.28,106.28,106.28,0.0,0.0,105.77,105.77,105.77,0.0,0.0,106.28,106.28,106.28,0.0,0.0
2018-08-05,105.96,105.96,105.96,0.0,0.0,105.96,105.96,105.96,0.0,0.0,105.56,105.56,105.56,0.0,0.0,105.66,105.66,105.66,0.0,0.0
2018-08-12,106.57,106.57,106.57,0.0,0.0,107.23,107.23,107.23,0.0,0.0,106.57,106.57,106.57,0.0,0.0,107.12,107.12,107.12,0.0,0.0
2018-08-19,107.06,107.06,107.06,0.0,0.0,107.4,107.4,107.4,0.0,0.0,107.06,107.06,107.06,0.0,0.0,107.33,107.33,107.33,0.0,0.0
2018-08-26,107.7,107.7,107.7,0.0,0.0,107.7,107.7,107.7,0.0,0.0,107.26,107.26,107.26,0.0,0.0,107.56,107.56,107.56,0.0,0.0
2018-09-02,107.45,107.45,107.45,0.0,0.0,107.45,107.45,107.45,0.0,0.0,107.07,107.07,107.07,0.0,0.0,107.4,107.4,107.4,0.0,0.0
2018-09-09,108.12,108.12,108.12,0.0,0.0,108.12,108.12,108.12,0.0,0.0,107.92,107.92,107.92,0.0,0.0,108.07,108.07,108.07,0.0,0.0
2018-09-16,110.51,110.51,110.51,0.0,0.0,110.51,110.51,110.51,0.0,0.0,110.07,110.07,110.07,0.0,0.0,110.09,110.09,110.09,0.0,0.0
2018-09-23,107.25,107.25,107.25,0.0,0.0,107.62,107.62,107.62,0.0,0.0,107.24,107.24,107.24,0.0,0.0,107.37,107.37,107.37,0.0,0.0
2018-09-30,108.52,108.52,108.52,0.0,0.0,108.58,108.58,108.58,0.0,0.0,107.99,107.99,107.99,0.0,0.0,108.05,108.05,108.05,0.0,0.0
2018-10-07,104.54,104.54,104.54,0.0,0.0,104.54,104.54,104.54,0.0,0.0,102.7,102.7,102.7,0.0,0.0,103.99,103.99,103.99,0.0,0.0
2018-10-14,104.71,104.71,104.71,0.0,0.0,105.5,105.5,105.5,0.0,0.0,104.71,104.71,104.71,0.0,0.0,104.93,104.93,104.93,0.0,0.0
2018-10-21,101.42,101.42,101.42,0.0,0.0,101.44,101.44,101.44,0.0,0.0,100.32,100.32,100.32,0.0,0.0,100.67,100.67,100.67,0.0,0.0
2018-10-28,104.62,104.62,104.62,0.0,0.0,104.62,104.62,104.62,0.0,0.0,102.8,102.8,102.8,0.0,0.0,103.42,103.42,103.42,0.0,0.0
2018-11-04,106.37,106.37,106.37,0.0,0.0,106.37,106.37,106.37,0.0,0.0,105.55,105.55,105.55,0.0,0.0,106.21,106.21,106.21,0.0,0.0
2018-11-11,104.32,104.32,104.32,0.0,0.0,105.22,105.22,105.22,0.0,0.0,104.32,104.32,104.32,0.0,0.0,105.1,105.1,105.1,0.0,0.0
2018-11-18,101.84,101.84,101.84,0.0,0.0,102.29,102.29,102.29,0.0,0.0,101.84,101.84,101.84,0.0,0.0,102.15,102.15,102.15,0.0,0.0
2018-11-25,105.34,105.34,105.34,0.0,0.0,106.62,106.62,106.62,0.0,0.0,105.34,105.34,105.34,0.0,0.0,106.46,106.46,106.46,0.0,0.0
2018-12-02,103.56,103.56,103.56,0.0,0.0,103.94,103.94,103.94,0.0,0.0,101.41,101.41,101.41,0.0,0.0,101.84,101.84,101.84,0.0,0.0
2018-12-09,101.16,101.16,101.16,0.0,0.0,101.22,101.22,101.22,0.0,0.0,100.18,100.18,100.18,0.0,0.0,100.42,100.42,100.42,0.0,0.0
2018-12-16,95.05,95.05,95.05,0.0,0.0,96.73,96.73,96.73,0.0,0.0,93.54,93.54,93.54,0.0,0.0,93.85,93.85,93.85,0.0,0.0
2018-12-23,96.09,96.09,96.09,0.0,0.0,96.88,96.88,96.88,0.0,0.0,95.44,95.44,95.44,0.0,0.0,95.62,95.62,95.62,0.0,0.0
2018-12-30,96.31,96.31,96.31,0.0,0.0,98.13,98.13,98.13,0.0,0.0,96.31,96.31,96.31,0.0,0.0,97.98,97.98,97.98,0.0,0.0
