Date,WisdomTree US SmallCap Quality Dividend Growth_Open_average,WisdomTree US SmallCap Quality Dividend Growth_Open_max,WisdomTree US SmallCap Quality Dividend Growth_Open_min,WisdomTree US SmallCap Quality Dividend Growth_Open_volatility,WisdomTree US SmallCap Quality Dividend Growth_Open_change,WisdomTree US SmallCap Quality Dividend Growth_High_average,WisdomTree US SmallCap Quality Dividend Growth_High_max,WisdomTree US SmallCap Quality Dividend Growth_High_min,WisdomTree US SmallCap Quality Dividend Growth_High_volatility,WisdomTree US SmallCap Quality Dividend Growth_High_change,WisdomTree US SmallCap Quality Dividend Growth_Low_average,WisdomTree US SmallCap Quality Dividend Growth_Low_max,WisdomTree US SmallCap Quality Dividend Growth_Low_min,WisdomTree US SmallCap Quality Dividend Growth_Low_volatility,WisdomTree US SmallCap Quality Dividend Growth_Low_change,WisdomTree US SmallCap Quality Dividend Growth_Close_average,WisdomTree US SmallCap Quality Dividend Growth_Close_max,WisdomTree US SmallCap Quality Dividend Growth_Close_min,WisdomTree US SmallCap Quality Dividend Growth_Close_volatility,WisdomTree US SmallCap Quality Dividend Growth_Close_change
2018-01-14,36.64,36.64,36.64,0.0,0.0,36.64,36.64,36.64,0.0,0.0,36.4,36.4,36.4,0.0,0.0,36.57,36.57,36.57,0.0,0.0
2018-01-21,36.69,36.69,36.69,0.0,0.0,36.74,36.74,36.74,0.0,0.0,36.6,36.6,36.6,0.0,0.0,36.6,36.6,36.6,0.0,0.0
2018-01-28,34.83,34.83,34.83,0.0,0.0,35.08,35.08,35.08,0.0,0.0,33.88,33.88,33.88,0.0,0.0,33.88,33.88,33.88,0.0,0.0
2018-02-04,34.01,34.01,34.01,0.0,0.0,34.22,34.22,34.22,0.0,0.0,33.56,33.56,33.56,0.0,0.0,34.17,34.17,34.17,0.0,0.0
2018-02-11,35.08,35.08,35.08,0.0,0.0,35.22,35.22,35.22,0.0,0.0,34.98,34.98,34.98,0.0,0.0,35.02,35.02,35.02,0.0,0.0
2018-02-18,35.27,35.27,35.27,0.0,0.0,35.37,35.37,35.37,0.0,0.0,35.05,35.05,35.05,0.0,0.0,35.35,35.35,35.35,0.0,0.0
2018-02-25,34.35,34.35,34.35,0.0,0.0,34.8,34.8,34.8,0.0,0.0,34.35,34.35,34.35,0.0,0.0,34.67,34.67,34.67,0.0,0.0
2018-03-04,35.86,35.86,35.86,0.0,0.0,35.89,35.89,35.89,0.0,0.0,35.73,35.73,35.73,0.0,0.0,35.83,35.83,35.83,0.0,0.0
2018-03-11,35.32,35.32,35.32,0.0,0.0,35.32,35.32,35.32,0.0,0.0,34.91,34.91,34.91,0.0,0.0,35.22,35.22,35.22,0.0,0.0
2018-03-18,34.01,34.01,34.01,0.0,0.0,34.14,34.14,34.14,0.0,0.0,33.68,33.68,33.68,0.0,0.0,34.14,34.14,34.14,0.0,0.0
2018-03-25,34.29,34.29,34.29,0.0,0.0,34.29,34.29,34.29,0.0,0.0,33.32,33.32,33.32,0.0,0.0,33.48,33.48,33.48,0.0,0.0
2018-04-01,34.3,34.3,34.3,0.0,0.0,34.51,34.51,34.51,0.0,0.0,34.14,34.14,34.14,0.0,0.0,34.14,34.14,34.14,0.0,0.0
