Date,WisdomTree Asia-Pacific ex-Japan_Open_average,WisdomTree Asia-Pacific ex-Japan_Open_max,WisdomTree Asia-Pacific ex-Japan_Open_min,WisdomTree Asia-Pacific ex-Japan_Open_volatility,WisdomTree Asia-Pacific ex-Japan_Open_change,WisdomTree Asia-Pacific ex-Japan_High_average,WisdomTree Asia-Pacific ex-Japan_High_max,WisdomTree Asia-Pacific ex-Japan_High_min,WisdomTree Asia-Pacific ex-Japan_High_volatility,WisdomTree Asia-Pacific ex-Japan_High_change,WisdomTree Asia-Pacific ex-Japan_Low_average,WisdomTree Asia-Pacific ex-Japan_Low_max,WisdomTree Asia-Pacific ex-Japan_Low_min,WisdomTree Asia-Pacific ex-Japan_Low_volatility,WisdomTree Asia-Pacific ex-Japan_Low_change,WisdomTree Asia-Pacific ex-Japan_Close_average,WisdomTree Asia-Pacific ex-Japan_Close_max,WisdomTree Asia-Pacific ex-Japan_Close_min,WisdomTree Asia-Pacific ex-Japan_Close_volatility,WisdomTree Asia-Pacific ex-Japan_Close_change
2018-01-14,73.53,73.53,73.53,0.0,0.0,73.94,73.94,73.94,0.0,0.0,73.53,73.53,73.53,0.0,0.0,73.94,73.94,73.94,0.0,0.0
2018-01-21,74.8,74.8,74.8,0.0,0.0,74.91,74.91,74.91,0.0,0.0,74.8,74.8,74.8,0.0,0.0,74.9,74.9,74.9,0.0,0.0
2018-01-28,72.18,72.18,72.18,0.0,0.0,72.67,72.67,72.67,0.0,0.0,70.5,70.5,70.5,0.0,0.0,70.78,70.78,70.78,0.0,0.0
2018-02-04,68.59,68.59,68.59,0.0,0.0,69.43,69.43,69.43,0.0,0.0,68.54,68.54,68.54,0.0,0.0,69.39,69.39,69.39,0.0,0.0
2018-02-11,71.49,71.49,71.49,0.0,0.0,71.92,71.92,71.92,0.0,0.0,71.19,71.19,71.19,0.0,0.0,71.56,71.56,71.56,0.0,0.0
2018-02-18,72.1,72.1,72.1,0.0,0.0,72.3,72.3,72.3,0.0,0.0,71.84,71.84,71.84,0.0,0.0,72.22,72.22,72.22,0.0,0.0
2018-02-25,68.81,68.81,68.81,0.0,0.0,70.03,70.03,70.03,0.0,0.0,68.81,68.81,68.81,0.0,0.0,69.83,69.83,69.83,0.0,0.0
2018-03-04,71.97,71.97,71.97,0.0,0.0,71.97,71.97,71.97,0.0,0.0,71.77,71.77,71.77,0.0,0.0,71.94,71.94,71.94,0.0,0.0
2018-03-11,70.35,70.35,70.35,0.0,0.0,70.53,70.53,70.53,0.0,0.0,70.35,70.35,70.35,0.0,0.0,70.53,70.53,70.53,0.0,0.0
2018-03-18,69.72,69.72,69.72,0.0,0.0,69.72,69.72,69.72,0.0,0.0,69.48,69.48,69.48,0.0,0.0,69.48,69.48,69.48,0.0,0.0
2018-03-25,69.05,69.05,69.05,0.0,0.0,70.05,70.05,70.05,0.0,0.0,69.05,69.05,69.05,0.0,0.0,69.92,69.92,69.92,0.0,0.0
2018-04-01,69.46,69.46,69.46,0.0,0.0,69.76,69.76,69.76,0.0,0.0,69.23,69.23,69.23,0.0,0.0,69.59,69.59,69.59,0.0,0.0
2018-04-08,69.9,69.9,69.9,0.0,0.0,69.95,69.95,69.95,0.0,0.0,69.87,69.87,69.87,0.0,0.0,69.95,69.95,69.95,0.0,0.0
2018-04-15,69.36,69.36,69.36,0.0,0.0,69.47,69.47,69.47,0.0,0.0,69.25,69.25,69.25,0.0,0.0,69.25,69.25,69.25,0.0,0.0
2018-04-22,70.08,70.08,70.08,0.0,0.0,70.61,70.61,70.61,0.0,0.0,70.08,70.08,70.08,0.0,0.0,70.2,70.2,70.2,0.0,0.0
2018-04-29,69.12,69.12,69.12,0.0,0.0,69.67,69.67,69.67,0.0,0.0,69.12,69.12,69.12,0.0,0.0,69.64,69.64,69.64,0.0,0.0
2018-05-06,70.76,70.76,70.76,0.0,0.0,70.76,70.76,70.76,0.0,0.0,70.76,70.76,70.76,0.0,0.0,70.76,70.76,70.76,0.0,0.0
2018-05-13,70.51,70.51,70.51,0.0,0.0,70.51,70.51,70.51,0.0,0.0,70.51,70.51,70.51,0.0,0.0,70.51,70.51,70.51,0.0,0.0
