Date,PIMCO Total Return Active Exchange-Traded_Open_average,PIMCO Total Return Active Exchange-Traded_Open_max,PIMCO Total Return Active Exchange-Traded_Open_min,PIMCO Total Return Active Exchange-Traded_Open_volatility,PIMCO Total Return Active Exchange-Traded_Open_change,PIMCO Total Return Active Exchange-Traded_High_average,PIMCO Total Return Active Exchange-Traded_High_max,PIMCO Total Return Active Exchange-Traded_High_min,PIMCO Total Return Active Exchange-Traded_High_volatility,PIMCO Total Return Active Exchange-Traded_High_change,PIMCO Total Return Active Exchange-Traded_Low_average,PIMCO Total Return Active Exchange-Traded_Low_max,PIMCO Total Return Active Exchange-Traded_Low_min,PIMCO Total Return Active Exchange-Traded_Low_volatility,PIMCO Total Return Active Exchange-Traded_Low_change,PIMCO Total Return Active Exchange-Traded_Close_average,PIMCO Total Return Active Exchange-Traded_Close_max,PIMCO Total Return Active Exchange-Traded_Close_min,PIMCO Total Return Active Exchange-Traded_Close_volatility,PIMCO Total Return Active Exchange-Traded_Close_change
2018-01-14,105.11,105.11,105.11,0.0,0.0,105.24,105.24,105.24,0.0,0.0,105.04,105.04,105.04,0.0,0.0,105.13,105.13,105.13,0.0,0.0
2018-01-21,105.04,105.04,105.04,0.0,0.0,105.3,105.3,105.3,0.0,0.0,104.99,104.99,104.99,0.0,0.0,105.17,105.17,105.17,0.0,0.0
2018-01-28,104.33,104.33,104.33,0.0,0.0,104.84,104.84,104.84,0.0,0.0,104.14,104.14,104.14,0.0,0.0,104.7,104.7,104.7,0.0,0.0
2018-02-04,103.94,103.94,103.94,0.0,0.0,104.03,104.03,104.03,0.0,0.0,103.56,103.56,103.56,0.0,0.0,103.84,103.84,103.84,0.0,0.0
2018-02-11,103.67,103.67,103.67,0.0,0.0,103.82,103.82,103.82,0.0,0.0,103.61,103.61,103.61,0.0,0.0,103.64,103.64,103.64,0.0,0.0
2018-02-18,103.93,103.93,103.93,0.0,0.0,104.09,104.09,104.09,0.0,0.0,103.84,103.84,103.84,0.0,0.0,103.95,103.95,103.95,0.0,0.0
2018-02-25,103.81,103.81,103.81,0.0,0.0,103.82,103.82,103.82,0.0,0.0,103.57,103.57,103.57,0.0,0.0,103.6,103.6,103.6,0.0,0.0
2018-03-04,103.66,103.66,103.66,0.0,0.0,103.71,103.71,103.71,0.0,0.0,103.56,103.56,103.56,0.0,0.0,103.58,103.58,103.58,0.0,0.0
2018-03-11,103.61,103.61,103.61,0.0,0.0,103.75,103.75,103.75,0.0,0.0,103.55,103.55,103.55,0.0,0.0,103.65,103.65,103.65,0.0,0.0
2018-03-18,103.48,103.48,103.48,0.0,0.0,103.77,103.77,103.77,0.0,0.0,103.48,103.48,103.48,0.0,0.0,103.74,103.74,103.74,0.0,0.0
