Date,ProShares Large Cap Core Plus_Open_average,ProShares Large Cap Core Plus_Open_max,ProShares Large Cap Core Plus_Open_min,ProShares Large Cap Core Plus_Open_volatility,ProShares Large Cap Core Plus_Open_change,ProShares Large Cap Core Plus_High_average,ProShares Large Cap Core Plus_High_max,ProShares Large Cap Core Plus_High_min,ProShares Large Cap Core Plus_High_volatility,ProShares Large Cap Core Plus_High_change,ProShares Large Cap Core Plus_Low_average,ProShares Large Cap Core Plus_Low_max,ProShares Large Cap Core Plus_Low_min,ProShares Large Cap Core Plus_Low_volatility,ProShares Large Cap Core Plus_Low_change,ProShares Large Cap Core Plus_Close_average,ProShares Large Cap Core Plus_Close_max,ProShares Large Cap Core Plus_Close_min,ProShares Large Cap Core Plus_Close_volatility,ProShares Large Cap Core Plus_Close_change
2018-01-14,69.99,69.99,69.99,0.0,0.0,70.63,70.63,70.63,0.0,0.0,69.99,69.99,69.99,0.0,0.0,70.63,70.63,70.63,0.0,0.0
2018-01-21,71.28,71.28,71.28,0.0,0.0,71.46,71.46,71.46,0.0,0.0,70.75,70.75,70.75,0.0,0.0,70.87,70.87,70.87,0.0,0.0
2018-01-28,67.75,67.75,67.75,0.0,0.0,68.43,68.43,68.43,0.0,0.0,65.52,65.52,65.52,0.0,0.0,65.8,65.8,65.8,0.0,0.0
2018-02-04,65.88,65.88,65.88,0.0,0.0,66.38,66.38,66.38,0.0,0.0,65.34,65.34,65.34,0.0,0.0,65.94,65.94,65.94,0.0,0.0
2018-02-11,68.08,68.08,68.08,0.0,0.0,68.73,68.73,68.73,0.0,0.0,68.08,68.08,68.08,0.0,0.0,68.31,68.31,68.31,0.0,0.0
2018-02-18,68.96,68.96,68.96,0.0,0.0,69.3,69.3,69.3,0.0,0.0,68.76,68.76,68.76,0.0,0.0,69.29,69.29,69.29,0.0,0.0
2018-02-25,67.14,67.14,67.14,0.0,0.0,68.43,68.43,68.43,0.0,0.0,67.13,67.13,67.13,0.0,0.0,68.23,68.23,68.23,0.0,0.0
2018-03-04,70.1,70.1,70.1,0.0,0.0,70.1,70.1,70.1,0.0,0.0,69.77,69.77,69.77,0.0,0.0,69.78,69.78,69.78,0.0,0.0
2018-03-11,68.88,68.88,68.88,0.0,0.0,68.88,68.88,68.88,0.0,0.0,67.79,67.79,67.79,0.0,0.0,68.25,68.25,68.25,0.0,0.0
2018-03-18,66.03,66.03,66.03,0.0,0.0,66.66,66.66,66.66,0.0,0.0,65.3,65.3,65.3,0.0,0.0,66.63,66.63,66.63,0.0,0.0
2018-03-25,66.09,66.09,66.09,0.0,0.0,66.21,66.21,66.21,0.0,0.0,64.24,64.24,64.24,0.0,0.0,64.41,64.41,64.41,0.0,0.0
2018-04-01,66.05,66.05,66.05,0.0,0.0,66.72,66.72,66.72,0.0,0.0,65.71,65.71,65.71,0.0,0.0,65.71,65.71,65.71,0.0,0.0
2018-04-08,66.91,66.91,66.91,0.0,0.0,67.53,67.53,67.53,0.0,0.0,66.91,66.91,66.91,0.0,0.0,67.36,67.36,67.36,0.0,0.0
