Date,GNSS_stock_Open_average,GNSS_stock_Open_max,GNSS_stock_Open_min,GNSS_stock_Open_volatility,GNSS_stock_Open_change,GNSS_stock_High_average,GNSS_stock_High_max,GNSS_stock_High_min,GNSS_stock_High_volatility,GNSS_stock_High_change,GNSS_stock_Low_average,GNSS_stock_Low_max,GNSS_stock_Low_min,GNSS_stock_Low_volatility,GNSS_stock_Low_change,GNSS_stock_Close_average,GNSS_stock_Close_max,GNSS_stock_Close_min,GNSS_stock_Close_volatility,GNSS_stock_Close_change,GNSS_stock_Volume_average,GNSS_stock_Volume_max,GNSS_stock_Volume_min,GNSS_stock_Volume_volatility,GNSS_stock_Volume_change
2018-01-14,2.3175,2.36,2.3,0.06000000000000005,0.0,2.3475,2.36,2.33,0.029999999999999805,0.009999999999999787,2.245,2.26,2.2,0.05999999999999961,-0.05999999999999961,2.275,2.29,2.26,0.03000000000000025,-0.010000000000000231,42071,77939,23766,54173,46658
2018-01-21,2.344,2.42,2.27,0.1499999999999999,0.07000000000000028,2.42,2.54,2.31,0.22999999999999998,0.22999999999999998,2.286,2.33,2.23,0.10000000000000009,0.10000000000000009,2.372,2.52,2.26,0.26000000000000023,0.26000000000000023,68276,134336,28163,106173,91676
2018-01-28,2.442,2.5,2.38,0.1200000000000001,-0.04999999999999982,2.504,2.55,2.42,0.1299999999999999,-0.04999999999999982,2.372,2.41,2.34,0.07000000000000028,-0.040000000000000036,2.424,2.51,2.38,0.1299999999999999,-0.03000000000000025,78026,146832,33601,113231,-89577
2018-02-04,2.236,2.35,2.18,0.16999999999999993,-0.16999999999999993,2.306,2.39,2.23,0.16000000000000014,-0.1499999999999999,2.126,2.25,1.94,0.31000000000000005,-0.31000000000000005,2.196,2.29,2.13,0.16000000000000014,-0.16000000000000014,140205,294550,75563,218987,136976
2018-02-11,2.216,2.33,2.1,0.22999999999999998,0.19999999999999973,2.31,2.35,2.2,0.1499999999999999,0.13999999999999968,2.17,2.27,2.05,0.2200000000000002,0.2200000000000002,2.258,2.32,2.13,0.18999999999999995,0.18999999999999995,57067,71549,49192,22357,12364
2018-02-18,2.3200000000000003,2.35,2.29,0.06000000000000005,-0.06000000000000005,2.3625,2.38,2.32,0.06000000000000005,-0.009999999999999787,2.285,2.3,2.27,0.029999999999999805,-0.020000000000000018,2.3175,2.36,2.29,0.06999999999999984,-0.040000000000000036,33260,44219,22600,21619,-4470
2018-02-25,2.228,2.28,2.19,0.08999999999999986,-0.05999999999999961,2.264,2.33,2.23,0.10000000000000009,-0.10000000000000009,2.15,2.17,2.14,0.029999999999999805,0.0,2.206,2.25,2.17,0.08000000000000007,0.03000000000000025,38058,67437,20966,46471,-43695
2018-03-04,2.212,2.26,2.18,0.07999999999999963,-0.03000000000000025,2.288,2.32,2.25,0.06999999999999984,-0.020000000000000018,2.184,2.2,2.16,0.040000000000000036,0.0,2.234,2.3,2.17,0.1299999999999999,0.029999999999999805,36433,53723,28071,25652,25652
2018-03-11,2.292,2.34,2.24,0.09999999999999964,-0.06999999999999984,2.32,2.39,2.28,0.11000000000000032,-0.07000000000000028,2.2279999999999998,2.27,2.17,0.10000000000000009,-0.009999999999999787,2.274,2.31,2.23,0.08000000000000007,-0.03000000000000025,36550,70705,18205,52500,-48654
2018-03-18,2.214,2.25,2.17,0.08000000000000007,-0.08000000000000007,2.282,2.31,2.26,0.050000000000000266,-0.010000000000000231,2.184,2.2,2.16,0.040000000000000036,-0.040000000000000036,2.232,2.24,2.22,0.020000000000000018,0.020000000000000018,31938,62574,13142,49432,-38836
