Date,MINI_Open_average,MINI_Open_max,MINI_Open_min,MINI_Open_volatility,MINI_Open_change,MINI_High_average,MINI_High_max,MINI_High_min,MINI_High_volatility,MINI_High_change,MINI_Low_average,MINI_Low_max,MINI_Low_min,MINI_Low_volatility,MINI_Low_change,MINI_Close_average,MINI_Close_max,MINI_Close_min,MINI_Close_volatility,MINI_Close_change,MINI_Volume_average,MINI_Volume_max,MINI_Volume_min,MINI_Volume_volatility,MINI_Volume_change
2018-01-14,36.82,37.7,35.7,2.0,-0.8000000000000043,37.3,38.0,37.0,1.0,-1.0,35.99,36.65,35.7,0.9499999999999957,-0.5499999999999972,36.7,37.1,35.8,1.3000000000000043,0.14999999999999858,128128,171492,89347,82145,-25158
2018-01-21,36.51,36.8,36.35,0.44999999999999574,-0.14999999999999858,36.866,37.3,36.5,0.7999999999999972,0.05000000000000426,35.96,36.35,35.5,0.8500000000000014,0.8500000000000014,36.54,36.8,36.2,0.5999999999999943,0.04999999999999716,101506,129431,65387,64044,-12453
2018-01-28,39.58,43.6,36.55,7.050000000000004,7.050000000000004,40.76,46.1,37.55,8.550000000000004,8.550000000000004,38.84,42.5,36.55,5.950000000000003,5.950000000000003,39.69,42.65,37.35,5.299999999999997,5.299999999999997,465986,892475,174770,717705,650197
2018-02-04,42.41,43.8,41.2,2.5999999999999943,-1.3499999999999943,43.728,45.25,42.8,2.450000000000003,-1.1500000000000057,41.43,42.45,40.75,1.7000000000000028,-1.1000000000000014,42.01,43.75,41.15,2.6000000000000014,-2.5,464579,563503,418949,144554,-140342
2018-02-11,42.175,43.65,40.8,2.8500000000000014,2.549999999999997,42.9625,43.65,41.7,1.9499999999999957,1.75,41.394999999999996,42.4,40.75,1.6499999999999986,0.7700000000000031,42.4625,43.3,41.2,2.0999999999999943,1.4499999999999957,223360,337355,143401,193954,-112767
2018-02-18,43.02,43.65,42.4,1.25,1.25,43.494,44.15,43.2,0.9499999999999957,0.9200000000000017,42.626,43.1,42.17,0.9299999999999997,0.9299999999999997,43.01,43.45,42.55,0.9000000000000057,0.5500000000000043,135012,158907,96985,61922,-6163
2018-02-25,42.0,43.25,40.9,2.3500000000000014,-1.8500000000000014,42.638,43.55,41.9,1.6499999999999986,-1.6499999999999986,41.01,42.35,40.05,2.3000000000000043,-2.3000000000000043,41.76,42.5,41.25,1.25,-1.2000000000000028,281907,313747,235299,78448,32589
2018-03-04,42.74,44.3,41.5,2.799999999999997,2.799999999999997,43.44,44.65,42.35,2.299999999999997,2.299999999999997,41.85,43.8,39.75,4.049999999999997,2.6499999999999986,43.29,44.4,42.25,2.1499999999999986,2.1499999999999986,152385,168664,112068,56596,16974
2018-03-11,44.52,44.85,44.05,0.8000000000000043,0.09999999999999432,44.949999999999996,45.25,44.35,0.8999999999999986,-0.20000000000000284,43.782,44.5,42.96,1.5399999999999991,-1.1000000000000014,44.36,44.85,44.05,0.8000000000000043,-0.25,235214,455118,133250,321868,37645
2018-03-18,44.43,45.05,43.55,1.5,-0.8000000000000043,45.114,45.6,44.4,1.2000000000000028,-0.7000000000000028,43.92,44.65,43.15,1.5,-0.9500000000000028,44.410000000000004,45.45,43.15,2.3000000000000043,-0.6000000000000014,218557,373044,145910,227134,55797
2018-03-25,43.725,44.6,43.2,1.3999999999999986,-1.1499999999999986,44.4125,44.95,43.7,1.25,-1.1999999999999957,42.75,43.3,41.8,1.5,-1.5,43.0625,43.5,42.25,1.25,-1.25,223650,268411,179384,89027,-89027
2018-04-01,43.06,43.7,42.4,1.3000000000000043,1.3000000000000043,43.519999999999996,43.8,43.25,0.5499999999999972,0.5499999999999972,42.66,43.05,42.2,0.8499999999999943,0.5500000000000043,43.16,43.4,42.85,0.5499999999999972,-0.14999999999999858,295785,455618,167028,288590,-44934
2018-04-08,44.04,44.6,43.25,1.3500000000000014,1.3500000000000014,44.52,45.15,44.1,1.0499999999999972,0.9499999999999957,43.416000000000004,44.2,42.38,1.8200000000000003,1.2000000000000028,44.25,44.95,43.95,1.0,1.0,182568,254615,100171,154444,69148
2018-04-15,44.68,45.65,43.6,2.049999999999997,-1.6999999999999957,45.21,45.8,44.5,1.2999999999999972,-0.75,43.94,44.95,41.55,3.4000000000000057,-1.1000000000000014,44.71,45.6,43.4,2.200000000000003,-0.7999999999999972,298453,527064,211807,315257,31678
2018-04-22,43.13,44.0,42.75,1.25,-1.25,43.6,44.7,43.05,1.6500000000000057,-1.6500000000000057,42.315999999999995,42.65,41.73,0.9200000000000017,-0.9200000000000017,42.76,43.25,42.0,1.25,-0.8999999999999986,191366,271867,151243,120624,-120624
2018-04-29,42.41,43.75,41.85,1.8999999999999986,1.8500000000000014,43.316,44.5,42.33,2.1700000000000017,2.1700000000000017,42.12,43.5,41.3,2.200000000000003,2.200000000000003,43.01,44.4,42.05,2.3500000000000014,2.1499999999999986,177735,262901,122689,140212,-140212
2018-05-06,44.97,45.35,44.5,0.8500000000000014,0.8500000000000014,45.34,45.95,45.0,0.9500000000000028,0.3999999999999986,44.7,45.0,44.35,0.6499999999999986,0.5499999999999972,45.089999999999996,45.3,44.9,0.3999999999999986,0.25,120130,154410,89543,64867,34616
2018-05-13,45.66,46.25,44.8,1.4500000000000028,1.4500000000000028,46.4,47.35,45.7,1.6499999999999986,1.6499999999999986,45.282,45.9,44.12,1.7800000000000011,1.5200000000000031,46.05,47.3,45.3,2.0,2.0,250871,403402,137303,266099,212914
2018-05-20,46.2875,47.5,45.85,1.6499999999999986,-1.6499999999999986,46.480000000000004,47.62,45.95,1.6699999999999946,-1.6699999999999946,45.6,45.9,45.25,0.6499999999999986,-0.6499999999999986,45.8125,46.0,45.5,0.5,-0.5,184185,516070,61207,454863,-443951
2018-05-27,46.13,46.95,45.35,1.6000000000000014,0.3500000000000014,46.856,48.05,46.1,1.9499999999999957,-0.75,45.5,46.55,45.0,1.5499999999999972,-0.14999999999999858,46.07,46.95,45.4,1.5500000000000043,-0.8999999999999986,233380,356369,133334,223035,61024
2018-06-03,46.93,48.25,45.75,2.5,1.0499999999999972,47.73,48.65,46.5,2.1499999999999986,0.9500000000000028,46.486,47.0,45.43,1.5700000000000003,1.1700000000000017,47.24,48.35,46.5,1.8500000000000014,0.8999999999999986,194872,376819,98343,278476,-236051
2018-06-10,46.91,47.35,46.55,0.8000000000000043,-0.8000000000000043,47.288,47.81,46.83,0.980000000000004,-0.7600000000000051,46.382,46.8,46.11,0.6899999999999977,-0.6899999999999977,46.839999999999996,47.05,46.6,0.44999999999999574,-0.44999999999999574,282162,399887,115916,283971,206512
