Date,BANR_Open_average,BANR_Open_max,BANR_Open_min,BANR_Open_volatility,BANR_Open_change,BANR_High_average,BANR_High_max,BANR_High_min,BANR_High_volatility,BANR_High_change,BANR_Low_average,BANR_Low_max,BANR_Low_min,BANR_Low_volatility,BANR_Low_change,BANR_Close_average,BANR_Close_max,BANR_Close_min,BANR_Close_volatility,BANR_Close_change,BANR_Volume_average,BANR_Volume_max,BANR_Volume_min,BANR_Volume_volatility,BANR_Volume_change
2018-01-14,57.832,58.73,56.94,1.7899999999999991,-1.5399999999999991,58.268,59.1,57.66,1.4400000000000048,-1.0799999999999983,57.05,57.62,56.62,1.0,-1.0,57.418,58.04,57.06,0.9799999999999969,-0.6599999999999966,160953,310538,88316,222222,-54584
2018-01-21,55.862,57.74,54.56,3.1799999999999997,-1.9600000000000009,56.48,58.0,55.31,2.6899999999999977,-2.549999999999997,55.338,56.76,54.25,2.509999999999998,-2.1799999999999997,55.804,57.4,54.5,2.8999999999999986,-2.8999999999999986,222125,414500,126791,287709,99163
2018-01-28,54.434,54.96,53.9,1.0600000000000023,0.6499999999999986,55.314,56.17,54.93,1.240000000000002,0.29999999999999716,54.112,54.96,53.5,1.4600000000000009,-0.3999999999999986,54.572,55.32,53.5,1.8200000000000003,-1.0399999999999991,219739,269126,179756,89370,23326
2018-02-04,53.006,53.34,52.53,0.8100000000000023,0.8100000000000023,53.816,54.56,53.44,1.1200000000000045,-0.03999999999999915,52.422,52.77,52.2,0.5700000000000003,0.5400000000000063,52.98,53.26,52.36,0.8999999999999986,0.01999999999999602,242674,412058,133277,278781,-278781
2018-02-11,53.455,54.75,52.62,2.1300000000000026,1.0800000000000054,54.302499999999995,54.98,53.23,1.75,1.75,53.239999999999995,53.91,52.62,1.2899999999999991,1.0800000000000054,53.91,54.37,53.04,1.3299999999999983,1.3299999999999983,148189,254394,98448,155946,128751
2018-02-18,54.96,56.0,53.9,2.1000000000000014,1.8900000000000006,55.608,56.49,54.5,1.990000000000002,1.990000000000002,54.358,54.96,53.76,1.2000000000000028,0.8100000000000023,55.278,56.43,53.84,2.5899999999999963,2.5899999999999963,199891,407327,125947,281380,-199
2018-02-25,55.696,56.29,54.96,1.3299999999999983,-0.39000000000000057,56.596,57.29,56.03,1.259999999999998,-0.46000000000000085,55.164,55.69,54.73,0.9600000000000009,-0.4899999999999949,55.804,56.5,55.2,1.2999999999999972,0.5900000000000034,307128,419067,201047,218020,82130
2018-03-04,57.126,57.66,56.42,1.2399999999999949,0.8199999999999932,57.65,57.9,57.13,0.769999999999996,0.75,56.478,57.19,55.9,1.2899999999999991,1.2899999999999991,57.334,57.78,56.77,1.009999999999998,1.009999999999998,231482,258833,174912,83921,-10310
2018-03-11,58.098,58.25,57.99,0.259999999999998,0.0899999999999963,58.386,58.79,58.22,0.5700000000000003,0.020000000000003126,57.467999999999996,57.64,57.01,0.6300000000000026,-0.5700000000000003,58.036,58.28,57.84,0.4399999999999977,-0.25,322590,601338,179268,422070,-94020
2018-03-18,56.916000000000004,58.1,54.92,3.1799999999999997,-3.1799999999999997,57.274,58.27,55.93,2.3400000000000034,-2.1700000000000017,55.436,56.93,53.52,3.4099999999999966,-2.809999999999995,56.374,57.93,54.18,3.75,-1.75,201216,297183,140778,156405,27937
2018-03-25,55.5125,55.88,55.22,0.6600000000000037,-0.5700000000000003,56.1625,56.93,55.66,1.2700000000000031,-0.5600000000000023,54.59,54.86,54.1,0.759999999999998,-0.759999999999998,55.1625,55.6,54.6,1.0,-0.35999999999999943,251421,412327,146473,265854,-22994
2018-04-01,55.316,56.18,54.39,1.7899999999999991,-0.4299999999999997,56.078,56.61,55.45,1.1599999999999966,0.18999999999999773,54.6,55.7,54.21,1.490000000000002,-0.19999999999999574,55.332,56.54,54.25,2.289999999999999,-0.75,203352,448963,120110,328853,-328853
2018-04-08,55.666000000000004,56.38,55.11,1.2700000000000031,0.5900000000000034,56.004,56.38,55.58,0.8000000000000043,0.46999999999999886,55.036,55.21,54.62,0.5900000000000034,0.5600000000000023,55.626,56.06,55.33,0.730000000000004,0.5800000000000054,109987,174488,86346,88142,82137
2018-04-15,55.946,56.28,55.53,0.75,0.030000000000001137,56.326,56.45,56.25,0.20000000000000284,0.1700000000000017,55.32,55.77,54.35,1.4200000000000017,1.3799999999999955,55.728,55.98,55.34,0.6399999999999935,0.2700000000000031,174427,246462,120505,125957,125957
2018-04-22,58.202,58.43,57.74,0.6899999999999977,0.6899999999999977,58.858,59.25,58.55,0.7000000000000028,-0.46000000000000085,57.428,57.9,56.16,1.740000000000002,1.220000000000006,58.086,58.44,57.4,1.0399999999999991,-0.7100000000000009,273577,439142,156832,282310,-238174
2018-04-29,57.808,58.52,57.36,1.1600000000000037,1.1100000000000065,58.574,59.1,57.93,1.1700000000000017,0.8200000000000003,57.274,58.03,56.83,1.2000000000000028,1.2000000000000028,58.22,58.93,57.47,1.4600000000000009,0.7800000000000011,179495,333072,87088,245984,-175594
2018-05-06,58.856,59.11,58.62,0.490000000000002,-0.22999999999999687,59.188,59.39,59.0,0.39000000000000057,-0.36999999999999744,58.306000000000004,58.54,57.99,0.5499999999999972,-0.5499999999999972,58.628,58.9,58.05,0.8500000000000014,-0.730000000000004,137669,183145,88323,94822,5584
2018-05-13,58.538000000000004,59.34,57.86,1.480000000000004,0.4100000000000037,59.268,59.63,58.8,0.8300000000000054,0.5800000000000054,58.202,58.5,57.86,0.6400000000000006,0.4100000000000037,58.73,59.11,58.11,1.0,0.4799999999999969,200366,257732,168351,89381,30196
2018-05-20,59.5375,59.73,59.25,0.4799999999999969,0.39000000000000057,60.15,60.62,59.84,0.779999999999994,0.4199999999999946,59.1475,59.47,58.42,1.0499999999999972,0.20000000000000284,59.847500000000004,60.09,59.74,0.3500000000000014,0.3500000000000014,156171,211370,104070,107300,-40227
2018-05-27,60.036,60.69,59.55,1.1400000000000006,1.1400000000000006,60.559999999999995,60.98,60.12,0.8599999999999994,0.8599999999999994,59.748,60.3,58.89,1.4099999999999966,1.4099999999999966,60.104,60.94,59.22,1.7199999999999989,1.7199999999999989,179153,222444,149435,73009,-6427
2018-06-03,61.652,62.37,60.9,1.4699999999999989,1.1799999999999997,62.058,62.98,61.0,1.9799999999999969,1.1899999999999977,61.174,61.84,60.43,1.4100000000000037,0.6199999999999974,61.589999999999996,62.37,60.8,1.5700000000000003,0.46000000000000085,228035,360856,109305,251551,-150181
