Date,ProShares UltraPro Russell2000_etf_Open_average,ProShares UltraPro Russell2000_etf_Open_max,ProShares UltraPro Russell2000_etf_Open_min,ProShares UltraPro Russell2000_etf_Open_volatility,ProShares UltraPro Russell2000_etf_Open_change,ProShares UltraPro Russell2000_etf_High_average,ProShares UltraPro Russell2000_etf_High_max,ProShares UltraPro Russell2000_etf_High_min,ProShares UltraPro Russell2000_etf_High_volatility,ProShares UltraPro Russell2000_etf_High_change,ProShares UltraPro Russell2000_etf_Low_average,ProShares UltraPro Russell2000_etf_Low_max,ProShares UltraPro Russell2000_etf_Low_min,ProShares UltraPro Russell2000_etf_Low_volatility,ProShares UltraPro Russell2000_etf_Low_change,ProShares UltraPro Russell2000_etf_Close_average,ProShares UltraPro Russell2000_etf_Close_max,ProShares UltraPro Russell2000_etf_Close_min,ProShares UltraPro Russell2000_etf_Close_volatility,ProShares UltraPro Russell2000_etf_Close_change
2018-01-14,89.18,89.18,89.18,0.0,0.0,92.55,92.55,92.55,0.0,0.0,89.05,89.05,89.05,0.0,0.0,92.45,92.45,92.45,0.0,0.0
2018-01-21,93.93,93.93,93.93,0.0,0.0,94.33,94.33,94.33,0.0,0.0,92.7,92.7,92.7,0.0,0.0,94.08,94.08,94.08,0.0,0.0
2018-01-28,87.87,87.87,87.87,0.0,0.0,87.87,87.87,87.87,0.0,0.0,83.6,83.6,83.6,0.0,0.0,84.13,84.13,84.13,0.0,0.0
2018-02-04,72.3,72.3,72.3,0.0,0.0,74.07,74.07,74.07,0.0,0.0,66.23,66.23,66.23,0.0,0.0,72.07,72.07,72.07,0.0,0.0
2018-02-11,81.21,81.21,81.21,0.0,0.0,83.8,83.8,83.8,0.0,0.0,81.21,81.21,81.21,0.0,0.0,82.13,82.13,82.13,0.0,0.0
2018-02-18,81.54,81.54,81.54,0.0,0.0,83.2,83.2,83.2,0.0,0.0,80.4,80.4,80.4,0.0,0.0,83.19,83.19,83.19,0.0,0.0
2018-02-25,74.76,74.76,74.76,0.0,0.0,80.93,80.93,80.93,0.0,0.0,74.5,74.5,74.5,0.0,0.0,80.36,80.36,80.36,0.0,0.0
2018-03-04,88.23,88.23,88.23,0.0,0.0,91.0,91.0,91.0,0.0,0.0,87.58,87.58,87.58,0.0,0.0,90.84,90.84,90.84,0.0,0.0
2018-03-11,87.48,87.48,87.48,0.0,0.0,89.63,89.63,89.63,0.0,0.0,87.48,87.48,87.48,0.0,0.0,88.78,88.78,88.78,0.0,0.0
2018-03-18,82.26,82.26,82.26,0.0,0.0,83.24,83.24,83.24,0.0,0.0,76.69,76.69,76.69,0.0,0.0,76.79,76.79,76.79,0.0,0.0
2018-03-25,77.94,77.94,77.94,0.0,0.0,81.08,81.08,81.08,0.0,0.0,77.7,77.7,77.7,0.0,0.0,79.24,79.24,79.24,0.0,0.0
2018-04-01,79.7,79.7,79.7,0.0,0.0,81.25,81.25,81.25,0.0,0.0,74.7,74.7,74.7,0.0,0.0,76.76,76.76,76.76,0.0,0.0
2018-04-08,84.08,84.08,84.08,0.0,0.0,84.08,84.08,84.08,0.0,0.0,81.21,81.21,81.21,0.0,0.0,81.98,81.98,81.98,0.0,0.0
2018-04-15,85.16,85.16,85.16,0.0,0.0,86.23,86.23,86.23,0.0,0.0,83.69,83.69,83.69,0.0,0.0,84.37,84.37,84.37,0.0,0.0
2018-04-22,83.28,83.28,83.28,0.0,0.0,83.86,83.86,83.86,0.0,0.0,81.44,81.44,81.44,0.0,0.0,82.86,82.86,82.86,0.0,0.0
2018-04-29,80.49,80.49,80.49,0.0,0.0,85.5,85.5,85.5,0.0,0.0,80.05,80.05,80.05,0.0,0.0,84.31,84.31,84.31,0.0,0.0
2018-05-06,90.55,90.55,90.55,0.0,0.0,91.5,91.5,91.5,0.0,0.0,89.66,89.66,89.66,0.0,0.0,90.92,90.92,90.92,0.0,0.0
2018-05-13,94.55,94.55,94.55,0.0,0.0,95.06,95.06,95.06,0.0,0.0,93.89,93.89,93.89,0.0,0.0,94.45,94.45,94.45,0.0,0.0
2018-05-20,94.18,94.18,94.18,0.0,0.0,94.75,94.75,94.75,0.0,0.0,93.68,93.68,93.68,0.0,0.0,94.2,94.2,94.2,0.0,0.0
2018-05-27,97.86,97.86,97.86,0.0,0.0,98.55,98.55,98.55,0.0,0.0,96.65,96.65,96.65,0.0,0.0,97.78,97.78,97.78,0.0,0.0
2018-06-03,101.5,101.5,101.5,0.0,0.0,102.5,102.5,102.5,0.0,0.0,100.98,100.98,100.98,0.0,0.0,102.38,102.38,102.38,0.0,0.0
2018-06-10,103.59,103.59,103.59,0.0,0.0,104.68,104.68,104.68,0.0,0.0,102.22,102.22,102.22,0.0,0.0,104.46,104.46,104.46,0.0,0.0
2018-06-17,106.73,106.73,106.73,0.0,0.0,106.86,106.86,106.86,0.0,0.0,103.53,103.53,103.53,0.0,0.0,104.28,104.28,104.28,0.0,0.0
2018-06-24,98.01,98.01,98.01,0.0,0.0,99.09,99.09,99.09,0.0,0.0,96.65,96.65,96.65,0.0,0.0,96.65,96.65,96.65,0.0,0.0
2018-07-01,103.51,103.51,103.51,0.0,0.0,106.23,106.23,106.23,0.0,0.0,102.75,102.75,102.75,0.0,0.0,105.97,105.97,105.97,0.0,0.0
2018-07-08,105.04,105.04,105.04,0.0,0.0,106.64,106.64,106.64,0.0,0.0,104.35,104.35,104.35,0.0,0.0,104.35,104.35,104.35,0.0,0.0
2018-07-15,106.89,106.89,106.89,0.0,0.0,107.55,107.55,107.55,0.0,0.0,105.93,105.93,105.93,0.0,0.0,106.17,106.17,106.17,0.0,0.0
2018-07-22,105.84,105.84,105.84,0.0,0.0,106.26,106.26,106.26,0.0,0.0,99.0,99.0,99.0,0.0,0.0,99.9,99.9,99.9,0.0,0.0
2018-07-29,103.21,103.21,103.21,0.0,0.0,104.0,104.0,104.0,0.0,0.0,100.35,100.35,100.35,0.0,0.0,101.53,101.53,101.53,0.0,0.0
