Date,Goldman Sachs Equal Weight U.S. Large Cap EquityEtf_Open_average,Goldman Sachs Equal Weight U.S. Large Cap EquityEtf_Open_max,Goldman Sachs Equal Weight U.S. Large Cap EquityEtf_Open_min,Goldman Sachs Equal Weight U.S. Large Cap EquityEtf_Open_volatility,Goldman Sachs Equal Weight U.S. Large Cap EquityEtf_Open_change,Goldman Sachs Equal Weight U.S. Large Cap EquityEtf_High_average,Goldman Sachs Equal Weight U.S. Large Cap EquityEtf_High_max,Goldman Sachs Equal Weight U.S. Large Cap EquityEtf_High_min,Goldman Sachs Equal Weight U.S. Large Cap EquityEtf_High_volatility,Goldman Sachs Equal Weight U.S. Large Cap EquityEtf_High_change,Goldman Sachs Equal Weight U.S. Large Cap EquityEtf_Low_average,Goldman Sachs Equal Weight U.S. Large Cap EquityEtf_Low_max,Goldman Sachs Equal Weight U.S. Large Cap EquityEtf_Low_min,Goldman Sachs Equal Weight U.S. Large Cap EquityEtf_Low_volatility,Goldman Sachs Equal Weight U.S. Large Cap EquityEtf_Low_change,Goldman Sachs Equal Weight U.S. Large Cap EquityEtf_Close_average,Goldman Sachs Equal Weight U.S. Large Cap EquityEtf_Close_max,Goldman Sachs Equal Weight U.S. Large Cap EquityEtf_Close_min,Goldman Sachs Equal Weight U.S. Large Cap EquityEtf_Close_volatility,Goldman Sachs Equal Weight U.S. Large Cap EquityEtf_Close_change
2018-01-14,45.18,45.18,45.18,0.0,0.0,45.31,45.31,45.31,0.0,0.0,45.11,45.11,45.11,0.0,0.0,45.31,45.31,45.31,0.0,0.0
2018-01-21,45.85,45.85,45.85,0.0,0.0,46.22,46.22,46.22,0.0,0.0,45.85,45.85,45.85,0.0,0.0,46.22,46.22,46.22,0.0,0.0
2018-01-28,45.19,45.19,45.19,0.0,0.0,45.19,45.19,45.19,0.0,0.0,44.42,44.42,44.42,0.0,0.0,44.43,44.43,44.43,0.0,0.0
2018-02-04,42.3,42.3,42.3,0.0,0.0,42.33,42.33,42.33,0.0,0.0,41.01,41.01,41.01,0.0,0.0,42.24,42.24,42.24,0.0,0.0
2018-02-11,43.93,43.93,43.93,0.0,0.0,44.3,44.3,44.3,0.0,0.0,43.93,43.93,43.93,0.0,0.0,44.03,44.03,44.03,0.0,0.0
2018-02-18,43.73,43.73,43.73,0.0,0.0,44.1,44.1,44.1,0.0,0.0,43.73,43.73,43.73,0.0,0.0,44.08,44.08,44.08,0.0,0.0
2018-02-25,42.67,42.67,42.67,0.0,0.0,43.15,43.15,43.15,0.0,0.0,42.67,42.67,42.67,0.0,0.0,43.08,43.08,43.08,0.0,0.0
2018-03-04,44.45,44.45,44.45,0.0,0.0,44.76,44.76,44.76,0.0,0.0,44.45,44.45,44.45,0.0,0.0,44.76,44.76,44.76,0.0,0.0
2018-03-11,44.56,44.56,44.56,0.0,0.0,44.56,44.56,44.56,0.0,0.0,44.47,44.47,44.47,0.0,0.0,44.48,44.48,44.48,0.0,0.0
2018-03-18,43.06,43.06,43.06,0.0,0.0,43.06,43.06,43.06,0.0,0.0,42.93,42.93,42.93,0.0,0.0,42.95,42.95,42.95,0.0,0.0
