Date,Goldman Sachs ActiveBeta Japan Equity_Open_average,Goldman Sachs ActiveBeta Japan Equity_Open_max,Goldman Sachs ActiveBeta Japan Equity_Open_min,Goldman Sachs ActiveBeta Japan Equity_Open_volatility,Goldman Sachs ActiveBeta Japan Equity_Open_change,Goldman Sachs ActiveBeta Japan Equity_High_average,Goldman Sachs ActiveBeta Japan Equity_High_max,Goldman Sachs ActiveBeta Japan Equity_High_min,Goldman Sachs ActiveBeta Japan Equity_High_volatility,Goldman Sachs ActiveBeta Japan Equity_High_change,Goldman Sachs ActiveBeta Japan Equity_Low_average,Goldman Sachs ActiveBeta Japan Equity_Low_max,Goldman Sachs ActiveBeta Japan Equity_Low_min,Goldman Sachs ActiveBeta Japan Equity_Low_volatility,Goldman Sachs ActiveBeta Japan Equity_Low_change,Goldman Sachs ActiveBeta Japan Equity_Close_average,Goldman Sachs ActiveBeta Japan Equity_Close_max,Goldman Sachs ActiveBeta Japan Equity_Close_min,Goldman Sachs ActiveBeta Japan Equity_Close_volatility,Goldman Sachs ActiveBeta Japan Equity_Close_change
2018-01-14,35.54,35.54,35.54,0.0,0.0,35.7,35.7,35.7,0.0,0.0,35.54,35.54,35.54,0.0,0.0,35.7,35.7,35.7,0.0,0.0
2018-01-21,35.75,35.75,35.75,0.0,0.0,35.85,35.85,35.85,0.0,0.0,35.75,35.75,35.75,0.0,0.0,35.85,35.85,35.85,0.0,0.0
2018-01-28,34.07,34.07,34.07,0.0,0.0,34.25,34.25,34.25,0.0,0.0,33.05,33.05,33.05,0.0,0.0,33.05,33.05,33.05,0.0,0.0
2018-02-04,33.3,33.3,33.3,0.0,0.0,33.67,33.67,33.67,0.0,0.0,33.3,33.3,33.3,0.0,0.0,33.67,33.67,33.67,0.0,0.0
2018-02-11,34.25,34.25,34.25,0.0,0.0,34.48,34.48,34.48,0.0,0.0,34.25,34.25,34.25,0.0,0.0,34.41,34.41,34.41,0.0,0.0
2018-02-18,34.75,34.75,34.75,0.0,0.0,34.97,34.97,34.97,0.0,0.0,34.75,34.75,34.75,0.0,0.0,34.97,34.97,34.97,0.0,0.0
2018-02-25,33.53,33.53,33.53,0.0,0.0,33.87,33.87,33.87,0.0,0.0,33.53,33.53,33.53,0.0,0.0,33.87,33.87,33.87,0.0,0.0
2018-03-04,33.97,33.97,33.97,0.0,0.0,33.98,33.98,33.98,0.0,0.0,33.96,33.96,33.96,0.0,0.0,33.98,33.98,33.98,0.0,0.0
2018-03-11,34.04,34.04,34.04,0.0,0.0,34.15,34.15,34.15,0.0,0.0,34.04,34.04,34.04,0.0,0.0,34.15,34.15,34.15,0.0,0.0
2018-03-18,33.16,33.16,33.16,0.0,0.0,33.16,33.16,33.16,0.0,0.0,33.08,33.08,33.08,0.0,0.0,33.08,33.08,33.08,0.0,0.0
2018-03-25,33.8,33.8,33.8,0.0,0.0,33.88,33.88,33.88,0.0,0.0,33.51,33.51,33.51,0.0,0.0,33.51,33.51,33.51,0.0,0.0
2018-04-01,34.06,34.06,34.06,0.0,0.0,34.24,34.24,34.24,0.0,0.0,34.05,34.05,34.05,0.0,0.0,34.23,34.23,34.23,0.0,0.0
2018-04-08,34.09,34.09,34.09,0.0,0.0,34.09,34.09,34.09,0.0,0.0,34.07,34.07,34.07,0.0,0.0,34.07,34.07,34.07,0.0,0.0
2018-04-15,34.19,34.19,34.19,0.0,0.0,34.24,34.24,34.24,0.0,0.0,34.15,34.15,34.15,0.0,0.0,34.15,34.15,34.15,0.0,0.0
2018-04-22,34.39,34.39,34.39,0.0,0.0,34.39,34.39,34.39,0.0,0.0,34.35,34.35,34.35,0.0,0.0,34.37,34.37,34.37,0.0,0.0
2018-04-29,34.44,34.44,34.44,0.0,0.0,34.44,34.44,34.44,0.0,0.0,34.42,34.42,34.42,0.0,0.0,34.42,34.42,34.42,0.0,0.0
2018-05-06,34.83,34.83,34.83,0.0,0.0,34.85,34.85,34.85,0.0,0.0,34.79,34.79,34.79,0.0,0.0,34.85,34.85,34.85,0.0,0.0
2018-05-13,34.54,34.54,34.54,0.0,0.0,34.54,34.54,34.54,0.0,0.0,34.54,34.54,34.54,0.0,0.0,34.54,34.54,34.54,0.0,0.0
2018-05-20,34.27,34.27,34.27,0.0,0.0,34.27,34.27,34.27,0.0,0.0,34.01,34.01,34.01,0.0,0.0,34.01,34.01,34.01,0.0,0.0
2018-05-27,34.34,34.34,34.34,0.0,0.0,34.36,34.36,34.36,0.0,0.0,34.31,34.31,34.31,0.0,0.0,34.31,34.31,34.31,0.0,0.0
2018-06-03,34.62,34.62,34.62,0.0,0.0,34.7,34.7,34.7,0.0,0.0,34.6,34.6,34.6,0.0,0.0,34.64,34.64,34.64,0.0,0.0
2018-06-10,34.02,34.02,34.02,0.0,0.0,34.04,34.04,34.04,0.0,0.0,34.02,34.02,34.02,0.0,0.0,34.04,34.04,34.04,0.0,0.0
2018-06-17,33.17,33.17,33.17,0.0,0.0,33.17,33.17,33.17,0.0,0.0,32.92,32.92,32.92,0.0,0.0,32.92,32.92,32.92,0.0,0.0
2018-06-24,32.28,32.28,32.28,0.0,0.0,32.33,32.33,32.33,0.0,0.0,32.26,32.26,32.26,0.0,0.0,32.33,32.33,32.33,0.0,0.0
2018-07-01,32.85,32.85,32.85,0.0,0.0,32.9,32.9,32.9,0.0,0.0,32.85,32.85,32.85,0.0,0.0,32.9,32.9,32.9,0.0,0.0
2018-07-08,32.75,32.75,32.75,0.0,0.0,32.75,32.75,32.75,0.0,0.0,32.66,32.66,32.66,0.0,0.0,32.66,32.66,32.66,0.0,0.0
2018-07-15,33.13,33.13,33.13,0.0,0.0,33.17,33.17,33.17,0.0,0.0,33.13,33.13,33.13,0.0,0.0,33.16,33.16,33.16,0.0,0.0
2018-07-22,33.57,33.57,33.57,0.0,0.0,33.57,33.57,33.57,0.0,0.0,33.53,33.53,33.53,0.0,0.0,33.53,33.53,33.53,0.0,0.0
