Date,FlexShares Global Quality Real Estate_Open_average,FlexShares Global Quality Real Estate_Open_max,FlexShares Global Quality Real Estate_Open_min,FlexShares Global Quality Real Estate_Open_volatility,FlexShares Global Quality Real Estate_Open_change,FlexShares Global Quality Real Estate_High_average,FlexShares Global Quality Real Estate_High_max,FlexShares Global Quality Real Estate_High_min,FlexShares Global Quality Real Estate_High_volatility,FlexShares Global Quality Real Estate_High_change,FlexShares Global Quality Real Estate_Low_average,FlexShares Global Quality Real Estate_Low_max,FlexShares Global Quality Real Estate_Low_min,FlexShares Global Quality Real Estate_Low_volatility,FlexShares Global Quality Real Estate_Low_change,FlexShares Global Quality Real Estate_Close_average,FlexShares Global Quality Real Estate_Close_max,FlexShares Global Quality Real Estate_Close_min,FlexShares Global Quality Real Estate_Close_volatility,FlexShares Global Quality Real Estate_Close_change
2018-01-14,62.38,62.38,62.38,0.0,0.0,62.51,62.51,62.51,0.0,0.0,62.36,62.36,62.36,0.0,0.0,62.51,62.51,62.51,0.0,0.0
2018-01-21,63.79,63.79,63.79,0.0,0.0,63.88,63.88,63.88,0.0,0.0,63.63,63.63,63.63,0.0,0.0,63.88,63.88,63.88,0.0,0.0
2018-01-28,61.92,61.92,61.92,0.0,0.0,61.94,61.94,61.94,0.0,0.0,61.47,61.47,61.47,0.0,0.0,61.54,61.54,61.54,0.0,0.0
2018-02-04,58.11,58.11,58.11,0.0,0.0,58.93,58.93,58.93,0.0,0.0,57.24,57.24,57.24,0.0,0.0,58.63,58.63,58.63,0.0,0.0
2018-02-11,59.96,59.96,59.96,0.0,0.0,60.4,60.4,60.4,0.0,0.0,59.96,59.96,59.96,0.0,0.0,60.31,60.31,60.31,0.0,0.0
2018-02-18,59.39,59.39,59.39,0.0,0.0,59.77,59.77,59.77,0.0,0.0,59.37,59.37,59.37,0.0,0.0,59.77,59.77,59.77,0.0,0.0
2018-02-25,58.37,58.37,58.37,0.0,0.0,58.73,58.73,58.73,0.0,0.0,58.26,58.26,58.26,0.0,0.0,58.73,58.73,58.73,0.0,0.0
2018-03-04,59.91,59.91,59.91,0.0,0.0,60.3,60.3,60.3,0.0,0.0,59.91,59.91,59.91,0.0,0.0,60.3,60.3,60.3,0.0,0.0
2018-03-11,60.38,60.38,60.38,0.0,0.0,60.67,60.67,60.67,0.0,0.0,60.38,60.38,60.38,0.0,0.0,60.59,60.59,60.59,0.0,0.0
2018-03-18,59.5,59.5,59.5,0.0,0.0,59.5,59.5,59.5,0.0,0.0,58.59,58.59,58.59,0.0,0.0,58.63,58.63,58.63,0.0,0.0
2018-03-25,60.39,60.39,60.39,0.0,0.0,60.67,60.67,60.67,0.0,0.0,60.39,60.39,60.39,0.0,0.0,60.45,60.45,60.45,0.0,0.0
2018-04-01,60.76,60.76,60.76,0.0,0.0,61.04,61.04,61.04,0.0,0.0,60.35,60.35,60.35,0.0,0.0,60.47,60.47,60.47,0.0,0.0
2018-04-08,60.91,60.91,60.91,0.0,0.0,61.03,61.03,61.03,0.0,0.0,60.83,60.83,60.83,0.0,0.0,60.91,60.91,60.91,0.0,0.0
2018-04-15,61.13,61.13,61.13,0.0,0.0,61.13,61.13,61.13,0.0,0.0,60.75,60.75,60.75,0.0,0.0,60.8,60.8,60.8,0.0,0.0
2018-04-22,61.36,61.36,61.36,0.0,0.0,61.87,61.87,61.87,0.0,0.0,61.36,61.36,61.36,0.0,0.0,61.81,61.81,61.81,0.0,0.0
2018-04-29,61.67,61.67,61.67,0.0,0.0,62.19,62.19,62.19,0.0,0.0,61.67,61.67,61.67,0.0,0.0,62.09,62.09,62.09,0.0,0.0
2018-05-06,63.04,63.04,63.04,0.0,0.0,63.1,63.1,63.1,0.0,0.0,62.93,62.93,62.93,0.0,0.0,62.95,62.95,62.95,0.0,0.0
2018-05-13,61.41,61.41,61.41,0.0,0.0,61.41,61.41,61.41,0.0,0.0,61.24,61.24,61.24,0.0,0.0,61.38,61.38,61.38,0.0,0.0
2018-05-20,62.25,62.25,62.25,0.0,0.0,62.4,62.4,62.4,0.0,0.0,62.23,62.23,62.23,0.0,0.0,62.34,62.34,62.34,0.0,0.0
2018-05-27,62.91,62.91,62.91,0.0,0.0,63.06,63.06,63.06,0.0,0.0,62.91,62.91,62.91,0.0,0.0,62.99,62.99,62.99,0.0,0.0
2018-06-03,63.59,63.59,63.59,0.0,0.0,63.7,63.7,63.7,0.0,0.0,63.59,63.59,63.59,0.0,0.0,63.66,63.66,63.66,0.0,0.0
2018-06-10,63.01,63.01,63.01,0.0,0.0,63.05,63.05,63.05,0.0,0.0,62.87,62.87,62.87,0.0,0.0,62.91,62.91,62.91,0.0,0.0
2018-06-17,62.41,62.41,62.41,0.0,0.0,62.52,62.52,62.52,0.0,0.0,62.4,62.4,62.4,0.0,0.0,62.4,62.4,62.4,0.0,0.0
2018-06-24,62.18,62.18,62.18,0.0,0.0,62.49,62.49,62.49,0.0,0.0,62.18,62.18,62.18,0.0,0.0,62.34,62.34,62.34,0.0,0.0
2018-07-01,62.92,62.92,62.92,0.0,0.0,63.31,63.31,63.31,0.0,0.0,62.92,62.92,62.92,0.0,0.0,63.31,63.31,63.31,0.0,0.0
2018-07-08,62.89,62.89,62.89,0.0,0.0,62.95,62.95,62.95,0.0,0.0,62.72,62.72,62.72,0.0,0.0,62.76,62.76,62.76,0.0,0.0
2018-07-15,62.52,62.52,62.52,0.0,0.0,62.52,62.52,62.52,0.0,0.0,62.25,62.25,62.25,0.0,0.0,62.25,62.25,62.25,0.0,0.0
