Date,WisdomTree Europe SmallCap Dividend_Open_average,WisdomTree Europe SmallCap Dividend_Open_max,WisdomTree Europe SmallCap Dividend_Open_min,WisdomTree Europe SmallCap Dividend_Open_volatility,WisdomTree Europe SmallCap Dividend_Open_change,WisdomTree Europe SmallCap Dividend_High_average,WisdomTree Europe SmallCap Dividend_High_max,WisdomTree Europe SmallCap Dividend_High_min,WisdomTree Europe SmallCap Dividend_High_volatility,WisdomTree Europe SmallCap Dividend_High_change,WisdomTree Europe SmallCap Dividend_Low_average,WisdomTree Europe SmallCap Dividend_Low_max,WisdomTree Europe SmallCap Dividend_Low_min,WisdomTree Europe SmallCap Dividend_Low_volatility,WisdomTree Europe SmallCap Dividend_Low_change,WisdomTree Europe SmallCap Dividend_Close_average,WisdomTree Europe SmallCap Dividend_Close_max,WisdomTree Europe SmallCap Dividend_Close_min,WisdomTree Europe SmallCap Dividend_Close_volatility,WisdomTree Europe SmallCap Dividend_Close_change
2018-01-14,74.0,74.0,74.0,0.0,0.0,74.08,74.08,74.08,0.0,0.0,73.8,73.8,73.8,0.0,0.0,74.05,74.05,74.05,0.0,0.0
2018-01-21,75.24,75.24,75.24,0.0,0.0,75.54,75.54,75.54,0.0,0.0,75.15,75.15,75.15,0.0,0.0,75.54,75.54,75.54,0.0,0.0
2018-01-28,73.41,73.41,73.41,0.0,0.0,73.41,73.41,73.41,0.0,0.0,72.5,72.5,72.5,0.0,0.0,72.57,72.57,72.57,0.0,0.0
2018-02-04,68.88,68.88,68.88,0.0,0.0,69.56,69.56,69.56,0.0,0.0,67.63,67.63,67.63,0.0,0.0,69.25,69.25,69.25,0.0,0.0
2018-02-11,72.12,72.12,72.12,0.0,0.0,72.54,72.54,72.54,0.0,0.0,71.98,71.98,71.98,0.0,0.0,72.08,72.08,72.08,0.0,0.0
2018-02-18,71.77,71.77,71.77,0.0,0.0,72.16,72.16,72.16,0.0,0.0,71.77,71.77,71.77,0.0,0.0,72.11,72.11,72.11,0.0,0.0
2018-02-25,69.43,69.43,69.43,0.0,0.0,69.7,69.7,69.7,0.0,0.0,68.99,68.99,68.99,0.0,0.0,69.66,69.66,69.66,0.0,0.0
2018-03-04,71.48,71.48,71.48,0.0,0.0,71.85,71.85,71.85,0.0,0.0,71.47,71.47,71.47,0.0,0.0,71.85,71.85,71.85,0.0,0.0
2018-03-11,71.11,71.11,71.11,0.0,0.0,71.32,71.32,71.32,0.0,0.0,71.03,71.03,71.03,0.0,0.0,71.07,71.07,71.07,0.0,0.0
2018-03-18,70.03,70.03,70.03,0.0,0.0,70.24,70.24,70.24,0.0,0.0,69.35,69.35,69.35,0.0,0.0,69.47,69.47,69.47,0.0,0.0
2018-03-25,69.91,69.91,69.91,0.0,0.0,70.2,70.2,70.2,0.0,0.0,69.63,69.63,69.63,0.0,0.0,69.91,69.91,69.91,0.0,0.0
2018-04-01,70.1,70.1,70.1,0.0,0.0,70.3,70.3,70.3,0.0,0.0,69.69,69.69,69.69,0.0,0.0,69.8,69.8,69.8,0.0,0.0
2018-04-08,71.66,71.66,71.66,0.0,0.0,71.7,71.7,71.7,0.0,0.0,71.25,71.25,71.25,0.0,0.0,71.43,71.43,71.43,0.0,0.0
2018-04-15,72.29,72.29,72.29,0.0,0.0,72.41,72.41,72.41,0.0,0.0,72.13,72.13,72.13,0.0,0.0,72.19,72.19,72.19,0.0,0.0
2018-04-22,71.19,71.19,71.19,0.0,0.0,71.23,71.23,71.23,0.0,0.0,71.02,71.02,71.02,0.0,0.0,71.19,71.19,71.19,0.0,0.0
2018-04-29,70.6,70.6,70.6,0.0,0.0,71.13,71.13,71.13,0.0,0.0,70.59,70.59,70.59,0.0,0.0,70.94,70.94,70.94,0.0,0.0
2018-05-06,72.01,72.01,72.01,0.0,0.0,72.11,72.11,72.11,0.0,0.0,71.83,71.83,71.83,0.0,0.0,71.88,71.88,71.88,0.0,0.0
2018-05-13,70.9,70.9,70.9,0.0,0.0,70.97,70.97,70.97,0.0,0.0,70.75,70.75,70.75,0.0,0.0,70.81,70.81,70.81,0.0,0.0
2018-05-20,69.99,69.99,69.99,0.0,0.0,70.01,70.01,70.01,0.0,0.0,69.77,69.77,69.77,0.0,0.0,69.86,69.86,69.86,0.0,0.0
