Date,First Trust ISE Global Engineering & Construction_Open_average,First Trust ISE Global Engineering & Construction_Open_max,First Trust ISE Global Engineering & Construction_Open_min,First Trust ISE Global Engineering & Construction_Open_volatility,First Trust ISE Global Engineering & Construction_Open_change,First Trust ISE Global Engineering & Construction_High_average,First Trust ISE Global Engineering & Construction_High_max,First Trust ISE Global Engineering & Construction_High_min,First Trust ISE Global Engineering & Construction_High_volatility,First Trust ISE Global Engineering & Construction_High_change,First Trust ISE Global Engineering & Construction_Low_average,First Trust ISE Global Engineering & Construction_Low_max,First Trust ISE Global Engineering & Construction_Low_min,First Trust ISE Global Engineering & Construction_Low_volatility,First Trust ISE Global Engineering & Construction_Low_change,First Trust ISE Global Engineering & Construction_Close_average,First Trust ISE Global Engineering & Construction_Close_max,First Trust ISE Global Engineering & Construction_Close_min,First Trust ISE Global Engineering & Construction_Close_volatility,First Trust ISE Global Engineering & Construction_Close_change
2018-01-14,62.65,62.65,62.65,0.0,0.0,62.98,62.98,62.98,0.0,0.0,62.58,62.58,62.58,0.0,0.0,62.91,62.91,62.91,0.0,0.0
2018-01-21,63.73,63.73,63.73,0.0,0.0,63.73,63.73,63.73,0.0,0.0,63.2,63.2,63.2,0.0,0.0,63.2,63.2,63.2,0.0,0.0
2018-01-28,60.48,60.48,60.48,0.0,0.0,60.7,60.7,60.7,0.0,0.0,58.45,58.45,58.45,0.0,0.0,59.14,59.14,59.14,0.0,0.0
2018-02-04,56.69,56.69,56.69,0.0,0.0,57.34,57.34,57.34,0.0,0.0,56.69,56.69,56.69,0.0,0.0,57.34,57.34,57.34,0.0,0.0
2018-02-11,58.37,58.37,58.37,0.0,0.0,59.11,59.11,59.11,0.0,0.0,58.2,58.2,58.2,0.0,0.0,59.11,59.11,59.11,0.0,0.0
2018-02-18,59.07,59.07,59.07,0.0,0.0,59.28,59.28,59.28,0.0,0.0,59.01,59.01,59.01,0.0,0.0,59.28,59.28,59.28,0.0,0.0
2018-02-25,56.26,56.26,56.26,0.0,0.0,57.02,57.02,57.02,0.0,0.0,56.26,56.26,56.26,0.0,0.0,57.02,57.02,57.02,0.0,0.0
2018-03-04,58.67,58.67,58.67,0.0,0.0,58.77,58.77,58.77,0.0,0.0,58.53,58.53,58.53,0.0,0.0,58.54,58.54,58.54,0.0,0.0
2018-03-11,57.49,57.49,57.49,0.0,0.0,57.65,57.65,57.65,0.0,0.0,57.02,57.02,57.02,0.0,0.0,57.15,57.15,57.15,0.0,0.0
2018-03-18,55.96,55.96,55.96,0.0,0.0,56.01,56.01,56.01,0.0,0.0,55.76,55.76,55.76,0.0,0.0,55.78,55.78,55.78,0.0,0.0
2018-03-25,56.68,56.68,56.68,0.0,0.0,56.68,56.68,56.68,0.0,0.0,54.99,54.99,54.99,0.0,0.0,55.53,55.53,55.53,0.0,0.0
2018-04-01,56.98,56.98,56.98,0.0,0.0,56.98,56.98,56.98,0.0,0.0,56.72,56.72,56.72,0.0,0.0,56.72,56.72,56.72,0.0,0.0
2018-04-08,57.6,57.6,57.6,0.0,0.0,57.6,57.6,57.6,0.0,0.0,57.6,57.6,57.6,0.0,0.0,57.6,57.6,57.6,0.0,0.0
2018-04-15,58.46,58.46,58.46,0.0,0.0,58.46,58.46,58.46,0.0,0.0,58.37,58.37,58.37,0.0,0.0,58.37,58.37,58.37,0.0,0.0
2018-04-22,59.35,59.35,59.35,0.0,0.0,59.35,59.35,59.35,0.0,0.0,59.35,59.35,59.35,0.0,0.0,59.35,59.35,59.35,0.0,0.0
2018-04-29,58.85,58.85,58.85,0.0,0.0,58.97,58.97,58.97,0.0,0.0,58.85,58.85,58.85,0.0,0.0,58.97,58.97,58.97,0.0,0.0
2018-05-06,59.62,59.62,59.62,0.0,0.0,59.87,59.87,59.87,0.0,0.0,59.62,59.62,59.62,0.0,0.0,59.66,59.66,59.66,0.0,0.0
2018-05-13,58.92,58.92,58.92,0.0,0.0,58.96,58.96,58.96,0.0,0.0,58.92,58.92,58.92,0.0,0.0,58.96,58.96,58.96,0.0,0.0
