Date,ProShares S&P 500 Dividend Aristocrats_Open_average,ProShares S&P 500 Dividend Aristocrats_Open_max,ProShares S&P 500 Dividend Aristocrats_Open_min,ProShares S&P 500 Dividend Aristocrats_Open_volatility,ProShares S&P 500 Dividend Aristocrats_Open_change,ProShares S&P 500 Dividend Aristocrats_High_average,ProShares S&P 500 Dividend Aristocrats_High_max,ProShares S&P 500 Dividend Aristocrats_High_min,ProShares S&P 500 Dividend Aristocrats_High_volatility,ProShares S&P 500 Dividend Aristocrats_High_change,ProShares S&P 500 Dividend Aristocrats_Low_average,ProShares S&P 500 Dividend Aristocrats_Low_max,ProShares S&P 500 Dividend Aristocrats_Low_min,ProShares S&P 500 Dividend Aristocrats_Low_volatility,ProShares S&P 500 Dividend Aristocrats_Low_change,ProShares S&P 500 Dividend Aristocrats_Close_average,ProShares S&P 500 Dividend Aristocrats_Close_max,ProShares S&P 500 Dividend Aristocrats_Close_min,ProShares S&P 500 Dividend Aristocrats_Close_volatility,ProShares S&P 500 Dividend Aristocrats_Close_change
2018-01-14,66.03,66.03,66.03,0.0,0.0,66.25,66.25,66.25,0.0,0.0,65.94,65.94,65.94,0.0,0.0,66.21,66.21,66.21,0.0,0.0
2018-01-21,67.38,67.38,67.38,0.0,0.0,67.98,67.98,67.98,0.0,0.0,67.32,67.32,67.32,0.0,0.0,67.94,67.94,67.94,0.0,0.0
2018-01-28,65.91,65.91,65.91,0.0,0.0,65.91,65.91,65.91,0.0,0.0,64.81,64.81,64.81,0.0,0.0,64.84,64.84,64.84,0.0,0.0
2018-02-04,61.66,61.66,61.66,0.0,0.0,62.51,62.51,62.51,0.0,0.0,60.21,60.21,60.21,0.0,0.0,62.08,62.08,62.08,0.0,0.0
2018-02-11,64.08,64.08,64.08,0.0,0.0,64.75,64.75,64.75,0.0,0.0,63.71,63.71,63.71,0.0,0.0,64.37,64.37,64.37,0.0,0.0
2018-02-18,63.74,63.74,63.74,0.0,0.0,64.05,64.05,64.05,0.0,0.0,63.43,63.43,63.43,0.0,0.0,64.05,64.05,64.05,0.0,0.0
2018-02-25,62.08,62.08,62.08,0.0,0.0,62.65,62.65,62.65,0.0,0.0,61.89,61.89,61.89,0.0,0.0,62.55,62.55,62.55,0.0,0.0
2018-03-04,64.05,64.05,64.05,0.0,0.0,64.85,64.85,64.85,0.0,0.0,64.05,64.05,64.05,0.0,0.0,64.83,64.83,64.83,0.0,0.0
2018-03-11,64.06,64.06,64.06,0.0,0.0,64.42,64.42,64.42,0.0,0.0,64.06,64.06,64.06,0.0,0.0,64.29,64.29,64.29,0.0,0.0
2018-03-18,61.83,61.83,61.83,0.0,0.0,62.11,62.11,62.11,0.0,0.0,60.65,60.65,60.65,0.0,0.0,60.74,60.74,60.74,0.0,0.0
