Date,iShares Currency Hedged MSCI Italy_Open_average,iShares Currency Hedged MSCI Italy_Open_max,iShares Currency Hedged MSCI Italy_Open_min,iShares Currency Hedged MSCI Italy_Open_volatility,iShares Currency Hedged MSCI Italy_Open_change,iShares Currency Hedged MSCI Italy_High_average,iShares Currency Hedged MSCI Italy_High_max,iShares Currency Hedged MSCI Italy_High_min,iShares Currency Hedged MSCI Italy_High_volatility,iShares Currency Hedged MSCI Italy_High_change,iShares Currency Hedged MSCI Italy_Low_average,iShares Currency Hedged MSCI Italy_Low_max,iShares Currency Hedged MSCI Italy_Low_min,iShares Currency Hedged MSCI Italy_Low_volatility,iShares Currency Hedged MSCI Italy_Low_change,iShares Currency Hedged MSCI Italy_Close_average,iShares Currency Hedged MSCI Italy_Close_max,iShares Currency Hedged MSCI Italy_Close_min,iShares Currency Hedged MSCI Italy_Close_volatility,iShares Currency Hedged MSCI Italy_Close_change
2018-01-14,18.45,18.45,18.45,0.0,0.0,18.48,18.48,18.48,0.0,0.0,18.45,18.45,18.45,0.0,0.0,18.48,18.48,18.48,0.0,0.0
2018-01-21,18.4,18.4,18.4,0.0,0.0,18.44,18.44,18.44,0.0,0.0,18.4,18.4,18.4,0.0,0.0,18.42,18.42,18.42,0.0,0.0
2018-01-28,17.65,17.65,17.65,0.0,0.0,17.72,17.72,17.72,0.0,0.0,17.49,17.49,17.49,0.0,0.0,17.49,17.49,17.49,0.0,0.0
2018-02-04,17.06,17.06,17.06,0.0,0.0,17.06,17.06,17.06,0.0,0.0,17.05,17.05,17.05,0.0,0.0,17.05,17.05,17.05,0.0,0.0
2018-02-11,17.39,17.39,17.39,0.0,0.0,17.41,17.41,17.41,0.0,0.0,17.39,17.39,17.39,0.0,0.0,17.41,17.41,17.41,0.0,0.0
2018-02-18,17.6,17.6,17.6,0.0,0.0,17.63,17.63,17.63,0.0,0.0,17.6,17.6,17.6,0.0,0.0,17.63,17.63,17.63,0.0,0.0
2018-02-25,16.77,16.77,16.77,0.0,0.0,17.03,17.03,17.03,0.0,0.0,16.77,16.77,16.77,0.0,0.0,17.03,17.03,17.03,0.0,0.0
2018-03-04,17.65,17.65,17.65,0.0,0.0,17.65,17.65,17.65,0.0,0.0,17.65,17.65,17.65,0.0,0.0,17.65,17.65,17.65,0.0,0.0
2018-03-11,17.63,17.63,17.63,0.0,0.0,17.64,17.64,17.64,0.0,0.0,17.63,17.63,17.63,0.0,0.0,17.64,17.64,17.64,0.0,0.0
2018-03-18,17.26,17.26,17.26,0.0,0.0,17.26,17.26,17.26,0.0,0.0,17.26,17.26,17.26,0.0,0.0,17.26,17.26,17.26,0.0,0.0
2018-03-25,17.21,17.21,17.21,0.0,0.0,17.4,17.4,17.4,0.0,0.0,17.21,17.21,17.21,0.0,0.0,17.37,17.37,17.37,0.0,0.0
2018-04-01,18.0,18.0,18.0,0.0,0.0,18.0,18.0,18.0,0.0,0.0,18.0,18.0,18.0,0.0,0.0,18.0,18.0,18.0,0.0,0.0
2018-04-08,18.17,18.17,18.17,0.0,0.0,18.19,18.19,18.19,0.0,0.0,18.17,18.17,18.17,0.0,0.0,18.19,18.19,18.19,0.0,0.0
2018-04-15,18.63,18.63,18.63,0.0,0.0,18.67,18.67,18.67,0.0,0.0,18.63,18.63,18.63,0.0,0.0,18.67,18.67,18.67,0.0,0.0
2018-04-22,18.62,18.62,18.62,0.0,0.0,18.68,18.68,18.68,0.0,0.0,18.62,18.62,18.62,0.0,0.0,18.68,18.68,18.68,0.0,0.0
2018-04-29,19.09,19.09,19.09,0.0,0.0,19.17,19.17,19.17,0.0,0.0,19.07,19.07,19.07,0.0,0.0,19.09,19.09,19.09,0.0,0.0
2018-05-06,18.74,18.74,18.74,0.0,0.0,18.85,18.85,18.85,0.0,0.0,18.74,18.74,18.74,0.0,0.0,18.83,18.83,18.83,0.0,0.0
2018-05-13,18.26,18.26,18.26,0.0,0.0,18.27,18.27,18.27,0.0,0.0,18.26,18.26,18.26,0.0,0.0,18.26,18.26,18.26,0.0,0.0
2018-05-20,17.66,17.66,17.66,0.0,0.0,17.73,17.73,17.73,0.0,0.0,17.62,17.62,17.62,0.0,0.0,17.65,17.65,17.65,0.0,0.0
