Date,Vanguard S&P Small Cap 600 Value_Open_average,Vanguard S&P Small Cap 600 Value_Open_max,Vanguard S&P Small Cap 600 Value_Open_min,Vanguard S&P Small Cap 600 Value_Open_volatility,Vanguard S&P Small Cap 600 Value_Open_change,Vanguard S&P Small Cap 600 Value_High_average,Vanguard S&P Small Cap 600 Value_High_max,Vanguard S&P Small Cap 600 Value_High_min,Vanguard S&P Small Cap 600 Value_High_volatility,Vanguard S&P Small Cap 600 Value_High_change,Vanguard S&P Small Cap 600 Value_Low_average,Vanguard S&P Small Cap 600 Value_Low_max,Vanguard S&P Small Cap 600 Value_Low_min,Vanguard S&P Small Cap 600 Value_Low_volatility,Vanguard S&P Small Cap 600 Value_Low_change,Vanguard S&P Small Cap 600 Value_Close_average,Vanguard S&P Small Cap 600 Value_Close_max,Vanguard S&P Small Cap 600 Value_Close_min,Vanguard S&P Small Cap 600 Value_Close_volatility,Vanguard S&P Small Cap 600 Value_Close_change
2018-01-14,136.87,136.87,136.87,0.0,0.0,137.51,137.51,137.51,0.0,0.0,136.5,136.5,136.5,0.0,0.0,137.51,137.51,137.51,0.0,0.0
2018-01-21,137.2,137.2,137.2,0.0,0.0,137.67,137.67,137.67,0.0,0.0,136.6,136.6,136.6,0.0,0.0,136.6,136.6,136.6,0.0,0.0
2018-01-28,130.7,130.7,130.7,0.0,0.0,131.52,131.52,131.52,0.0,0.0,126.74,126.74,126.74,0.0,0.0,126.92,126.92,126.92,0.0,0.0
2018-02-04,126.8,126.8,126.8,0.0,0.0,128.19,128.19,128.19,0.0,0.0,125.6,125.6,125.6,0.0,0.0,127.61,127.61,127.61,0.0,0.0
2018-02-11,131.16,131.16,131.16,0.0,0.0,132.88,132.88,132.88,0.0,0.0,131.16,131.16,131.16,0.0,0.0,132.13,132.13,132.13,0.0,0.0
2018-02-18,132.91,132.91,132.91,0.0,0.0,133.25,133.25,133.25,0.0,0.0,132.01,132.01,132.01,0.0,0.0,133.25,133.25,133.25,0.0,0.0
2018-02-25,129.22,129.22,129.22,0.0,0.0,131.49,131.49,131.49,0.0,0.0,129.22,129.22,129.22,0.0,0.0,131.03,131.03,131.03,0.0,0.0
2018-03-04,134.82,134.82,134.82,0.0,0.0,135.66,135.66,135.66,0.0,0.0,134.82,134.82,134.82,0.0,0.0,135.41,135.41,135.41,0.0,0.0
2018-03-11,134.8,134.8,134.8,0.0,0.0,134.8,134.8,134.8,0.0,0.0,132.04,132.04,132.04,0.0,0.0,133.28,133.28,133.28,0.0,0.0
2018-03-18,129.27,129.27,129.27,0.0,0.0,130.64,130.64,130.64,0.0,0.0,128.5,128.5,128.5,0.0,0.0,130.64,130.64,130.64,0.0,0.0
